t,value
1598409794,572456960
1598409795,577437696
1598409796,583991296
1598409797,797331456
1598409798,807272448
1598409799,818741248
1598409800,819200000
1598409801,819920896
1598409802,819986432
1598409803,831193088
1598409804,846266368
1598409805,1121071104
1598409806,1126641664
1598409807,1126641664
1598409808,1126641664
1598409809,1126641664
1598409810,1127231488
1598409811,1127690240
1598409812,1127755776
1598409813,1127821312
1598409814,1127886848
1598409815,1128148992
1598409816,1128148992
1598409817,1128148992
1598409818,1128148992
1598409819,1128148992
1598409820,1128148992
1598409821,1128148992
1598409822,1128148992
1598409823,1128148992
1598409824,1128411136
1598409825,1128476672
1598409826,1130573824
1598409827,1132605440
1598409828,1133850624
1598409829,1138372608
1598409830,1141649408
1598409831,1141977088
1598409832,1142501376
1598409833,1143418880
1598409834,1144401920
1598409835,1145122816
1598409836,1145843712
1598409837,1146630144
1598409838,1147023360
1598409839,1200631808
1598409840,1201614848
1598409841,1202139136
1598409842,1202663424
1598409843,1202925568
1598409844,1202925568
1598409845,1203056640
1598409846,1203253248
1598409847,1203449856
1598409848,1215639552
1598409849,1215639552
1598409850,1215705088
1598409851,1215901696
1598409852,1216425984
1598409853,1216688128
1598409854,1216819200
1598409855,1216884736
1598409856,1217277952
1598409857,1264726016
1598409858,1264726016
1598409859,1264988160
1598409860,1264988160
1598409861,1265184768
1598409862,1265381376
1598409863,1265446912
1598409864,1265709056
1598409865,1265709056
1598409866,1265709056
1598409867,1265709056
1598409868,1265774592
1598409869,1274884096
1598409870,1274949632
1598409871,1274949632
1598409872,1274949632
1598409873,1275080704
1598409874,1275080704
1598409875,1275146240
1598409876,1275211776
1598409877,1275342848
1598409878,1275473920
1598409879,1255288832
1598409880,1255354368
1598409881,1255550976
1598409882,1255616512
1598409883,1255682048
1598409884,1255682048
1598409885,1255878656
1598409886,1255878656
1598409887,1255878656
1598409888,1256140800
1598409889,1256140800
1598409890,1244672000
1598409891,1244672000
1598409892,1244672000
1598409893,1244672000
1598409894,1244803072
1598409895,1244803072
1598409896,1244803072
1598409897,1244803072
1598409898,1244934144
1598409899,1245130752
1598409900,1228550144
1598409901,1228681216
1598409902,1228681216
1598409903,1228681216
1598409904,1228746752
1598409905,1228812288
1598409906,1228943360
1598409907,1228943360
1598409908,1228943360
1598409909,1228943360
1598409910,1222651904
1598409911,1222651904
1598409912,1222651904
1598409913,1223307264
1598409914,1223307264
1598409915,1223307264
1598409916,1223372800
1598409917,1223372800
1598409918,1223372800
1598409919,1232285696
1598409920,1232416768
1598409921,1233793024
