t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1598411874,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411875,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411876,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411877,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411878,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411879,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411880,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411881,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411882,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411883,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411884,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411885,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411886,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411887,2,3066,1814.000000,562,1252.000000,3066.000000,3066.000000,3066.000000,3066.000000,3066.000000,3066.000000
1598411888,2,3066,1814.000000,562,1252.000000,3066.000000,3066.000000,3066.000000,3066.000000,3066.000000,3066.000000
1598411889,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411890,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411891,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411892,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411893,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411894,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411895,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411896,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411897,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411898,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411899,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411900,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411901,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411902,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411903,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
1598411904,6,4721,1943.441862,558,1568.603264,2166.000000,3066.000000,4721.000000,4721.000000,4721.000000,4721.000000
