t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1598411874,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411875,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411876,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411877,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411878,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411879,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411880,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411881,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411882,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411883,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411884,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411885,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411886,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598411887,1,3910,3910.000000,3910,0.000000,3910.000000,3910.000000,3910.000000,3910.000000,3910.000000,3910.000000
1598411888,1,3910,3910.000000,3910,0.000000,3910.000000,3910.000000,3910.000000,3910.000000,3910.000000,3910.000000
1598411889,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411890,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411891,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411892,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411893,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411894,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411895,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411896,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411897,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411898,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411899,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411900,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411901,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411902,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
1598411903,3,8526,4834.103798,2039,2738.188076,3910.000000,8526.000000,8526.000000,8526.000000,8526.000000,8526.000000
