t,value
1598411874,3
1598411875,3
1598411876,3
1598411877,3
1598411878,3
1598411879,3
1598411880,4
1598411881,5
1598411882,5
1598411883,5
1598411884,5
1598411885,5
1598411886,6
1598411887,6
1598411888,6
1598411889,7
1598411890,9
1598411891,11
1598411892,13
1598411893,15
1598411894,16
1598411895,16
1598411896,17
1598411897,18
1598411898,19
1598411899,21
1598411900,22
1598411901,23
1598411902,23
1598411903,23
1598411904,23
1598411905,23
1598411906,24
1598411907,25
1598411908,25
1598411909,26
1598411910,26
1598411911,26
1598411912,27
1598411913,29
1598411914,30
1598411915,31
1598411916,32
1598411917,32
1598411918,33
1598411919,33
1598411920,33
1598411921,34
1598411922,36
1598411923,38
1598411924,38
1598411925,38
1598411926,38
1598411927,40
1598411928,42
1598411929,44
1598411930,45
1598411931,47
1598411932,49
1598411933,50
1598411934,52
1598411935,54
1598411936,55
1598411937,57
1598411938,58
1598411939,60
1598411940,61
1598411941,63
1598411942,64
1598411943,65
1598411944,65
1598411945,66
1598411946,67
1598411947,67
1598411948,67
1598411949,68
1598411950,69
1598411951,69
1598411952,69
1598411953,70
1598411954,70
1598411955,70
1598411956,70
1598411957,71
1598411958,73
1598411959,74
1598411960,75
1598411961,76
1598411962,76
1598411963,77
1598411964,78
1598411965,79
1598411966,79
1598411967,79
1598411968,80
1598411969,80
1598411970,81
1598411971,81
1598411972,83
1598411973,85
1598411974,87
1598411975,87
1598411976,87
1598411977,88
1598411978,89
1598411979,91
1598411981,95
1598411981,96
1598411982,96
1598411983,99
1598411984,101
1598411985,106
1598411986,108
1598411987,111
1598411988,111
1598411989,114
1598411990,115
1598411991,119
1598411992,120
1598411993,122
1598411994,124
1598411995,125
1598411996,127
1598411997,129
1598411998,130
1598411999,132
1598412000,132
1598412001,133
1598412002,133
1598412003,134
1598412004,135
1598412005,136
1598412006,136
1598412007,136
1598412008,137
1598412009,137
1598412010,138
1598412011,139
1598412012,141
1598412013,142
1598412014,143
1598412015,143
1598412016,145
1598412017,146
1598412018,147
1598412019,148
1598412020,148
1598412021,149
1598412022,150
1598412023,151
1598412024,151
1598412025,152
1598412026,153
1598412027,153
1598412028,154
1598412029,154
1598412030,156
1598412031,158
1598412032,161
1598412033,162
1598412034,162
1598412035,163
1598412036,164
1598412037,166
1598412038,170
1598412039,171
1598412040,171
1598412041,174
1598412042,175
1598412043,178
1598412044,181
1598412045,181
1598412046,184
1598412047,184
1598412048,186
1598412049,187
1598412050,188
1598412051,190
1598412052,191
1598412053,192
1598412054,193
1598412055,195
1598412056,196
1598412057,197
1598412058,197
1598412059,198
1598412060,198
1598412061,199
1598412062,200
1598412063,201
1598412064,201
1598412065,202
1598412066,202
1598412067,202
1598412068,203
1598412070,204
1598412070,204
1598412071,205
1598412072,207
1598412073,207
1598412074,208
1598412075,208
1598412076,208
1598412077,208
1598412078,208
1598412079,208
1598412080,208
1598412081,209
1598412082,209
1598412083,210
1598412084,211
1598412085,213
1598412086,216
1598412087,219
1598412088,219
1598412089,219
1598412090,219
1598412091,220
1598412092,221
1598412093,223
1598412094,225
1598412095,226
1598412096,228
1598412097,230
1598412098,232
1598412099,235
1598412100,237
1598412101,239
1598412102,241
1598412103,243
1598412104,243
1598412105,246
1598412106,247
1598412107,249
1598412108,250
1598412109,252
1598412110,253
1598412111,254
1598412112,254
1598412113,254
1598412114,255
1598412115,256
1598412116,256
1598412117,257
1598412118,257
1598412119,258
1598412120,258
1598412121,259
1598412122,261
1598412123,262
1598412124,264
1598412125,264
1598412126,267
1598412127,269
1598412128,271
1598412129,272
1598412130,272
1598412131,273
1598412132,274
1598412133,275
1598412134,276
1598412136,277
1598412136,278
1598412137,280
1598412138,282
1598412139,283
1598412140,283
1598412141,283
1598412142,284
1598412143,285
1598412144,286
1598412145,288
1598412146,289
1598412147,290
1598412148,292
1598412149,295
1598412150,297
1598412151,299
1598412152,302
1598412153,304
1598412154,306
1598412155,308
1598412156,309
