t,count
1598411874,0
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,0
1598411891,0
1598411892,0
1598411893,0
1598411894,0
1598411895,0
1598411896,0
1598411897,0
1598411898,0
1598411899,0
1598411900,0
1598411901,1595534873
1598411902,1595534873
1598411903,1595534873
1598411904,1595534873
1598411905,1595534873
1598411906,1674435934
1598411907,1686700927
1598411908,1696473239
1598411909,1704076838
1598411910,1714406240
1598411911,1718051389
1598411912,1718051389
1598411913,1718051389
1598411914,1718051389
1598411915,1718051389
1598411916,1725964372
1598411917,1744772372
1598411918,1760764390
1598411919,1770277993
1598411920,1770277993
1598411921,1770277993
1598411922,1999431609
1598411923,2012140356
1598411924,2022446433
1598411925,2123751034
1598411926,2159824525
1598411927,2186765856
1598411928,2208344220
1598411929,2231770695
1598411930,2261211614
1598411931,2279383836
1598411932,2312011135
1598411933,2328361492
1598411934,2359940722
1598411935,2386105188
1598411936,2404358293
1598411937,2435823295
1598411938,2456994037
1598411939,2483413878
1598411940,2505926588
1598411941,2526514664
1598411942,2552163330
1598411943,2569014775
1598411944,2569014775
1598411945,2744398808
1598411946,2756662383
1598411947,2758953822
1598411948,2794386228
1598411949,2817263369
1598411950,2822571831
1598411951,2830992287
1598411952,2839505899
1598411953,2850432599
1598411954,2875878070
1598411955,2901566329
1598411956,2901566329
1598411957,2901566329
1598411958,2901566329
1598411959,2901566329
1598411960,2901566329
1598411961,2901566329
1598411962,2910619576
1598411963,2910619576
1598411964,2910619576
1598411965,2910619576
1598411966,2912244008
1598411967,2912244008
1598411968,2922474939
1598411969,2925891020
1598411970,2929123525
1598411971,2934187987
1598411972,2934187987
1598411973,2934187987
1598411974,2934187987
1598411975,2937081826
1598411976,2942293739
1598411977,2950565955
1598411978,2958285781
1598411979,2972195370
1598411980,2979324143
1598411981,2986534896
1598411982,2986534896
1598411984,3002843167
1598411984,3017702097
1598411985,3040245543
1598411986,3058952881
1598411987,3073374652
1598411988,3073374652
1598411989,3089657298
1598411990,3102713628
1598411991,3124992993
1598411992,3143459437
1598411993,3153743584
1598411994,3178320293
1598411995,3190306496
1598411996,3203123615
1598411997,3225072727
1598411998,3237741418
1598411999,3259794859
1598412000,3265834092
1598412001,3284388106
1598412002,3290507380
1598412003,3301108402
1598412004,3309332638
1598412005,3314554008
1598412006,3325572576
1598412007,3334935118
1598412008,3347891513
1598412009,3353819660
1598412010,3353819660
1598412011,3353819660
1598412012,3353819660
1598412013,3353819660
1598412014,3353819660
1598412015,3353819660
1598412016,3361898343
1598412017,3361898343
1598412018,3361898343
1598412019,3361898343
1598412020,3361898343
1598412021,3361898343
1598412022,3361898343
1598412023,3361898343
1598412024,3361898343
1598412025,3366727980
1598412026,3370849241
1598412027,3374174219
1598412028,3375841931
1598412029,3378789568
1598412030,3378789568
1598412031,3378789568
1598412032,3378789568
1598412033,3389725315
1598412034,3389725315
1598412035,3400435734
1598412036,3404997096
1598412037,3417401423
1598412039,3424378476
1598412039,3428192364
1598412040,3428192364
1598412041,3448864588
1598412042,3469627606
1598412043,3479174591
1598412044,3499214936
1598412045,3507689459
1598412046,3524849676
1598412047,3524849676
1598412048,3545185549
1598412049,3562002098
1598412050,3570842479
1598412051,3592310734
1598412052,3595395067
1598412053,3611773917
1598412054,3623523895
1598412055,3639102284
1598412056,3655737005
1598412057,3661667138
1598412058,3684630822
1598412059,3694729382
1598412060,3699901767
1598412061,3710303617
1598412062,3713987785
1598412063,3722772969
1598412064,3732075341
1598412065,3740618041
1598412066,3750366977
1598412067,3750366977
1598412068,3750366977
1598412069,3750366977
1598412070,3750366977
1598412071,3750366977
1598412072,3750366977
1598412073,3752970185
1598412074,3757266636
1598412075,3757266636
1598412076,3757266636
1598412077,3757266636
1598412078,3758912724
1598412079,3758912724
1598412080,3765999228
1598412081,3767531574
1598412082,3769873337
1598412083,3773016465
1598412084,3789893716
1598412085,3789893716
1598412086,3789893716
1598412087,3789893716
1598412088,3799879296
1598412089,3799879296
1598412090,3807264925
1598412091,3814281040
1598412092,3819469718
1598412093,3830695616
1598412094,3838731713
1598412095,3838731713
1598412096,3852805490
1598412097,3869202131
1598412098,3882866415
1598412099,3900234280
1598412100,3915034405
1598412101,3930958869
1598412102,3940438643
1598412103,3958026538
1598412104,3958026538
1598412105,3975417530
1598412106,3994121285
1598412107,4010579181
1598412108,4019637372
1598412109,4037144850
1598412110,4052183587
1598412111,4063526099
1598412112,4065461067
1598412113,4073201943
1598412114,4080198883
1598412115,4086270997
1598412116,4092245812
1598412117,4100478565
1598412118,4107830638
1598412119,4133499534
1598412120,4133499534
1598412121,4133499534
1598412122,4133499534
1598412123,4133499534
1598412124,4133499534
1598412125,4133499534
1598412126,4139996417
1598412127,4139996417
1598412128,4139996417
1598412129,4139996417
1598412130,4139996417
1598412131,4139996417
1598412132,4142503789
1598412133,4148880390
1598412134,4150329725
1598412135,4151749014
1598412136,4154666652
1598412137,4154666652
1598412138,4154666652
1598412139,4154666652
1598412140,4164854701
1598412141,4164854701
1598412142,4173011854
1598412143,4179615545
1598412144,4191549384
1598412146,4196571070
1598412146,4199665957
1598412147,4199665957
1598412148,4215832633
1598412149,4236579727
1598412150,4251912615
1598412151,4265800614
1598412152,4280869970
1598412153,4300465549
1598412154,4318752574
1598412155,4323232770
1598412156,4334537516
1598412157,4343916753
1598412158,4357329409
1598412159,4369261965
1598412160,4378434406
1598412161,4398584237
1598412162,4405192310
1598412163,4421921150
1598412164,4429290907
1598412165,4434197363
1598412166,4442913508
1598412167,4447886879
1598412168,4455712541
1598412169,4469793131
1598412170,4474792571
1598412171,4481679518
1598412172,4481679518
1598412173,4481679518
1598412174,4481679518
1598412175,4481679518
1598412176,4484056604
1598412177,4484056604
1598412178,4487067348
1598412179,4487067348
1598412180,4487067348
1598412181,4487067348
1598412182,4487067348
1598412183,4488312393
1598412184,4495971129
1598412185,4499580108
1598412186,4505130441
1598412187,4508556505
1598412188,4511685853
1598412189,4511685853
1598412190,4511685853
1598412191,4511685853
1598412192,4519215330
1598412193,4519215330
1598412194,4530027804
1598412195,4537933300
1598412196,4546600794
1598412197,4553054220
1598412198,4559605236
1598412199,4562948803
1598412200,4577223919
1598412201,4586449039
1598412202,4604193407
1598412203,4624303271
1598412204,4638933699
1598412205,4655411075
1598412206,4673192760
1598412207,4689988106
1598412208,4709320370
1598412209,4724251120
1598412210,4738099304
1598412211,4753970586
1598412212,4765271471
1598412213,4783067571
1598412214,4800190579
1598412215,4809139681
1598412216,4824443063
1598412217,4831992490
1598412218,4831992490
1598412219,4842841171
1598412220,4846433794
1598412221,4853947835
1598412222,4863056361
1598412223,4871979256
1598412224,4879628531
1598412225,4889023044
1598412226,4889023044
1598412227,4889023044
1598412228,4889023044
1598412229,4889023044
1598412230,4893448214
1598412231,4896094460
1598412232,4896094460
1598412233,4896094460
1598412234,4896094460
1598412235,4896094460
1598412236,4897485409
1598412237,4897485409
1598412238,4905019140
1598412239,4908084553
1598412240,4912765571
1598412241,4915778377
1598412242,4915778377
1598412243,4915778377
1598412244,4915778377
1598412245,4922818792
1598412246,4922818792
1598412247,4931198548
1598412248,4939835889
1598412249,4948112694
1598412250,4954658198
1598412251,4961681645
1598412252,4961681645
1598412253,4982635178
1598412254,4985555662
1598412255,5004354430
1598412256,5017644614
1598412257,5026587081
1598412258,5044825607
1598412259,5056526207
1598412260,5069737946
1598412261,5080829128
1598412262,5097680281
1598412263,5113232871
1598412264,5121734638
1598412265,5139755709
1598412266,5144551110
1598412267,5162416175
1598412268,5176855134
1598412269,5184018907
1598412270,5187561442
1598412271,5194951303
1598412272,5203281850
1598412273,5207734381
1598412274,5215673902
1598412275,5225455516
1598412276,5234949992
1598412277,5239993846
1598412278,5239993846
1598412279,5239993846
1598412280,5239993846
1598412281,5239993846
1598412282,5239993846
1598412283,5243737697
1598412284,5243737697
1598412285,5245748350
1598412286,5245748350
1598412287,5245748350
1598412288,5247314882
1598412289,5249146407
1598412290,5253188016
1598412291,5256257113
1598412292,5259271207
1598412293,5259271207
1598412294,5259271207
1598412295,5259271207
1598412296,5261880163
1598412297,5266315392
1598412298,5268430798
1598412300,5277404017
1598412300,5281720469
1598412301,5293397237
1598412302,5297922845
1598412303,5297922845
1598412304,5303120958
1598412305,5317882017
1598412306,5322079248
1598412307,5335714009
1598412308,5353465365
1598412309,5359215905
1598412310,5372355675
1598412311,5372355675
1598412312,5391211524
1598412313,5391211524
1598412314,5410419668
1598412315,5422523284
1598412316,5429842697
1598412317,5443821068
1598412318,5450385842
1598412319,5463821790
1598412320,5478040083
1598412321,5482256599
1598412322,5501318880
1598412323,5508102423
1598412324,5508102423
1598412325,5508102423
1598412326,5520141179
1598412327,5525995358
1598412328,5532445128
1598412329,5540809080
1598412330,5547579899
1598412331,5558345988
1598412332,5565716271
1598412333,5565716271
1598412334,5565716271
1598412335,5565716271
1598412336,5565716271
1598412337,5568279034
1598412338,5572446959
1598412339,5572446959
1598412340,5572446959
1598412341,5573813504
1598412342,5573813504
1598412343,5573813504
1598412344,5580001762
1598412345,5583324566
1598412346,5586906692
1598412347,5588557155
1598412348,5591628825
1598412349,5591628825
1598412350,5591628825
1598412351,5591628825
1598412352,5598035860
1598412353,5598035860
1598412354,5607989835
1598412355,5615664282
1598412356,5623980937
1598412357,5631601306
1598412358,5634537103
1598412359,5634537103
1598412360,5644394009
1598412361,5657984936
1598412362,5672091775
1598412363,5679287811
1598412364,5698514623
1598412365,5713505610
1598412366,5720889157
1598412367,5741221385
1598412368,5752992007
1598412369,5763741772
1598412370,5782082977
1598412371,5791003909
1598412372,5813100707
1598412373,5813100707
1598412374,5831518118
1598412375,5846042305
1598412376,5852640850
1598412377,5866769510
1598412378,5874001495
1598412379,5878636904
1598412380,5888872037
1598412381,5892929330
1598412382,5900068222
1598412383,5908512263
1598412384,5917181847
1598412385,5924165158
1598412386,5928826285
1598412387,5928826285
1598412389,5928826285
1598412389,5928826285
1598412390,5928826285
1598412391,5928826285
1598412392,5928826285
1598412393,5934462246
1598412394,5934462246
1598412395,5934462246
1598412396,5934462246
1598412397,5935705289
1598412398,5935705289
1598412399,5937825272
1598412400,5943132274
1598412401,5944723268
1598412402,5947619843
1598412403,5949028137
1598412404,5949028137
1598412405,5949028137
1598412406,5949028137
1598412407,5951726910
1598412408,5958874060
1598412409,5963658872
1598412410,5972109348
1598412411,5983016352
1598412412,5987480721
1598412413,5987480721
1598412415,5992340963
1598412415,6011104278
1598412416,6027344670
1598412417,6045008112
1598412418,6054333958
1598412419,6061446415
1598412420,6081268727
1598412421,6095979478
1598412422,6104958148
1598412423,6121570039
1598412424,6136786042
1598412425,6145923811
1598412426,6159422882
1598412427,6173254957
1598412428,6178097807
1598412429,6192830226
1598412430,6198213102
1598412431,6202640870
1598412432,6208625831
1598412433,6216378935
1598412434,6222498056
1598412435,6230331128
1598412436,6238339162
1598412437,6247151487
1598412438,6247151487
1598412439,6247151487
1598412439,6247151487
