t,count
1598411874,0
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,0
1598411891,0
1598411892,0
1598411893,0
1598411894,0
1598411895,0
1598411896,0
1598411897,0
1598411898,0
1598411899,0
1598411900,0
1598411901,0
1598411902,0
1598411903,0
1598411904,0
1598411905,0
1598411906,46
1598411907,92
1598411908,138
1598411909,184
1598411910,253
1598411911,276
1598411912,276
1598411913,276
1598411914,276
1598411915,276
1598411916,276
1598411917,294
1598411918,384
1598411919,456
1598411920,456
1598411921,456
1598411922,456
1598411923,456
1598411924,456
1598411925,461
1598411926,461
1598411927,461
1598411928,466
1598411929,466
1598411930,471
1598411931,471
1598411932,476
1598411933,481
1598411934,481
1598411935,486
1598411936,486
1598411937,491
1598411938,496
1598411939,496
1598411940,501
1598411941,501
1598411942,506
1598411943,511
1598411944,511
1598411945,511
1598411946,511
1598411947,511
1598411948,1231
1598411949,1951
1598411950,2491
1598411951,2847
1598411952,3727
1598411953,4431
1598411954,4959
1598411955,5487
1598411956,5487
1598411957,5487
1598411958,5487
1598411959,5487
1598411960,5487
1598411961,5487
1598411962,5487
1598411963,5487
1598411964,5487
1598411965,5487
1598411966,5487
1598411967,5487
1598411968,5553
1598411969,5597
1598411970,5641
1598411971,5707
1598411972,5707
1598411973,5707
1598411974,5707
1598411975,5707
1598411976,5707
1598411977,5761
1598411978,5833
1598411979,5869
1598411980,5869
1598411981,5869
1598411982,5869
1598411984,5876
1598411984,5876
1598411985,5883
1598411986,5890
1598411987,5890
1598411988,5890
1598411989,5890
1598411990,5897
1598411991,5897
1598411992,5904
1598411993,5904
1598411994,5911
1598411995,5911
1598411996,5911
1598411997,5918
1598411998,5925
1598411999,5925
1598412000,5932
1598412001,5932
1598412002,5932
1598412003,6660
1598412004,7388
1598412005,8025
1598412006,8996
1598412007,9700
1598412008,10316
1598412009,10844
1598412010,10844
1598412011,10844
1598412012,10844
1598412013,10844
1598412014,10844
1598412015,10844
1598412016,10844
1598412017,10844
1598412018,10844
1598412019,10844
1598412020,10844
1598412021,10844
1598412022,10844
1598412023,10844
1598412024,10844
1598412025,10867
1598412026,10913
1598412027,10959
1598412028,10982
1598412029,11028
1598412030,11028
1598412031,11028
1598412032,11028
1598412033,11028
1598412034,11028
1598412035,11100
1598412036,11154
1598412037,11190
1598412039,11190
1598412039,11190
1598412040,11190
1598412041,11198
1598412042,11214
1598412043,11214
1598412044,11222
1598412045,11230
1598412046,11230
1598412047,11230
1598412048,11238
1598412049,11246
1598412050,11246
1598412051,11262
1598412052,11262
1598412053,11270
1598412054,11278
1598412055,11278
1598412056,11286
1598412057,11286
1598412058,11302
1598412059,11302
1598412060,11484
1598412061,12394
1598412062,12849
1598412063,13662
1598412064,14382
1598412065,15012
1598412066,15912
1598412067,15912
1598412068,15912
1598412069,15912
1598412070,15912
1598412071,15912
1598412072,15912
1598412073,15912
1598412074,15912
1598412075,15912
1598412076,15912
1598412077,15912
1598412078,15912
1598412079,15912
1598412080,15956
1598412081,15978
1598412082,16000
1598412083,16044
1598412084,16180
1598412085,16180
1598412086,16180
1598412087,16180
1598412088,16180
1598412089,16180
1598412090,16216
1598412091,16288
1598412092,16342
1598412093,16342
1598412094,16342
1598412095,16342
1598412096,16342
1598412097,16350
1598412098,16358
1598412099,16358
1598412100,16358
1598412101,16366
1598412102,16366
1598412103,16366
1598412104,16366
1598412105,16366
1598412106,16374
1598412107,16382
1598412108,16382
1598412109,16382
1598412110,16390
1598412111,16390
1598412112,16390
1598412113,16936
1598412114,17482
1598412115,18210
1598412116,18570
1598412117,19380
1598412118,20190
1598412119,21000
1598412120,21000
1598412121,21000
1598412122,21000
1598412123,21000
1598412124,21000
1598412125,21000
1598412126,21000
1598412127,21000
1598412128,21000
1598412129,21000
1598412130,21000
1598412131,21000
1598412132,21023
1598412133,21069
1598412134,21092
1598412135,21115
1598412136,21161
1598412137,21161
1598412138,21161
1598412139,21161
1598412140,21161
1598412141,21161
1598412142,21215
1598412143,21287
1598412144,21323
1598412146,21323
1598412146,21323
1598412147,21323
1598412148,21323
1598412149,21337
1598412150,21344
1598412151,21351
1598412152,21351
1598412153,21358
1598412154,21365
1598412155,21365
1598412156,21365
1598412157,21372
1598412158,21372
1598412159,21379
1598412160,21379
1598412161,21393
1598412162,21400
1598412163,21400
1598412164,21400
1598412165,21673
1598412166,22583
1598412167,23220
1598412168,24025
1598412169,25449
1598412170,25716
1598412171,26428
1598412172,26428
1598412173,26428
1598412174,26428
1598412175,26428
1598412176,26428
1598412177,26428
1598412178,26428
1598412179,26428
1598412180,26428
1598412181,26428
1598412182,26428
1598412183,26428
1598412184,26494
1598412185,26538
1598412186,26604
1598412187,26648
1598412188,26692
1598412189,26692
1598412190,26692
1598412191,26692
1598412192,26692
1598412193,26692
1598412194,26764
1598412195,26854
1598412196,26854
1598412197,26854
1598412198,26854
1598412199,26854
1598412200,26854
1598412201,26854
1598412202,26854
1598412203,26861
1598412204,26861
1598412205,26861
1598412206,26869
1598412207,26876
1598412208,26876
1598412209,26883
1598412210,26883
1598412211,26883
1598412212,26891
1598412213,26891
1598412214,26891
1598412215,26891
1598412216,26891
1598412217,26891
1598412218,26891
1598412219,27892
1598412220,28074
1598412221,28814
1598412222,29848
1598412223,30694
1598412224,31540
1598412225,31540
1598412226,31540
1598412227,31540
1598412228,31540
1598412229,31540
1598412230,31540
1598412231,31540
1598412232,31540
1598412233,31540
1598412234,31540
1598412235,31540
1598412236,31540
1598412237,31540
1598412238,31606
1598412239,31650
1598412240,31716
1598412241,31760
1598412242,31760
1598412243,31760
1598412244,31760
1598412245,31760
1598412246,31760
1598412247,31814
1598412248,31904
1598412249,31904
1598412250,31904
1598412251,31904
1598412252,31904
1598412253,31912
1598412254,31912
1598412255,31912
1598412256,31912
1598412257,31912
1598412258,31912
1598412259,31912
1598412260,31912
1598412261,31912
1598412262,31912
1598412263,31920
1598412264,31920
1598412265,31920
1598412266,31928
1598412267,31928
1598412268,31935
1598412269,31935
1598412270,31935
1598412271,32487
1598412272,33315
1598412273,33867
1598412274,34671
1598412275,35472
1598412276,36184
1598412277,36718
1598412278,36718
1598412279,36718
1598412280,36718
1598412281,36718
1598412282,36718
1598412283,36718
1598412284,36718
1598412285,36718
1598412286,36718
1598412287,36718
1598412288,36718
1598412289,36740
1598412290,36784
1598412291,36828
1598412292,36872
1598412293,36872
1598412294,36872
1598412295,36872
1598412296,36872
1598412297,36872
1598412298,36890
1598412300,36962
1598412300,37016
1598412301,37016
1598412302,37016
1598412303,37016
1598412304,37024
1598412305,37024
1598412306,37032
1598412307,37032
1598412308,37040
1598412309,37048
1598412310,37048
1598412311,37048
1598412312,37056
1598412313,37056
1598412314,37064
1598412315,37072
1598412316,37072
1598412317,37072
1598412318,37080
1598412319,37080
1598412320,37088
1598412321,37088
1598412322,37096
1598412323,37096
1598412324,37096
1598412325,37096
1598412326,38108
1598412327,38660
1598412328,39298
1598412329,40188
1598412330,40989
1598412331,41879
1598412332,41968
1598412333,41968
1598412334,41968
1598412335,41968
1598412336,41968
1598412337,41968
1598412338,41968
1598412339,41968
1598412340,41968
1598412341,41968
1598412342,41968
1598412343,41968
1598412344,42012
1598412345,42056
1598412346,42100
1598412347,42122
1598412348,42166
1598412349,42166
1598412350,42166
1598412351,42166
1598412352,42166
1598412353,42166
1598412354,42238
1598412355,42310
1598412356,42310
1598412357,42310
1598412358,42310
1598412359,42310
1598412360,42317
1598412361,42317
1598412362,42324
1598412363,42324
1598412364,42332
1598412365,42340
1598412366,42340
1598412367,42348
1598412368,42356
1598412369,42356
1598412370,42364
1598412371,42372
1598412372,42379
1598412373,42379
1598412374,42379
1598412375,42387
1598412376,42387
1598412377,42387
1598412378,42387
1598412379,42571
1598412380,43583
1598412381,44135
1598412382,44859
1598412383,45759
1598412384,46389
1598412385,47109
1598412386,47109
1598412387,47109
1598412389,47109
1598412389,47109
1598412390,47109
1598412391,47109
1598412392,47109
1598412393,47109
1598412394,47109
1598412395,47109
1598412396,47109
1598412397,47109
1598412398,47109
1598412399,47131
1598412400,47175
1598412401,47197
1598412402,47241
1598412403,47263
1598412404,47263
1598412405,47263
1598412406,47263
1598412407,47263
1598412408,47281
1598412409,47335
1598412410,47407
1598412411,47407
1598412412,47407
1598412413,47407
1598412415,47415
1598412415,47423
1598412416,47423
1598412417,47431
1598412418,47431
1598412419,47431
1598412420,47439
1598412421,47447
1598412422,47455
1598412423,47455
1598412424,47463
1598412425,47471
1598412426,47471
1598412427,47471
1598412428,47479
1598412429,47479
1598412430,47479
1598412431,47663
1598412432,48399
1598412433,49135
1598412434,49767
1598412435,50657
1598412436,51458
1598412437,52348
1598412438,52348
1598412439,52348
1598412439,52348
