t,value
1598411874,0
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,2
1598411885,2
1598411886,2
1598411887,2
1598411888,2
1598411889,2
1598411890,2
1598411891,2
1598411892,2
1598411893,2
1598411894,2
1598411895,2
1598411896,2
1598411897,2
1598411898,2
1598411899,2
1598411900,2
1598411901,2
1598411902,2
1598411903,2
1598411904,2
1598411905,2
1598411906,2
1598411907,2
1598411908,2
1598411909,2
1598411910,2
1598411911,2
1598411912,2
1598411913,2
1598411914,2
1598411915,2
1598411916,2
1598411917,2
1598411918,2
1598411919,2
1598411920,2
1598411921,2
1598411922,2
1598411923,2
1598411924,2
1598411925,2
1598411926,2
1598411927,2
1598411928,2
1598411929,2
1598411930,2
1598411931,2
1598411932,2
1598411933,2
1598411934,2
1598411935,2
1598411936,2
1598411937,2
1598411938,2
1598411939,2
1598411940,2
1598411941,2
1598411942,2
1598411943,2
1598411944,2
1598411945,2
1598411946,2
1598411947,2
1598411948,2
1598411949,2
1598411950,2
1598411951,2
1598411952,2
1598411953,2
1598411954,2
1598411955,2
1598411956,2
1598411957,2
1598411958,2
1598411959,2
1598411960,2
1598411961,2
1598411962,2
1598411963,2
1598411964,2
1598411965,2
1598411966,2
1598411967,2
1598411968,2
1598411969,2
1598411970,2
1598411971,2
1598411972,2
1598411973,2
1598411974,2
1598411975,2
1598411976,2
1598411977,2
1598411978,2
1598411979,2
1598411980,2
1598411981,2
1598411982,2
1598411984,2
1598411984,2
1598411985,2
1598411986,2
1598411987,2
1598411988,2
1598411989,2
1598411990,2
1598411991,2
1598411992,2
1598411993,2
1598411994,2
1598411995,2
1598411996,2
1598411997,2
1598411998,2
1598411999,2
1598412000,2
1598412001,2
1598412002,2
1598412003,2
1598412004,2
1598412005,2
1598412006,2
1598412007,2
1598412008,2
1598412009,2
1598412010,2
1598412011,2
1598412012,2
1598412013,2
1598412014,2
1598412015,2
1598412016,2
1598412017,2
1598412018,2
1598412019,2
1598412020,2
1598412021,2
1598412022,2
1598412023,2
1598412024,2
1598412025,2
1598412026,2
1598412027,2
1598412028,2
1598412029,2
1598412030,2
1598412031,2
1598412032,2
1598412033,2
1598412034,2
1598412035,2
1598412036,2
1598412037,2
1598412039,2
1598412039,2
1598412040,2
1598412041,2
1598412042,2
1598412043,2
1598412044,2
1598412045,2
1598412046,2
1598412047,2
1598412048,2
1598412049,2
1598412050,2
1598412051,2
1598412052,2
1598412053,2
1598412054,2
1598412055,2
1598412056,2
1598412057,2
1598412058,2
1598412059,2
1598412060,2
1598412061,2
1598412062,2
1598412063,2
1598412064,2
1598412065,2
1598412066,2
1598412067,2
1598412068,2
1598412069,2
1598412070,2
1598412071,2
1598412072,2
1598412073,2
1598412074,2
1598412075,2
1598412076,2
1598412077,2
1598412078,2
1598412079,2
1598412080,2
1598412081,2
1598412082,2
1598412083,2
1598412084,2
1598412085,2
1598412086,2
1598412087,2
1598412088,2
1598412089,2
1598412090,2
1598412091,2
1598412092,2
1598412093,2
1598412094,2
1598412095,2
1598412096,2
1598412097,2
1598412098,2
1598412099,2
1598412100,2
1598412101,2
1598412102,2
1598412103,2
1598412104,2
1598412105,2
1598412106,2
1598412107,2
1598412108,2
1598412109,2
1598412110,2
1598412111,2
1598412112,2
1598412113,2
1598412114,2
1598412115,2
1598412116,2
1598412117,2
1598412118,2
1598412119,2
1598412120,2
1598412121,2
1598412122,2
1598412123,2
1598412124,2
1598412125,2
1598412126,2
1598412127,2
1598412128,2
1598412129,2
1598412130,2
1598412131,2
1598412132,2
1598412133,2
1598412134,2
1598412135,2
1598412136,2
1598412137,2
1598412138,2
1598412139,2
1598412140,2
1598412141,2
1598412142,2
1598412143,2
1598412144,2
1598412146,2
1598412146,2
1598412147,2
1598412148,2
1598412149,2
1598412150,2
1598412151,2
1598412152,2
1598412153,2
1598412154,2
1598412155,2
1598412156,2
1598412157,2
1598412158,2
1598412159,2
1598412160,2
1598412161,2
1598412162,2
1598412163,2
1598412164,2
1598412165,2
1598412166,2
1598412167,2
1598412168,2
1598412169,2
1598412170,2
1598412171,2
1598412172,2
1598412173,2
1598412174,2
1598412175,2
1598412176,2
1598412177,2
1598412178,2
1598412179,2
1598412180,2
1598412181,2
1598412182,2
1598412183,2
1598412184,2
1598412185,2
1598412186,2
1598412187,2
1598412188,2
1598412189,2
1598412190,2
1598412191,2
1598412192,2
1598412193,2
1598412194,2
1598412195,2
1598412196,2
1598412197,2
1598412198,2
1598412199,2
1598412200,2
1598412201,2
1598412202,2
1598412203,2
1598412204,2
1598412205,2
1598412206,2
1598412207,2
1598412208,2
1598412209,2
1598412210,2
1598412211,2
1598412212,2
1598412213,2
1598412214,2
1598412215,2
1598412216,2
1598412217,2
1598412218,2
1598412219,2
1598412220,2
1598412221,2
1598412222,2
1598412223,2
1598412224,2
1598412225,2
1598412226,2
1598412227,2
1598412228,2
1598412229,2
1598412230,2
1598412231,2
1598412232,2
1598412233,2
1598412234,2
1598412235,2
1598412236,2
1598412237,2
1598412238,2
1598412239,2
1598412240,2
1598412241,2
1598412242,2
1598412243,2
1598412244,2
1598412245,2
1598412246,2
1598412247,2
1598412248,2
1598412249,2
1598412250,2
1598412251,2
1598412252,2
1598412253,2
1598412254,2
1598412255,2
1598412256,2
1598412257,2
1598412258,2
1598412259,2
1598412260,2
1598412261,2
1598412262,2
1598412263,2
1598412264,2
1598412265,2
1598412266,2
1598412267,2
1598412268,2
1598412269,2
1598412270,2
1598412271,2
1598412272,2
1598412273,2
1598412274,2
1598412275,2
1598412276,2
1598412277,2
1598412278,2
1598412279,2
1598412280,2
1598412281,2
1598412282,2
1598412283,2
1598412284,2
1598412285,2
1598412286,2
1598412287,2
1598412288,2
1598412289,2
1598412290,2
1598412291,2
1598412292,2
1598412293,2
1598412294,2
1598412295,2
1598412296,2
1598412297,2
1598412298,2
1598412300,2
1598412300,2
1598412301,2
1598412302,2
1598412303,2
1598412304,2
1598412305,2
1598412306,2
1598412307,2
1598412308,2
1598412309,2
1598412310,2
1598412311,2
1598412312,2
1598412313,2
1598412314,2
1598412315,2
1598412316,2
1598412317,2
1598412318,2
1598412319,2
1598412320,2
1598412321,2
1598412322,2
1598412323,2
1598412324,2
1598412325,2
1598412326,2
1598412327,2
1598412328,2
1598412329,2
1598412330,2
1598412331,2
1598412332,2
1598412333,2
1598412334,2
1598412335,2
1598412336,2
1598412337,2
1598412338,2
1598412339,2
1598412340,2
1598412341,2
1598412342,2
1598412343,2
1598412344,2
1598412345,2
1598412346,2
1598412347,2
1598412348,2
1598412349,2
1598412350,2
1598412351,2
1598412352,2
1598412353,2
1598412354,2
1598412355,2
1598412356,2
1598412357,2
1598412358,2
1598412359,2
1598412360,2
1598412361,2
1598412362,2
1598412363,2
1598412364,2
1598412365,2
1598412366,2
1598412367,2
1598412368,2
1598412369,2
1598412370,2
1598412371,2
1598412372,2
1598412373,2
1598412374,2
1598412375,2
1598412376,2
1598412377,2
1598412378,2
1598412379,2
1598412380,2
1598412381,2
1598412382,2
1598412383,2
1598412384,2
1598412385,2
1598412386,2
1598412387,2
1598412389,2
1598412389,2
1598412390,2
1598412391,2
1598412392,2
1598412393,2
1598412394,2
1598412395,2
1598412396,2
1598412397,2
1598412398,2
1598412399,2
1598412400,2
1598412401,2
1598412402,2
1598412403,2
1598412404,2
1598412405,2
1598412406,2
1598412407,2
1598412408,2
1598412409,2
1598412410,2
1598412411,2
1598412412,2
1598412413,2
1598412415,2
1598412415,2
1598412416,2
1598412417,2
1598412418,2
1598412419,2
1598412420,2
1598412421,2
1598412422,2
1598412423,2
1598412424,2
1598412425,2
1598412426,2
1598412427,2
1598412428,2
1598412429,2
1598412430,2
1598412431,2
1598412432,2
1598412433,2
1598412434,2
1598412435,2
1598412436,2
1598412437,2
1598412438,2
1598412439,2
1598412439,0
