t,value
1598411874,7460928
1598411875,7652160
1598411876,7760320
1598411877,7834752
1598411878,7888832
1598411879,8094592
1598411880,8110080
1598411881,8147840
1598411882,8172480
1598411883,8180800
1598411884,8908288
1598411885,9058368
1598411886,9314880
1598411887,9526080
1598411888,9556224
1598411889,8704320
1598411890,9856000
1598411891,11538816
1598411892,13770560
1598411893,14607552
1598411894,15787648
1598411895,16982720
1598411896,17533888
1598411897,17982656
1598411898,18247744
1598411899,18431360
1598411900,19096960
1598411901,19495296
1598411902,19504960
1598411903,19516416
1598411904,19539392
1598411905,18871552
1598411906,20854016
1598411907,21100160
1598411908,21613952
1598411909,21518464
1598411910,22084928
1598411911,22441472
1598411912,22588224
1598411913,22774400
1598411914,22976832
1598411915,23367808
1598411916,23544576
1598411917,23672064
1598411918,24343680
1598411919,24418432
1598411920,24426176
1598411921,25722560
1598411922,26228544
1598411923,26465664
1598411924,26547264
1598411925,26788352
1598411926,27099264
1598411927,27511040
1598411928,27804224
1598411929,28021952
1598411930,27696768
1598411931,27097600
1598411932,27277376
1598411933,27455872
1598411934,27523328
1598411935,27747968
1598411936,27843200
1598411937,27435968
1598411938,27762816
1598411939,27890176
1598411940,27806912
1598411941,27825984
1598411942,27925568
1598411943,27992832
1598411944,29056128
1598411945,29810048
1598411946,29991552
1598411947,29996160
1598411948,30713536
1598411949,31593920
1598411950,31431360
1598411951,32026496
1598411952,32278080
1598411953,32399872
1598411954,32333376
1598411955,32107584
1598411956,32491008
1598411957,32718592
1598411958,32815872
1598411959,32938368
1598411960,33035200
1598411961,33040512
1598411962,33047552
1598411963,32244544
1598411964,32277376
1598411965,32282944
1598411966,32284160
1598411967,32350720
1598411968,32466944
1598411969,32507712
1598411970,32032448
1598411971,32206528
1598411972,32303104
1598411973,32405504
1598411974,32566272
1598411975,32625856
1598411976,32648576
1598411977,32810048
1598411978,32465984
1598411979,32657536
1598411980,32938688
1598411981,32900096
1598411982,32900096
1598411984,32977024
1598411984,33010304
1598411985,33081152
1598411986,33111168
1598411987,33049728
1598411988,33049728
1598411989,33089920
1598411990,33180032
1598411991,33230784
1598411992,33283456
1598411993,33315328
1598411994,33373376
1598411995,33401408
1598411996,33459904
1598411997,33459776
1598411998,33427328
1598411999,33464256
1598412000,33504832
1598412001,33736512
1598412002,33796352
1598412003,33831616
1598412004,33956416
1598412005,33988032
1598412006,34132608
1598412007,34235456
1598412008,34362432
1598412009,34546880
1598412010,34642496
1598412011,34755648
1598412012,34865472
1598412013,34922048
1598412014,35068608
1598412015,35070464
1598412016,35073664
1598412017,35073664
1598412018,35073664
1598412019,35074688
1598412020,35077376
1598412021,35077376
1598412022,35077376
1598412023,35077376
1598412024,35171392
1598412025,35183872
1598412026,35187904
1598412027,35265472
1598412028,35293440
1598412029,35448384
1598412030,35585088
1598412031,35635712
1598412032,35736896
1598412033,35736896
1598412034,35738240
1598412035,35741056
1598412036,35742400
1598412037,35671424
1598412039,35416256
1598412039,35412672
1598412040,35412672
1598412041,35272704
1598412042,35295232
1598412043,35296256
1598412044,35370752
1598412045,35379840
1598412046,35408192
1598412047,35438912
1598412048,36034176
1598412049,36035840
1598412050,36070208
1598412051,36068928
1598412052,36068928
1598412053,36068928
1598412054,36108736
1598412055,36117440
1598412056,36126144
1598412057,36150912
1598412058,36219968
1598412059,36240000
1598412060,36244032
1598412061,36276032
1598412062,36306880
1598412063,36318464
1598412064,36352896
1598412065,36476096
1598412066,36633024
1598412067,36695488
1598412068,36696960
1598412069,36807104
1598412070,36800320
1598412071,36885568
1598412072,36885568
1598412073,36902656
1598412074,36962560
1598412075,36962560
1598412076,37019200
1598412077,37019840
1598412078,37024960
1598412079,37080832
1598412080,37185472
1598412081,37185472
1598412082,37186112
1598412083,37193344
1598412084,37497152
1598412085,37494528
1598412086,37645504
1598412087,37685632
1598412088,37697536
1598412089,37697536
1598412090,37690368
1598412091,37700224
1598412092,37724800
1598412093,37745728
1598412094,37793920
1598412095,37793920
1598412096,37800384
1598412097,37803136
1598412098,37815104
1598412099,37885696
1598412100,37896576
1598412101,37922112
1598412102,37912576
1598412103,37924416
1598412104,37935424
1598412105,37935424
1598412106,37939392
1598412107,37894720
1598412108,37896896
1598412109,37901632
1598412110,37975616
1598412111,38023488
1598412112,38023488
1598412113,38035520
1598412114,38074752
1598412115,38316224
1598412116,38337088
1598412117,38525760
1598412118,38586624
1598412119,38718272
1598412120,38730240
1598412121,38732928
1598412122,38989632
1598412123,39104000
1598412124,39120832
1598412125,39123392
1598412126,39123392
1598412127,39123392
1598412128,39123392
1598412129,39118336
1598412130,39117184
1598412131,39184064
1598412132,39188032
1598412133,39194112
1598412134,39200832
1598412135,39206272
1598412136,39240256
1598412137,39163392
1598412138,39350400
1598412139,39361408
1598412140,39371776
1598412141,39371776
1598412142,39390144
1598412143,39390912
1598412144,39349056
1598412146,39011008
1598412146,39015680
1598412147,39015680
1598412148,39046336
1598412149,39056000
1598412150,39104640
1598412151,39071616
1598412152,39071616
1598412153,39063360
1598412154,39109632
1598412155,39109632
1598412156,39196352
1598412157,39226368
1598412158,39272192
1598412159,39286144
1598412160,39286144
1598412161,39293248
1598412162,39291840
1598412163,39300288
1598412164,39318912
1598412165,39320192
1598412166,39326848
1598412167,39344960
1598412168,39512640
1598412169,39610048
1598412170,39603136
1598412171,39570880
1598412172,39569600
1598412173,39737920
1598412174,39843264
1598412175,39868800
1598412176,39951744
1598412177,39976768
1598412178,39980736
1598412179,39980736
1598412180,39981696
1598412181,39983552
1598412182,39984704
1598412183,40076224
1598412184,40082304
1598412185,40069056
1598412186,40096192
1598412187,40110720
1598412188,40250496
1598412189,40337664
1598412190,40397888
1598412191,40489472
1598412192,40489472
1598412193,40499712
1598412194,40536576
1598412195,40528448
1598412196,40535808
1598412197,40536768
1598412198,40558208
1598412199,40571008
1598412200,40574528
1598412201,40574528
1598412202,40601920
1598412203,40578752
1598412204,40494400
1598412205,40645952
1598412206,40682432
1598412207,40693824
1598412208,40694528
1598412209,40694528
1598412210,40686592
1598412211,40690240
1598412212,40714368
1598412213,40697536
1598412214,40702784
1598412215,40744064
1598412216,40806592
1598412217,40817152
1598412218,40816704
1598412219,40769280
1598412220,40787520
1598412221,40806144
1598412222,40904576
1598412223,40945984
1598412224,40952768
1598412225,40991552
1598412226,41015040
1598412227,41065024
1598412228,41395520
1598412229,41413312
1598412230,41450496
1598412231,41459200
1598412232,41459200
1598412233,41450176
1598412234,41450176
1598412235,41464512
1598412236,41465792
1598412237,41470912
1598412238,41503808
1598412239,41531840
1598412240,41536192
1598412241,41544832
1598412242,41551872
1598412243,41519296
1598412244,41520512
1598412245,41532992
1598412246,41532992
1598412247,41542336
1598412248,41573184
1598412249,41573184
1598412250,41589760
1598412251,41587584
1598412252,41569472
1598412253,41578816
1598412254,41578816
1598412255,41516672
1598412256,41532416
1598412257,41536192
1598412258,41556032
1598412259,41556032
1598412260,41563904
1598412261,41566080
1598412262,41609280
1598412263,41614848
1598412264,41624832
1598412265,41605568
1598412266,41605568
1598412267,41616512
1598412268,41569344
1598412269,41668096
1598412270,41668096
1598412271,41805696
1598412272,41834432
1598412273,41849152
1598412274,41864704
1598412275,41870528
1598412276,41904512
1598412277,41885504
1598412278,41955904
1598412279,41960576
1598412280,41967296
1598412281,41971456
1598412282,41971456
1598412283,41978368
1598412284,41936320
1598412285,42030400
1598412286,42123264
1598412287,42123264
1598412288,42111424
1598412289,42168768
1598412290,42167168
1598412291,42177344
1598412292,42177344
1598412293,42314112
1598412294,42341312
1598412295,42348608
1598412296,42348608
1598412297,42348608
1598412298,42347840
1598412300,42365824
1598412300,42384576
1598412301,42385856
1598412302,42385856
1598412303,42385856
1598412304,42399104
1598412305,42399104
1598412306,42399104
1598412307,42406080
1598412308,42406080
1598412309,42406080
1598412310,42391616
1598412311,42391616
1598412312,42377408
1598412313,42377408
1598412314,42379264
1598412315,42379264
1598412316,42379264
1598412317,42324160
1598412318,42320832
1598412319,42320832
1598412320,42305984
1598412321,42305984
1598412322,42303168
1598412323,42320640
1598412324,42321536
1598412325,42321536
1598412326,42497344
1598412327,42508672
1598412328,42516416
1598412329,42555904
1598412330,42557440
1598412331,42665536
1598412332,42699456
1598412333,42699456
1598412334,42740928
1598412335,42782464
1598412336,42785344
1598412337,42785920
1598412338,42795712
1598412339,42845504
1598412340,42846272
1598412341,42846272
1598412342,42846208
1598412343,42846208
1598412344,42844800
1598412345,42844800
1598412346,42811776
1598412347,42811776
1598412348,42912320
1598412349,42988864
1598412350,43189824
1598412351,43281600
1598412352,43281600
1598412353,43294144
1598412354,43338304
1598412355,43349952
1598412356,43350656
1598412357,43447680
1598412358,43447680
1598412359,43447680
1598412360,43450368
1598412361,43449536
1598412362,43452480
1598412363,43452480
1598412364,43455744
1598412365,43451200
1598412366,43451200
1598412367,43450112
1598412368,43204992
1598412369,43204992
1598412370,43217600
1598412371,43218816
1598412372,43228352
1598412373,43228352
1598412374,43236864
1598412375,43236544
1598412376,43236544
1598412377,43258944
1598412378,43125056
1598412379,43125056
1598412380,43180992
1598412381,43183296
1598412382,43208832
1598412383,43216192
1598412384,43228288
1598412385,43238080
1598412386,43258432
1598412387,43333888
1598412389,43355072
1598412389,43442240
1598412390,43601984
1598412391,43631040
1598412392,43631040
1598412393,43631744
1598412394,43648256
1598412395,43670016
1598412396,43665472
1598412397,43665472
1598412398,43633600
1598412399,43633600
1598412400,43633600
1598412401,43633600
1598412402,43612992
1598412403,43564032
1598412404,43649088
1598412405,43782720
1598412406,43782720
1598412407,43782720
1598412408,43789440
1598412409,43795712
1598412410,43808832
1598412411,43753664
1598412412,43768192
1598412413,43768192
1598412415,43832768
1598412415,43832768
1598412416,43832768
1598412417,43837888
1598412418,43837888
1598412419,43837888
1598412420,43837888
1598412421,43837888
1598412422,43837888
1598412423,43843840
1598412424,43873664
1598412425,43904384
1598412426,43904384
1598412427,43904384
1598412428,43884288
1598412429,43909568
1598412430,43921536
1598412431,43922368
1598412432,44028672
1598412433,44038720
1598412434,44056064
1598412435,44057600
1598412436,44057600
1598412437,44057600
1598412438,44057600
1598412439,44057600
1598412439,44086720
