t,value
1598411874,5720000000
1598411875,5840000000
1598411876,5900000000
1598411877,5960000000
1598411878,5990000000
1598411879,6110000000
1598411880,6160000000
1598411881,6220000000
1598411882,6260000000
1598411883,6270000000
1598411884,6860000000
1598411885,7150000000
1598411886,7950000000
1598411887,8320000000
1598411888,8800000000
1598411889,9680000000
1598411890,12810000000
1598411891,15700000000
1598411892,18250000000
1598411893,20670000000
1598411894,23790000000
1598411895,27190000000
1598411896,29470000000
1598411897,31900000000
1598411898,33940000000
1598411899,36290000000
1598411900,38420000000
1598411901,39540000000
1598411902,39570000000
1598411903,39630000000
1598411904,39650000000
1598411905,40290000000
1598411906,43670000000
1598411907,45760000000
1598411908,47170000000
1598411909,48880000000
1598411910,50420000000
1598411911,51160000000
1598411912,52230000000
1598411913,53680000000
1598411914,55310000000
1598411915,57210000000
1598411916,59930000000
1598411917,61030000000
1598411918,62440000000
1598411919,63910000000
1598411920,63920000000
1598411921,66340000000
1598411922,70210000000
1598411923,73670000000
1598411924,74280000000
1598411925,74400000000
1598411926,75570000000
1598411927,78580000000
1598411928,79190000000
1598411929,81240000000
1598411930,82350000000
1598411931,83840000000
1598411932,85350000000
1598411933,86330000000
1598411934,88580000000
1598411935,89460000000
1598411936,91140000000
1598411937,92460000000
1598411938,93510000000
1598411939,95560000000
1598411940,96540000000
1598411941,98290000000
1598411942,99450000000
1598411943,100670000000
1598411944,101510000000
1598411945,105270000000
1598411946,107640000000
1598411947,107820000000
1598411948,109960000000
1598411949,112820000000
1598411950,116680000000
1598411951,119330000000
1598411952,122030000000
1598411953,124300000000
1598411954,126690000000
1598411955,128620000000
1598411956,128920000000
1598411957,130680000000
1598411958,131820000000
1598411959,133930000000
1598411960,134820000000
1598411961,136380000000
1598411962,138210000000
1598411963,140230000000
1598411964,140640000000
1598411965,140650000000
1598411966,140650000000
1598411967,141180000000
1598411968,142190000000
1598411969,143040000000
1598411970,144750000000
1598411971,145240000000
1598411972,146200000000
1598411973,147840000000
1598411974,149600000000
1598411975,152000000000
1598411976,152600000000
1598411977,153500000000
1598411978,154570000000
1598411979,156610000000
1598411980,159860000000
1598411981,160840000000
1598411982,160850000000
1598411983,163720000000
1598411984,165240000000
1598411985,166970000000
1598411986,167440000000
1598411987,168720000000
1598411988,168720000000
1598411989,170000000000
1598411990,170400000000
1598411991,172340000000
1598411992,173160000000
1598411993,174060000000
1598411994,175670000000
1598411995,176060000000
1598411996,177400000000
1598411997,178650000000
1598411998,179060000000
1598411999,180660000000
1598412000,181080000000
1598412001,183420000000
1598412002,184550000000
1598412003,185730000000
1598412004,187980000000
1598412005,190230000000
1598412006,192140000000
1598412007,193930000000
1598412008,195510000000
1598412009,197180000000
1598412010,197720000000
1598412011,199590000000
1598412012,201060000000
1598412013,202900000000
1598412014,204410000000
1598412015,206890000000
1598412016,208410000000
1598412017,209500000000
1598412018,209780000000
1598412019,209790000000
1598412020,209800000000
1598412021,209800000000
1598412022,209810000000
1598412023,209820000000
1598412024,210120000000
1598412025,210820000000
1598412026,211740000000
1598412027,212770000000
1598412028,214070000000
1598412029,214830000000
1598412030,216690000000
1598412031,217950000000
1598412032,220540000000
1598412033,222490000000
1598412034,224430000000
1598412035,225390000000
1598412036,226440000000
1598412038,230370000000
1598412038,232320000000
1598412039,234860000000
1598412040,235730000000
1598412041,237180000000
1598412042,238370000000
1598412043,240450000000
1598412044,241760000000
