t,count
1598411874,0
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,0
1598411891,0
1598411892,0
1598411893,0
1598411894,0
1598411895,0
1598411896,0
1598411897,0
1598411898,0
1598411899,0
1598411900,800000
1598411901,1600000
1598411902,1600000
1598411903,1600000
1598411904,1600000
1598411905,1600000
1598411906,1600000
1598411907,1600002
1598411908,1600005
1598411909,1600007
1598411910,1600010
1598411911,1600011
1598411912,1600011
1598411913,1600011
1598411914,1600011
1598411915,1600011
1598411916,1600011
1598411917,2600012
1598411918,2600016
1598411919,2600020
1598411920,2600020
1598411921,2600020
1598411922,2600024
1598411923,2600030
1598411924,2600031
1598411925,2600031
1598411926,2600031
1598411927,2600041
1598411928,2600042
1598411929,2600052
1598411930,2600057
1598411931,2600064
1598411932,2600070
1598411933,2600075
1598411934,2600085
1598411935,2600088
1598411936,2600097
1598411937,2600101
1598411938,2600108
1598411939,2600116
1598411940,2600121
1598411941,2600130
1598411942,2600134
1598411943,2600141
1598411944,2600141
1598411945,2800141
1598411946,3400141
1598411947,3500141
1598411948,3500141
1598411949,3700228
1598411950,4299672
1598411951,4700974
1598411952,4700974
1598411953,4700974
1598411954,4700974
1598411955,4700974
1598411956,4700974
1598411957,4700974
1598411958,4700974
1598411959,4700974
1598411960,4700974
1598411961,4700974
1598411962,4700974
1598411963,4700974
1598411964,6300974
1598411965,6300974
1598411966,6300974
1598411967,6300974
1598411968,6300976
1598411969,6300978
1598411970,6300979
1598411971,6300982
1598411972,6300982
1598411973,6300982
1598411974,6300982
1598411975,6300982
1598411976,7300982
1598411977,7300985
1598411978,7300989
1598411979,7300991
1598411980,7300997
1598411981,7300999
1598411982,7300999
1598411983,7300999
1598411984,7301007
1598411985,7301013
1598411986,7301015
1598411987,7301023
1598411988,7301023
1598411989,7301029
1598411990,7301031
1598411991,7301039
1598411992,7301041
1598411993,7301047
1598411994,7301055
1598411995,7301055
1598411996,7301063
1598411997,7301069
1598411998,7301071
1598411999,7301079
1598412000,7301079
1598412001,7901079
1598412002,8201079
1598412003,8201079
1598412004,8401692
1598412005,9202368
1598412006,9202368
1598412007,9202368
1598412008,9202368
1598412009,9202368
1598412010,9202368
1598412011,9202368
1598412012,9202368
1598412013,9202368
1598412014,9202368
1598412015,9202368
1598412016,10002368
1598412017,10002368
1598412018,10802368
1598412019,10802368
1598412020,10802368
1598412021,10802368
1598412022,10802368
1598412023,10802368
1598412024,10802368
1598412025,10802369
1598412026,10802371
1598412027,10802374
1598412028,10802376
1598412029,10802379
1598412030,10802379
1598412031,10802379
1598412032,10802379
1598412033,10802379
1598412034,11802379
1598412035,11802382
1598412036,11802386
1598412038,11802390
1598412038,11802392
1598412039,11802397
1598412040,11802399
1598412041,11802403
1598412042,11802410
1598412043,11802420
1598412044,11802426
1598412045,11802432
1598412046,11802442
1598412047,11802443
1598412048,11802449
1598412049,11802454
1598412050,11802464
1598412051,11802471
1598412052,11802471
1598412053,11802478
1598412054,11802487
1598412055,11802495
1598412056,11802501
1598412057,11802509
1598412058,12002509
1598412059,12602509
1598412060,12702509
1598412061,12702509
1598412062,13402164
1598412063,13702597
1598412064,13702597
1598412065,13702597
1598412066,13702597
1598412067,13702597
1598412068,13702597
1598412069,13702597
1598412070,13702597
1598412071,13702597
1598412072,13702597
1598412073,14502597
1598412074,14502597
1598412075,14502597
1598412076,15302597
1598412077,15302597
1598412078,16102597
1598412079,16102597
1598412080,16102599
1598412081,16102601
1598412082,16102604
1598412083,16102607
1598412084,16102609
1598412085,16102609
1598412086,16102609
1598412087,16102609
1598412088,17102609
1598412089,17102609
1598412090,17102611
1598412091,17102615
1598412092,17102618
1598412093,17102620
1598412094,17102624
1598412095,17102630
1598412096,17102634
1598412097,17102642
1598412098,17102654
1598412099,17102662
1598412100,17102670
1598412101,17102678
1598412102,17102690
1598412103,17102696
1598412104,17102702
1598412105,17102710
1598412106,17102719
1598412107,17102726
1598412108,17102736
1598412109,17102745
1598412110,17102750
1598412111,17702750
1598412112,18002750
1598412113,18002750
1598412114,18202257
1598412115,18801484
1598412116,19101375
1598412117,19101375
1598412118,19101375
1598412119,19101375
1598412120,19101375
1598412122,19101375
1598412122,19101375
1598412123,19101375
1598412124,19101375
1598412125,19101375
1598412126,19101375
1598412127,20701375
1598412128,20701375
1598412129,20701375
1598412130,20701375
1598412131,20701375
1598412132,20701377
1598412133,20701379
1598412134,20701382
1598412135,20701385
1598412136,20701387
1598412137,20701387
1598412138,20701387
1598412139,20701387
1598412140,21201387
1598412141,21701387
1598412142,21701390
1598412143,21701394
1598412144,21701396
1598412145,21701400
1598412146,21701405
1598412147,21701408
1598412148,21701416
1598412149,21701424
1598412150,21701434
1598412151,21701444
1598412152,21701454
1598412153,21701462
1598412154,21701470
1598412155,21701480
1598412156,21701482
1598412157,21701492
1598412158,21701502
1598412159,21701504
1598412160,21701512
1598412161,21701520
1598412162,21701528
1598412163,22101528
1598412164,22601528
1598412165,22601528
1598412166,22701341
1598412167,23400991
1598412168,23601197
1598412169,23601197
1598412170,23601197
1598412171,23601197
1598412172,23601197
1598412173,23601197
1598412174,23601197
1598412175,23601197
1598412176,23601197
1598412177,23601197
1598412178,23601197
1598412179,25201197
1598412180,25201197
1598412181,25201197
1598412182,25201197
1598412183,25201197
1598412184,25201198
1598412185,25201199
1598412186,25201201
1598412187,25201202
1598412188,25201204
1598412189,25201204
1598412190,25201204
1598412191,25201204
1598412192,25701204
1598412193,26201204
1598412194,26201206
1598412195,26201210
1598412196,26201213
1598412197,26201218
1598412198,26201218
1598412199,26201218
1598412200,26201223
1598412201,26201225
1598412202,26201231
1598412203,26201234
1598412204,26201239
1598412205,26201246
1598412206,26201249
1598412207,26201253
1598412208,26201260
1598412209,26201260
1598412210,26201267
1598412211,26201273
1598412212,26201274
1598412213,26201281
1598412214,26201285
1598412215,26201288
1598412216,26601288
1598412217,26901288
1598412218,26901288
1598412219,26901288
1598412220,27501779
1598412221,28102342
1598412222,28102342
1598412223,28102342
1598412224,28102342
1598412225,28102342
1598412226,28102342
1598412227,28102342
1598412228,28102342
1598412229,28102342
1598412230,28102342
1598412231,28902342
1598412232,29702342
1598412233,29702342
1598412234,29702342
1598412235,29702342
1598412236,29702342
1598412237,29702342
1598412238,29702344
1598412239,29702346
1598412240,29702347
1598412241,29702350
1598412242,29702350
1598412243,29702350
1598412244,29702350
1598412245,30702350
1598412246,30702350
1598412247,30702354
1598412248,30702358
1598412249,30702359
1598412250,30702365
1598412251,30702367
1598412252,30702367
1598412253,30702373
1598412254,30702375
1598412255,30702383
1598412256,30702387
1598412257,30702391
1598412258,30702399
1598412259,30702405
1598412260,30702407
1598412261,30702415
1598412262,30702422
1598412263,30702425
1598412264,30702431
1598412265,30702439
1598412266,30702439
1598412267,30702447
1598412268,30702447
1598412269,31302447
1598412270,31602447
1598412271,31602447
1598412272,31802506
1598412273,32502890
1598412274,32602675
1598412275,32602675
1598412276,32602675
1598412277,32602675
1598412278,32602675
1598412279,32602675
1598412280,32602675
1598412281,32602675
1598412282,32602675
1598412283,32602675
1598412284,32602675
1598412285,34202675
1598412286,34202675
1598412287,34202675
1598412288,34202675
1598412289,34202676
1598412290,34202678
1598412291,34202680
1598412292,34202682
1598412293,34202683
1598412294,34202683
1598412295,34202683
1598412296,34702683
1598412297,35202683
1598412298,35202684
1598412299,35202688
1598412300,35202692
1598412301,35202696
1598412302,35202698
1598412303,35202700
1598412304,35202700
1598412305,35202708
1598412306,35202708
1598412307,35202716
1598412308,35202720
1598412309,35202724
1598412310,35202732
1598412311,35202732
1598412312,35202737
1598412313,35202740
1598412314,35202746
1598412315,35202748
1598412316,35202756
1598412317,35202760
1598412318,35202764
1598412319,35202772
1598412320,35202774
1598412321,35202780
1598412322,35402780
1598412323,36002780
1598412324,36102780
1598412325,36102780
1598412326,36102780
1598412327,36703141
1598412328,37102771
1598412329,37102771
1598412330,37102771
1598412331,37102771
1598412332,37102771
1598412333,37102771
1598412334,37102771
1598412335,37102771
1598412336,37102771
1598412337,37902771
1598412338,38702771
1598412339,38702771
1598412340,38702771
1598412341,38702771
1598412342,39502771
1598412343,39502771
1598412344,39502773
1598412345,39502774
1598412346,39502776
1598412347,39502777
1598412348,39502779
1598412349,39502779
1598412350,39502779
1598412351,39502779
1598412352,40502779
1598412353,40502779
1598412354,40502784
1598412355,40502789
1598412356,40502791
1598412357,40502795
1598412358,40502797
1598412359,40502797
1598412360,40502797
1598412361,40502805
1598412362,40502807
1598412363,40502813
1598412364,40502821
1598412365,40502823
1598412366,40502829
1598412367,40502835
1598412368,40502837
1598412369,40502845
1598412370,40502853
1598412371,40502853
1598412372,40502861
1598412373,40502861
1598412374,40502869
1598412375,40502871
1598412376,40502877
1598412377,40702877
1598412378,41302877
1598412379,41502877
1598412380,41502877
1598412381,42204210
1598412382,42503961
1598412383,42503961
1598412384,42503961
1598412385,42503961
1598412386,42503961
1598412387,42503961
1598412388,42503961
1598412389,42503961
1598412390,42503961
1598412391,42503961
1598412392,42503961
1598412393,43303961
1598412394,44103961
1598412395,44103961
1598412396,44103961
1598412397,44103961
1598412398,44103961
1598412399,44103963
1598412400,44103964
1598412401,44103966
1598412402,44103968
1598412403,44103970
1598412404,44103970
1598412405,44103970
1598412406,44103970
1598412407,44103970
1598412408,45103971
1598412409,45103975
1598412410,45103980
1598412411,45103982
1598412412,45103986
1598412413,45103989
1598412414,45103991
1598412415,45103998
1598412416,45104006
1598412417,45104011
1598412418,45104016
1598412419,45104025
1598412420,45104032
1598412421,45104037
1598412422,45104043
1598412423,45104052
1598412424,45104054
1598412425,45104061
1598412426,45104070
1598412427,45104076
1598412428,45104079
1598412429,45504079
1598412430,46104079
1598412431,46104079
1598412432,46104079
1598412433,46705058
1598412434,47105654
1598412435,47105654
1598412436,47105654
1598412437,47105654
1598412438,47105654
1598412439,47105654
1598412439,47105654
