t,value
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,51015000
1598411886,51015000
1598411887,51015000
1598411888,51015000
1598411889,51015000
1598411890,51015000
1598411891,51015000
1598411892,51015000
1598411893,51015000
1598411894,51015000
1598411895,178528272
1598411896,178528272
1598411897,178528272
1598411898,178528272
1598411899,178528272
1598411900,178528272
1598411901,178528272
1598411902,178528272
1598411903,178528272
1598411904,178528272
1598411905,1561937896
1598411906,1561937896
1598411907,1561937896
1598411908,1561937896
1598411909,1561937896
1598411910,1561937896
1598411911,1561937896
1598411912,1561937896
1598411913,1561937896
1598411914,1561937896
1598411915,1352192360
1598411916,1352192360
1598411917,1352192360
1598411918,1352192360
1598411919,1352192360
1598411920,1352192360
1598411921,1352192360
1598411922,1352192360
1598411923,1352192360
1598411924,1352192360
1598411925,2084397040
1598411926,2084397040
1598411927,2084397040
1598411928,2084397040
1598411929,2084397040
1598411930,2084397040
1598411931,2084397040
1598411932,2084397040
1598411933,2084397040
1598411934,2084397040
1598411935,1366919968
1598411936,1366919968
1598411937,1366919968
1598411938,1366919968
1598411939,1366919968
1598411940,1366919968
1598411941,1366919968
1598411942,1366919968
1598411943,1366919968
1598411944,1366919968
1598411945,2259340688
1598411946,2259340688
1598411947,2259340688
1598411948,2259340688
1598411949,2259340688
1598411950,2259340688
1598411951,2259340688
1598411952,2259340688
1598411953,2259340688
1598411954,2259340688
1598411955,2510692776
1598411956,2510692776
1598411957,2510692776
1598411958,2510692776
1598411959,2510692776
1598411960,2510692776
1598411961,2510692776
1598411962,2510692776
1598411963,2510692776
1598411964,2510692776
1598411965,2570238936
1598411966,2570238936
1598411967,2570238936
1598411968,2570238936
1598411969,2570238936
1598411970,2570238936
1598411971,2570238936
1598411972,2570238936
1598411973,2570238936
1598411974,2570238936
1598411975,2100209456
1598411976,2100209456
1598411977,2100209456
1598411978,2100209456
1598411979,2100209456
1598411980,2100209456
1598411981,2100209456
1598411982,2100209456
1598411983,2100209456
1598411984,2100209456
1598411985,2460857136
1598411986,2460857136
1598411987,2460857136
1598411988,2460857136
1598411989,2460857136
1598411990,2460857136
1598411991,2460857136
1598411992,2460857136
1598411993,2460857136
1598411994,2460857136
1598411995,3037217904
1598411996,3037217904
1598411997,3037217904
1598411998,3037217904
1598411999,3037217904
1598412000,3037217904
1598412001,3037217904
1598412002,3037217904
1598412003,3037217904
1598412004,3037217904
1598412005,2714939704
1598412006,2714939704
1598412007,2714939704
1598412008,2714939704
1598412009,2714939704
1598412010,2714939704
1598412011,2714939704
1598412012,2714939704
1598412013,2714939704
1598412014,2714939704
1598412015,2477808088
1598412016,2477808088
1598412017,2477808088
1598412018,2477808088
1598412019,2477808088
1598412020,2477808088
1598412021,2477808088
1598412022,2477808088
1598412023,2477808088
1598412024,2477808088
1598412025,3363073224
1598412026,3363073224
1598412027,3363073224
1598412028,3363073224
1598412029,3363073224
1598412030,3363073224
1598412031,3363073224
1598412032,3363073224
1598412033,3363073224
1598412034,3363073224
1598412035,2787330704
1598412036,2787330704
1598412037,2787330704
1598412038,2787330704
1598412039,2787330704
1598412040,2787330704
1598412041,2787330704
1598412042,2787330704
1598412043,2787330704
1598412044,2787330704
1598412045,2934556200
1598412046,2934556200
1598412047,2934556200
1598412048,2934556200
1598412049,2934556200
1598412050,2934556200
1598412051,2934556200
1598412052,2934556200
1598412053,2934556200
1598412054,2934556200
1598412055,2551248096
1598412056,2551248096
1598412057,2551248096
1598412058,2551248096
1598412059,2551248096
1598412060,2551248096
1598412061,2551248096
1598412062,2551248096
1598412063,2551248096
1598412064,2551248096
1598412065,2877386696
1598412066,2877386696
1598412067,2877386696
1598412068,2877386696
1598412069,2877386696
1598412070,2877386696
1598412071,2877386696
1598412072,2877386696
1598412073,2877386696
1598412074,2877386696
1598412075,2730566720
1598412076,2730566720
1598412077,2730566720
1598412078,2730566720
1598412079,2730566720
1598412080,2730566720
1598412081,2730566720
1598412082,2730566720
1598412083,2730566720
1598412084,2730566720
1598412085,3241601496
1598412086,3241601496
1598412087,3241601496
1598412088,3241601496
1598412089,3241601496
1598412090,3241601496
1598412091,3241601496
1598412092,3241601496
1598412093,3241601496
1598412094,3241601496
1598412095,2123694256
1598412096,2123694256
1598412097,2123694256
1598412098,2123694256
1598412099,2123694256
