t,value
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,0
1598411891,0
1598411892,0
1598411893,4
1598411894,8
1598411895,8
1598411896,16
1598411897,16
1598411898,24
1598411899,28
1598411900,32
1598411901,32
1598411902,32
1598411903,32
1598411904,32
1598411905,32
1598411906,32
1598411907,32
1598411908,32
1598411909,32
1598411910,32
1598411911,32
1598411912,40
1598411913,46
1598411914,52
1598411915,68
1598411916,72
1598411917,72
1598411918,72
1598411919,72
1598411920,72
1598411921,72
1598411922,72
1598411923,72
1598411924,72
1598411925,72
1598411926,72
1598411927,72
1598411928,72
1598411929,72
1598411930,72
1598411931,72
1598411932,72
1598411933,72
1598411934,72
1598411935,72
1598411936,72
1598411937,72
1598411938,72
1598411939,72
1598411940,72
1598411941,72
1598411942,72
1598411943,72
1598411944,72
1598411945,72
1598411946,72
1598411947,72
1598411948,72
1598411949,72
1598411950,72
1598411951,72
1598411952,72
1598411953,72
1598411954,72
1598411955,72
1598411956,72
1598411957,80
1598411958,88
1598411959,88
1598411960,96
1598411961,104
1598411962,104
1598411963,104
1598411964,104
1598411965,104
1598411966,104
1598411967,104
1598411968,104
1598411969,104
1598411970,104
1598411971,104
1598411972,112
1598411973,120
1598411974,136
1598411975,144
1598411976,144
1598411977,144
1598411978,144
1598411979,144
1598411980,144
1598411981,144
1598411982,144
1598411983,144
1598411984,144
1598411985,144
1598411986,144
1598411987,144
1598411988,144
1598411989,144
1598411990,144
1598411991,144
1598411992,144
1598411993,144
1598411994,144
1598411995,144
1598411996,144
1598411997,144
1598411998,144
1598411999,144
1598412000,144
1598412001,144
1598412002,144
1598412003,144
1598412004,144
1598412005,144
1598412006,144
1598412007,144
1598412008,144
1598412009,144
1598412010,144
1598412011,152
1598412012,160
1598412013,160
1598412014,168
1598412015,176
1598412016,176
1598412017,176
1598412018,176
1598412019,176
1598412020,176
1598412021,176
1598412022,176
1598412023,176
1598412024,176
1598412025,176
1598412026,176
1598412027,176
1598412028,176
1598412029,176
1598412030,184
1598412031,200
1598412032,212
1598412033,216
1598412034,216
1598412035,216
1598412036,216
1598412037,216
1598412038,216
1598412039,216
1598412040,216
1598412041,216
1598412042,216
1598412043,216
1598412044,216
1598412045,216
1598412046,216
1598412047,216
1598412048,216
1598412049,216
1598412050,216
1598412051,216
1598412052,216
1598412053,216
1598412054,216
1598412055,216
1598412056,216
1598412057,216
1598412058,216
1598412059,216
1598412060,216
1598412061,216
1598412062,216
1598412063,216
1598412064,216
1598412065,216
1598412066,216
1598412067,218
1598412068,226
1598412069,230
1598412070,234
1598412071,238
1598412072,242
1598412073,246
1598412074,246
1598412075,250
1598412076,250
1598412077,250
1598412078,250
1598412079,250
1598412080,250
1598412081,250
1598412082,250
1598412083,250
1598412084,250
1598412085,258
1598412086,274
1598412087,286
1598412088,290
1598412089,290
1598412090,290
1598412091,290
1598412092,290
1598412093,290
1598412094,290
1598412095,290
1598412096,290
1598412097,290
1598412098,290
1598412099,290
1598412100,290
1598412101,290
1598412102,290
1598412103,290
1598412104,290
1598412105,290
1598412106,290
1598412107,290
1598412108,290
1598412109,290
1598412110,290
1598412111,290
1598412112,290
1598412113,290
1598412114,290
1598412115,290
1598412116,290
1598412117,290
1598412118,290
1598412119,290
1598412120,290
1598412121,298
1598412122,306
1598412123,310
1598412124,316
1598412125,322
1598412126,322
1598412127,322
1598412128,322
1598412129,322
1598412130,322
1598412131,322
1598412132,322
1598412133,322
1598412134,322
1598412135,322
1598412136,322
1598412137,330
1598412138,346
1598412139,358
1598412140,362
1598412141,362
1598412142,362
1598412143,362
1598412144,362
1598412145,362
1598412146,362
1598412147,362
1598412148,362
1598412149,362
1598412150,362
1598412151,362
1598412152,362
1598412153,362
1598412154,362
1598412155,362
1598412156,362
1598412157,362
1598412158,362
1598412159,362
1598412160,362
1598412161,362
1598412162,362
1598412163,362
1598412164,362
1598412165,362
1598412166,362
1598412167,362
1598412168,362
1598412169,362
1598412170,362
1598412171,362
1598412172,371
1598412173,375
1598412174,379
1598412175,387
1598412176,395
1598412177,395
1598412178,399
1598412179,403
1598412180,407
1598412181,411
1598412182,411
1598412183,411
1598412184,411
1598412185,411
1598412186,411
1598412187,411
1598412188,411
1598412189,419
