t,value
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,0
1598411891,6
1598411892,6
1598411893,6
1598411894,6
1598411895,6
1598411896,6
1598411897,6
1598411898,6
1598411899,6
1598411900,6
1598411901,17
1598411902,17
1598411903,17
1598411904,17
1598411905,17
1598411906,17
1598411907,17
1598411908,17
1598411909,17
1598411910,17
1598411911,20
1598411912,20
1598411913,20
1598411914,20
1598411915,20
1598411916,20
1598411917,20
1598411918,20
1598411919,20
1598411920,20
1598411921,27
1598411922,27
1598411923,27
1598411924,27
1598411925,27
1598411926,27
1598411927,27
1598411928,27
1598411929,27
1598411930,27
1598411931,40
1598411932,40
1598411933,40
1598411934,40
1598411935,40
1598411936,40
1598411937,40
1598411938,40
1598411939,40
1598411940,40
1598411941,56
1598411942,56
1598411943,56
1598411944,56
1598411945,56
1598411946,56
1598411947,56
1598411948,56
1598411949,56
1598411950,56
1598411951,64
1598411952,64
1598411953,64
1598411954,64
1598411955,64
1598411956,64
1598411957,64
1598411958,64
1598411959,64
1598411960,64
1598411961,71
1598411962,71
1598411963,71
1598411964,71
1598411965,71
1598411966,71
1598411967,71
1598411968,71
1598411969,71
1598411970,71
1598411971,79
1598411972,79
1598411973,79
1598411974,79
1598411975,79
1598411976,79
1598411977,79
1598411978,79
1598411979,79
1598411980,79
1598411981,96
1598411982,96
1598411983,96
1598411984,96
1598411985,96
1598411986,96
1598411987,96
1598411988,96
1598411989,96
1598411990,96
1598411991,117
1598411992,117
1598411993,117
1598411994,117
1598411995,117
1598411996,117
1598411997,117
1598411998,117
1598411999,117
1598412000,117
1598412001,136
1598412002,136
1598412003,136
1598412004,136
1598412005,136
1598412006,136
1598412007,136
1598412008,136
1598412009,136
1598412010,136
1598412011,142
1598412012,142
1598412013,142
1598412014,142
1598412015,142
1598412016,142
1598412017,142
1598412018,142
1598412019,142
1598412020,142
1598412021,148
1598412022,148
1598412023,148
1598412024,148
1598412025,148
1598412026,148
1598412027,148
1598412028,148
1598412029,148
1598412030,148
1598412031,155
1598412032,155
1598412033,155
1598412034,155
1598412035,155
1598412036,155
1598412037,155
1598412038,155
1598412039,155
1598412040,155
1598412041,175
1598412042,175
1598412043,175
1598412044,175
1598412045,175
1598412046,175
1598412047,175
1598412048,175
1598412049,175
1598412050,175
1598412051,197
1598412052,197
1598412053,197
1598412054,197
1598412055,197
1598412056,197
1598412057,197
1598412058,197
1598412059,197
1598412060,197
1598412061,211
1598412062,211
1598412063,211
1598412064,211
1598412065,211
1598412066,211
1598412067,211
1598412068,211
1598412069,211
1598412070,211
1598412071,217
1598412072,217
1598412073,217
1598412074,217
1598412075,217
1598412076,217
1598412077,217
1598412078,217
1598412079,217
1598412080,217
1598412081,223
1598412082,223
1598412083,223
1598412084,223
1598412085,223
1598412086,223
1598412087,223
1598412088,223
1598412089,223
1598412090,223
1598412091,234
1598412092,234
1598412093,234
1598412094,234
1598412095,234
1598412096,234
1598412097,234
1598412098,234
1598412099,234
1598412100,234
1598412101,257
1598412102,257
1598412103,257
1598412104,257
1598412105,257
1598412106,257
1598412107,257
1598412108,257
1598412109,257
1598412110,257
1598412111,275
1598412112,275
1598412113,275
1598412114,275
1598412115,275
1598412116,275
1598412117,275
1598412118,275
1598412119,275
1598412120,275
1598412121,281
1598412122,281
1598412123,281
1598412124,281
1598412125,281
1598412126,281
1598412127,281
1598412128,281
1598412129,281
1598412130,281
1598412131,286
1598412132,286
1598412133,286
1598412134,286
1598412135,286
1598412136,286
1598412137,286
1598412138,286
1598412139,286
1598412140,286
1598412141,298
1598412142,298
1598412143,298
1598412144,298
1598412145,298
1598412146,298
1598412147,298
1598412148,298
1598412149,298
1598412150,298
1598412151,319
1598412152,319
1598412153,319
1598412154,319
1598412155,319
1598412156,319
1598412157,319
1598412158,319
1598412159,319
1598412160,319
1598412161,337
1598412162,337
1598412163,337
1598412164,337
1598412165,337
1598412166,337
1598412167,337
1598412168,337
1598412169,337
1598412170,337
1598412171,345
1598412172,345
1598412173,345
1598412174,345
1598412175,345
1598412176,345
1598412177,345
1598412178,345
1598412179,345
1598412180,345
1598412181,351
1598412182,351
1598412183,351
1598412184,351
1598412185,351
1598412186,351
1598412187,351
1598412188,351
1598412189,351
