t,count
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,0
1598411891,0
1598411892,0
1598411893,0
1598411894,0
1598411895,0
1598411896,0
1598411897,0
1598411898,0
1598411899,0
1598411900,0
1598411901,10402
1598411902,10402
1598411903,10402
1598411904,10402
1598411905,10402
1598411906,10402
1598411907,10534
1598411908,10543
1598411909,10549
1598411910,10559
1598411911,10566
1598411912,10566
1598411913,10566
1598411914,10566
1598411915,10566
1598411916,10585
1598411917,10605
1598411918,10637
1598411919,10652
1598411920,10659
1598411921,10659
1598411922,10659
1598411923,11497
1598411924,11509
1598411925,11511
1598411926,11599
1598411927,11686
1598411928,11700
1598411929,11731
1598411930,11743
1598411931,11787
1598411932,11806
1598411933,11841
1598411934,11873
1598411935,11888
1598411936,11920
1598411937,11929
1598411938,11965
1598411939,11999
1598411940,12012
1598411941,12045
1598411942,12053
1598411943,12100
1598411944,12112
1598411945,12112
1598411946,12582
1598411947,12594
1598411948,12604
1598411949,12642
1598411950,12665
1598411951,12667
1598411952,12683
1598411953,12684
1598411954,12699
1598411955,12742
1598411956,12745
1598411957,12745
1598411958,12745
1598411959,12745
1598411960,12745
1598411961,12745
1598411962,12745
1598411963,12761
1598411964,12761
1598411965,12761
1598411966,12761
1598411967,12761
1598411968,12776
1598411969,12779
1598411970,12783
1598411971,12787
1598411972,12790
1598411973,12790
1598411974,12790
1598411975,12790
1598411976,12790
1598411977,12804
1598411978,12821
1598411979,12830
1598411980,12852
1598411981,12855
1598411982,12861
1598411983,12867
1598411984,12894
1598411985,12913
1598411986,12937
1598411987,12966
1598411988,12966
1598411989,12978
1598411990,13005
1598411991,13031
1598411992,13041
1598411993,13063
1598411994,13078
1598411995,13101
1598411996,13135
1598411997,13146
1598411998,13174
1598411999,13201
1598412000,13211
1598412001,13238
1598412002,13244
1598412003,13253
1598412004,13267
1598412005,13280
1598412006,13284
1598412007,13288
1598412008,13298
1598412009,13311
1598412010,13313
1598412011,13313
1598412012,13313
1598412013,13313
1598412014,13313
1598412015,13313
1598412016,13319
1598412017,13319
1598412018,13326
1598412019,13326
1598412020,13326
1598412021,13326
1598412022,13326
1598412023,13326
1598412024,13326
1598412025,13332
1598412026,13338
1598412027,13342
1598412028,13344
1598412029,13347
1598412030,13350
1598412031,13350
1598412032,13350
1598412033,13350
1598412034,13365
1598412035,13372
1598412036,13385
1598412037,13392
1598412038,13409
1598412039,13412
1598412040,13417
1598412041,13420
1598412042,13447
1598412043,13473
1598412044,13483
1598412045,13514
1598412046,13542
1598412047,13552
1598412048,13560
1598412049,13581
1598412050,13605
1598412051,13615
1598412052,13643
1598412053,13648
1598412054,13673
1598412055,13701
1598412056,13717
1598412057,13742
1598412058,13757
1598412059,13777
1598412060,13785
1598412061,13797
1598412062,13807
1598412063,13807
1598412064,13816
1598412065,13824
1598412066,13836
1598412067,13837
1598412068,13837
1598412069,13837
1598412070,13837
1598412071,13837
1598412072,13837
1598412073,13846
1598412074,13846
1598412075,13853
1598412076,13853
1598412077,13853
1598412078,13854
1598412079,13854
1598412080,13868
1598412081,13870
1598412082,13872
1598412083,13874
1598412084,13877
1598412085,13878
1598412086,13878
1598412087,13878
1598412088,13885
1598412089,13893
1598412090,13893
1598412091,13912
1598412092,13919
1598412093,13921
1598412094,13939
1598412095,13943
1598412096,13945
1598412097,13979
1598412098,14021
1598412099,14036
1598412100,14060
1598412101,14085
1598412102,14112
1598412103,14127
1598412104,14147
1598412105,14176
1598412106,14186
1598412107,14208
1598412108,14240
1598412109,14253
1598412110,14273
1598412111,14303
1598412112,14310
1598412113,14315
1598412114,14328
1598412115,14335
1598412116,14335
1598412117,14344
1598412118,14353
1598412119,14366
1598412120,14367
1598412121,14367
1598412122,14367
1598412123,14367
1598412124,14367
1598412125,14367
1598412126,14367
1598412127,14378
1598412128,14378
1598412129,14378
1598412130,14378
1598412131,14378
1598412132,14384
1598412133,14392
1598412134,14394
1598412135,14396
1598412136,14398
1598412137,14400
1598412138,14400
1598412139,14400
1598412140,14406
1598412141,14412
1598412142,14418
1598412143,14430
1598412144,14439
1598412145,14454
1598412146,14458
1598412147,14462
1598412148,14479
1598412149,14500
1598412150,14525
1598412151,14551
1598412152,14575
1598412153,14597
