t,value
1598411874,0
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,2
1598411891,2
1598411892,2
1598411893,2
1598411894,2
1598411895,2
1598411896,2
1598411897,2
1598411898,2
1598411899,2
1598411900,5
1598411901,5
1598411902,5
1598411903,5
1598411904,5
1598411905,5
1598411906,5
1598411907,5
1598411908,5
1598411909,5
1598411910,6
1598411911,6
1598411912,6
1598411913,6
1598411914,6
1598411915,6
1598411916,6
1598411917,6
1598411918,6
1598411919,6
1598411920,6
1598411921,6
1598411922,6
1598411923,6
1598411924,6
1598411925,6
1598411926,6
1598411927,6
1598411928,6
1598411929,6
1598411930,7
1598411931,7
1598411932,7
1598411933,7
1598411934,7
1598411935,7
1598411936,7
1598411937,7
1598411938,7
1598411939,7
1598411940,7
1598411941,7
1598411942,7
1598411943,7
1598411944,7
1598411945,7
1598411946,7
1598411947,7
1598411948,7
1598411949,7
1598411950,7
1598411951,7
1598411952,7
1598411953,7
1598411954,7
1598411955,7
1598411956,7
1598411957,7
1598411958,7
1598411959,7
1598411960,8
1598411961,8
1598411962,8
1598411963,8
1598411964,8
1598411965,8
1598411966,8
1598411967,8
1598411968,8
1598411969,8
1598411970,9
1598411971,9
1598411972,9
1598411973,9
1598411974,9
1598411975,9
1598411976,9
1598411977,9
1598411978,9
1598411979,9
1598411980,10
1598411981,10
1598411983,10
1598411983,10
1598411984,10
1598411985,10
1598411986,10
1598411987,10
1598411988,10
1598411989,10
1598411990,11
1598411991,11
1598411992,11
1598411993,11
1598411994,11
1598411995,11
1598411996,11
1598411997,11
1598411998,11
1598411999,11
1598412000,11
1598412001,11
1598412002,11
1598412003,11
1598412004,11
1598412005,11
1598412006,11
1598412007,11
1598412008,11
1598412009,11
1598412010,11
1598412011,11
1598412012,11
1598412013,11
1598412014,11
1598412015,11
1598412016,11
1598412017,11
1598412018,11
1598412019,11
1598412020,12
1598412021,12
1598412022,12
1598412023,12
1598412024,12
1598412025,12
1598412026,12
1598412027,12
1598412028,12
1598412029,12
1598412030,12
1598412031,12
1598412032,12
1598412033,12
1598412034,12
1598412035,12
1598412036,12
1598412037,12
1598412038,12
1598412039,12
1598412040,14
1598412041,14
1598412042,14
1598412043,14
1598412044,14
1598412045,14
1598412046,14
1598412047,14
1598412048,14
1598412049,14
1598412050,14
1598412051,14
1598412052,14
1598412053,14
1598412054,14
1598412055,14
1598412056,14
1598412057,14
1598412058,14
1598412059,14
1598412060,14
1598412061,14
1598412062,14
1598412063,14
1598412064,14
1598412065,14
1598412066,14
1598412067,14
1598412068,14
1598412069,14
1598412070,15
1598412071,15
1598412072,15
1598412073,15
1598412074,15
1598412075,15
1598412076,15
1598412077,15
1598412078,15
1598412079,15
1598412080,15
1598412081,15
1598412082,15
1598412083,15
1598412084,15
1598412085,15
1598412086,15
1598412087,15
1598412088,15
1598412089,15
1598412090,15
1598412091,15
1598412092,15
1598412093,15
1598412094,15
1598412095,15
1598412096,15
1598412097,15
1598412098,15
1598412099,15
1598412100,17
1598412101,17
1598412102,17
1598412103,17
1598412104,17
1598412105,17
1598412106,17
1598412107,17
1598412108,17
1598412109,17
1598412110,17
1598412111,17
1598412112,17
1598412113,17
1598412114,17
1598412115,17
1598412116,17
1598412117,17
1598412118,17
1598412119,17
1598412120,17
1598412121,17
1598412122,17
1598412123,17
1598412124,17
1598412125,17
1598412126,17
1598412127,17
1598412128,17
1598412129,17
1598412130,18
1598412131,18
1598412132,18
1598412133,18
1598412134,18
1598412135,18
1598412136,18
1598412137,18
1598412138,18
1598412139,18
1598412140,19
1598412141,19
1598412142,19
1598412143,19
1598412144,19
1598412145,19
1598412146,19
1598412147,19
1598412148,19
1598412149,19
1598412150,20
1598412151,20
1598412152,20
1598412153,20
1598412154,20
1598412155,20
1598412156,20
1598412157,20
1598412158,20
1598412159,20
1598412160,20
1598412161,20
1598412162,20
1598412163,20
1598412164,20
1598412165,20
1598412166,20
1598412167,20
1598412168,20
1598412169,20
1598412170,20
1598412171,20
1598412172,20
1598412173,20
1598412174,20
1598412175,20
1598412176,20
1598412177,20
1598412178,20
1598412179,20
1598412180,21
1598412181,21
1598412182,21
1598412183,21
1598412184,21
1598412185,21
1598412186,21
1598412187,21
1598412188,21
1598412189,21
1598412190,22
1598412191,22
1598412192,22
1598412193,22
1598412194,22
1598412195,22
1598412196,22
1598412197,22
1598412198,22
1598412199,22
1598412200,22
1598412201,24
1598412202,24
1598412203,24
1598412204,24
1598412205,24
1598412206,24
1598412207,24
1598412208,24
1598412209,24
1598412210,24
1598412211,24
1598412212,24
1598412213,24
1598412214,24
1598412215,24
1598412216,24
1598412217,24
1598412218,24
1598412219,24
1598412220,24
1598412221,24
1598412222,24
1598412223,24
1598412224,24
1598412225,24
1598412226,24
1598412227,24
1598412228,24
1598412229,24
1598412230,25
1598412231,25
1598412232,25
1598412233,25
1598412234,25
1598412235,25
1598412236,25
1598412237,25
1598412238,25
1598412239,25
1598412240,25
1598412241,25
1598412242,25
1598412243,25
1598412244,25
1598412245,25
1598412246,25
1598412247,25
1598412248,25
1598412250,25
1598412250,27
1598412251,27
1598412252,27
1598412253,27
1598412254,27
1598412255,27
1598412256,27
1598412257,27
1598412258,27
1598412259,27
1598412260,28
1598412261,28
1598412262,28
1598412263,28
1598412264,28
1598412265,28
1598412266,28
1598412267,28
1598412268,28
1598412269,28
1598412270,28
1598412271,28
1598412272,28
1598412273,28
1598412274,28
1598412275,28
1598412276,28
1598412277,28
1598412278,28
1598412279,28
1598412280,28
1598412281,28
1598412282,28
1598412283,28
1598412284,28
1598412285,28
1598412287,28
1598412287,28
1598412288,28
1598412289,28
1598412290,29
1598412291,29
1598412292,29
1598412293,29
1598412294,29
1598412295,29
1598412296,29
1598412297,29
1598412298,29
1598412299,29
1598412300,29
1598412301,29
1598412302,29
1598412304,29
1598412304,29
1598412305,29
1598412306,29
1598412307,29
1598412308,29
1598412309,29
1598412310,31
1598412311,31
1598412312,31
1598412313,31
1598412314,31
1598412315,31
1598412316,31
1598412317,31
1598412318,31
1598412319,31
1598412320,31
1598412321,31
1598412322,31
1598412323,31
1598412324,31
1598412325,31
1598412326,31
1598412327,31
1598412328,31
1598412329,31
1598412330,31
1598412331,31
1598412332,31
1598412333,31
1598412334,31
1598412335,31
1598412336,31
1598412337,31
1598412338,31
1598412339,31
1598412340,32
1598412341,32
1598412342,32
1598412343,32
1598412344,32
1598412345,32
1598412346,32
1598412347,32
1598412348,32
1598412349,32
1598412350,33
1598412351,33
1598412352,33
1598412353,33
1598412354,33
1598412355,33
1598412356,33
1598412357,33
1598412358,33
1598412359,33
1598412360,34
1598412361,34
1598412362,34
1598412363,34
1598412364,34
1598412365,34
1598412366,34
1598412367,34
1598412368,34
1598412369,34
1598412370,34
1598412371,34
1598412372,34
1598412373,34
1598412374,34
1598412375,34
1598412376,34
1598412377,34
1598412378,34
1598412379,34
1598412380,34
1598412381,34
1598412382,34
1598412383,34
1598412384,34
1598412385,34
1598412386,34
1598412387,34
1598412388,34
1598412389,34
1598412390,35
1598412391,35
1598412392,35
1598412393,35
1598412394,35
1598412395,35
1598412396,35
1598412397,35
1598412398,35
1598412399,35
1598412400,36
1598412401,36
1598412402,36
1598412403,36
1598412404,36
1598412405,36
1598412406,36
1598412407,36
1598412408,36
1598412409,36
1598412410,36
1598412411,36
1598412412,36
1598412413,36
1598412414,36
1598412415,36
1598412416,36
1598412417,36
1598412418,36
1598412419,36
1598412420,37
1598412421,37
1598412422,37
1598412423,37
1598412424,37
1598412425,37
1598412426,37
1598412427,37
1598412428,37
1598412429,37
1598412430,37
1598412431,37
1598412432,37
1598412433,37
1598412434,37
1598412435,37
1598412436,37
1598412437,37
1598412438,37
1598412439,37
1598412439,37
