t,value
1598411874,4382152
1598411875,4390528
1598411876,4391080
1598411877,4391080
1598411878,4391080
1598411879,4419232
1598411880,4419232
1598411881,4420888
1598411882,4420888
1598411883,4420888
1598411884,4509712
1598411885,4510688
1598411886,4519504
1598411887,4527480
1598411888,5087640
1598411889,5777032
1598411890,6615352
1598411891,7749888
1598411892,8648560
1598411893,9729376
1598411894,9993184
1598411895,9994288
1598411896,9947680
1598411897,9961624
1598411898,9962176
1598411899,9963280
1598411900,10021224
1598411901,10072784
1598411902,10073512
1598411903,10073512
1598411904,10073512
1598411905,10339792
1598411906,10481352
1598411907,10483008
1598411908,10483560
1598411909,10404808
1598411910,10410328
1598411911,10414120
1598411912,10414120
1598411913,10414608
1598411914,10414056
1598411915,10414056
1598411916,10414056
1598411917,10416744
1598411918,10416744
1598411919,10417672
1598411920,10424712
1598411921,10809480
1598411922,10905992
1598411924,10766912
1598411924,10772432
1598411925,10943808
1598411926,10986704
1598411927,10989296
1598411928,10989824
1598411929,10990352
1598411930,10990880
1598411931,10991408
1598411932,10991408
1598411933,10991408
1598411934,10991408
1598411935,10991936
1598411936,10993520
1598411937,10994048
1598411938,10998272
1598411939,10998272
1598411940,10999328
1598411941,10999328
1598411942,10999328
1598411943,10999328
1598411944,11269392
1598411945,11270496
1598411946,11272152
1598411947,11272152
1598411948,11305120
1598411949,11325952
1598411950,11326504
1598411951,11344096
1598411952,11348296
1598411953,11351288
1598411954,11370784
1598411955,11370784
1598411956,11371760
1598411957,11371760
1598411958,11288528
1598411959,11288528
1598411960,11288528
1598411961,11288528
1598411962,11288528
1598411963,11288528
1598411964,11288528
1598411965,11288528
1598411966,11288528
1598411967,11289080
1598411968,11289080
1598411969,11289080
1598411970,11289080
1598411971,11289080
1598411972,11289080
1598411973,11289080
1598411974,11289080
1598411975,11289080
1598411976,11289080
1598411977,11289080
1598411978,11289080
1598411979,11289080
1598411980,11305608
1598411981,11305608
1598411982,11305608
1598411983,11305608
1598411984,11305608
1598411985,11305608
1598411986,11305608
1598411987,11305608
1598411988,11305608
1598411989,11305608
1598411990,11305608
1598411991,11305608
1598411992,11305608
1598411993,11305608
1598411994,11308096
1598411995,11308096
1598411996,11308096
1598411997,11308096
1598411998,11308096
1598411999,11308096
1598412000,11308096
1598412001,11310856
1598412002,11310856
1598412003,11311336
1598412004,11312440
1598412005,11312440
1598412006,11312440
1598412007,11312440
1598412008,11312440
1598412009,11314096
1598412010,11314096
1598412011,11314096
1598412012,11314096
1598412013,11314096
1598412014,11314096
1598412015,11314096
1598412016,11314096
1598412017,11314096
1598412018,11314096
1598412019,11314096
1598412020,11314096
1598412021,11314096
1598412022,11314096
1598412023,11314096
1598412024,11314096
1598412025,11314096
1598412026,11314096
1598412027,11314096
1598412028,11314096
1598412029,11314096
1598412030,11314096
1598412031,11314096
1598412033,11314096
1598412033,11314096
1598412034,11314096
1598412035,11314096
1598412036,11314096
1598412037,11314096
1598412039,11314096
1598412039,11314096
1598412040,11314096
1598412041,11314096
1598412042,11314096
1598412043,11314096
1598412044,11314096
1598412045,11314576
1598412046,11314576
1598412047,11314576
1598412048,11314576
1598412049,11314576
1598412050,11314576
1598412051,11314576
1598412052,11314576
1598412053,11314576
1598412054,11314576
1598412055,11314576
1598412056,11314576
1598412057,11314576
1598412058,11314576
1598412059,11314576
1598412060,11314576
1598412061,11314576
1598412062,11314576
1598412063,11314576
1598412064,11314576
1598412065,11314576
1598412066,11314576
1598412067,11314576
1598412068,11314576
1598412069,11314576
1598412070,11314576
1598412071,11314576
1598412072,11314576
1598412073,11314576
1598412074,11314576
1598412075,11314576
1598412076,11314576
1598412077,11314576
1598412078,11314576
1598412079,11314576
1598412080,11314576
1598412081,11314576
1598412082,11314576
1598412083,11314576
1598412084,11315128
1598412085,11315128
1598412086,11315128
1598412087,11315128
1598412088,11315128
1598412089,11315128
1598412090,11315128
1598412091,11315128
1598412092,11315128
1598412094,11315664
1598412095,11315664
1598412095,11315664
1598412096,11315664
1598412097,11315664
1598412098,11315664
1598412099,11315664
1598412100,11315664
1598412101,11315664
1598412102,11315664
1598412103,11315664
1598412104,11315664
1598412105,11315664
1598412106,11315664
1598412107,11315664
1598412108,11315664
1598412109,11315664
1598412110,11315664
1598412111,11316192
1598412112,11316192
1598412113,11316192
1598412114,11316192
1598412115,11316192
1598412116,11316720
1598412117,11317248
1598412118,11317248
1598412119,11317248
1598412120,11370448
1598412121,11370448
1598412122,11370448
1598412123,11370448
1598412124,11370448
1598412125,11370448
1598412126,11370448
