t,value
1598411874,1388314624
1598411875,1388314624
1598411876,1388314624
1598411877,1388314624
1598411878,1388314624
1598411879,1388314624
1598411880,1388314624
1598411881,1388314624
1598411882,1388314624
1598411883,1388314624
1598411884,1388314624
1598411885,1388314624
1598411886,1388314624
1598411887,1388314624
1598411888,1396703232
1598411889,1396703232
1598411890,1395130368
1598411891,1400897536
1598411892,1400897536
1598411893,1400897536
1598411894,1346895872
1598411895,1255669760
1598411896,1226833920
1598411897,1159200768
1598411898,1122500608
1598411899,1105199104
1598411900,1038614528
1598411901,1038614528
1598411902,1038614528
1598411903,1038614528
1598411904,1038614528
1598411905,1038614528
1598411906,1053294592
1598411907,1053294592
1598411908,945291264
1598411909,941096960
1598411910,845676544
1598411911,845676544
1598411912,833617920
1598411913,884473856
1598411914,944766976
1598411915,937426944
1598411916,937426944
1598411917,937426944
1598411918,978321408
1598411919,978321408
1598411920,978321408
1598411921,955252736
1598411922,965214208
1598411924,1001390080
1598411924,1032323072
1598411925,1035468800
1598411926,1033895936
1598411927,995098624
1598411928,1204289536
1598411929,988807168
1598411930,1010827264
1598411931,1043857408
1598411932,1078460416
1598411933,1113063424
1598411934,1148190720
1598411935,1180696576
1598411936,1211105280
1598411937,1239416832
1598411938,1263009792
1598411939,1285029888
1598411940,1306001408
1598411941,1323302912
1598411942,1324351488
1598411943,1339555840
1598411944,1353187328
1598411945,1353187328
1598411946,1353187328
1598411947,1353187328
1598411948,1353187328
1598411949,1365245952
1598411950,1353187328
1598411951,1353187328
1598411952,1353187328
1598411953,1353187328
1598411954,1346371584
1598411955,1346371584
1598411956,1346371584
1598411957,1346371584
1598411958,1330642944
1598411959,1317011456
1598411960,1292894208
1598411961,1275068416
1598411962,1275068416
1598411963,1275068416
1598411964,1275068416
1598411965,1275068416
1598411966,1275068416
1598411967,1275068416
1598411968,1156055040
1598411969,1156055040
1598411970,1037041664
1598411971,1037041664
1598411972,870842368
1598411973,857735168
1598411974,795869184
1598411975,626524160
1598411976,626524160
1598411977,610271232
1598411978,610271232
1598411979,517996544
1598411980,477102080
1598411981,477102080
1598411982,477102080
1598411983,477102080
1598411984,477102080
1598411985,477102080
1598411986,534773760
1598411987,675282944
1598411988,675282944
1598411989,847249408
1598411990,845676544
1598411991,986185728
1598411992,988282880
1598411993,1049100288
1598411994,1102053376
1598411995,1156055040
1598411996,1194852352
1598411997,1190133760
1598411998,1224736768
1598411999,1252524032
1598412000,1252524032
1598412001,1256718336
1598412002,1256718336
1598412003,1277689856
1598412004,1277689856
1598412005,1272446976
1598412006,1285554176
1598412007,1285554176
1598412008,1285554176
1598412009,1288175616
1598412010,1288175616
1598412011,1279787008
1598412012,1265631232
1598412013,1161822208
1598412014,1161822208
1598412015,1063256064
1598412016,993001472
1598412017,993001472
1598412018,935854080
1598412019,935854080
1598412020,935854080
1598412021,935854080
1598412022,935854080
1598412023,935854080
1598412024,935854080
1598412025,907542528
