t,value
1598411874,351272960
1598411875,351272960
1598411876,351272960
1598411877,351272960
1598411878,351272960
1598411879,351272960
1598411880,351272960
1598411881,351272960
1598411882,351272960
1598411883,351272960
1598411884,351272960
1598411885,351272960
1598411886,351272960
1598411887,351272960
1598411888,351272960
1598411889,351272960
1598411890,351272960
1598411891,351272960
1598411892,351272960
1598411893,351272960
1598411894,351272960
1598411895,351272960
1598411896,351272960
1598411897,351272960
1598411898,351272960
1598411899,351272960
1598411900,351272960
1598411901,351272960
1598411902,351272960
1598411903,351272960
1598411904,351272960
1598411905,351272960
1598411906,351272960
1598411907,351272960
1598411908,351272960
1598411909,351272960
1598411910,351272960
1598411911,351272960
1598411912,351272960
1598411913,351272960
1598411914,351272960
1598411915,351272960
1598411916,351272960
1598411917,351272960
1598411918,351272960
1598411919,351272960
1598411920,351272960
1598411922,351272960
1598411922,351272960
1598411923,351272960
1598411924,351272960
1598411925,351272960
1598411926,351272960
1598411927,351272960
1598411928,351272960
1598411929,351272960
1598411930,351272960
1598411931,351272960
1598411932,351272960
1598411933,351272960
1598411934,351272960
1598411935,351272960
1598411936,351272960
1598411937,351272960
1598411938,351272960
1598411939,351272960
1598411940,351272960
1598411941,351272960
1598411942,351272960
1598411943,351272960
1598411944,351272960
1598411945,351272960
1598411946,351272960
1598411947,351272960
1598411948,351272960
1598411949,351272960
1598411950,351272960
1598411951,351272960
1598411952,351272960
1598411953,351272960
1598411954,351272960
1598411955,351272960
1598411956,351272960
1598411957,351272960
1598411958,351272960
1598411959,351272960
1598411960,351272960
1598411961,351272960
1598411962,351272960
1598411963,351272960
1598411964,351272960
1598411965,351272960
1598411966,351272960
1598411967,351272960
1598411968,351272960
1598411969,351272960
1598411970,351272960
1598411971,351272960
1598411972,351272960
1598411973,351272960
1598411974,351272960
1598411975,351272960
1598411976,351272960
1598411977,351272960
1598411978,351272960
1598411980,351272960
1598411980,351272960
1598411981,351272960
1598411982,351272960
1598411983,351272960
1598411984,351272960
1598411985,351272960
1598411986,351272960
1598411987,351272960
1598411988,351272960
1598411989,351272960
1598411990,351272960
1598411991,351272960
1598411992,351272960
1598411993,351272960
1598411994,351272960
1598411995,351272960
1598411996,351272960
1598411997,351272960
1598411998,351272960
1598411999,351272960
1598412000,351272960
1598412001,351272960
1598412002,351272960
1598412003,351272960
1598412004,351272960
1598412005,351272960
1598412006,351272960
1598412007,351272960
1598412008,351272960
1598412009,351272960
1598412010,351272960
1598412011,351272960
1598412012,351272960
1598412013,351272960
1598412014,351272960
1598412015,351272960
1598412016,351272960
1598412017,351272960
1598412018,351272960
1598412019,351272960
1598412020,351272960
1598412021,351272960
1598412022,351272960
1598412023,351272960
1598412024,351272960
1598412025,351272960
1598412026,351272960
1598412027,351272960
1598412028,351272960
1598412029,351272960
1598412030,351272960
1598412031,351272960
1598412032,351272960
1598412033,351272960
1598412034,351272960
1598412035,351272960
1598412036,351272960
1598412037,351272960
1598412038,351272960
1598412039,351272960
1598412040,351272960
1598412041,351272960
1598412042,351272960
1598412043,351272960
1598412044,351272960
1598412045,351272960
1598412046,351272960
1598412047,351272960
1598412048,351272960
1598412049,351272960
1598412050,351272960
1598412051,351272960
1598412052,351272960
1598412053,351272960
1598412054,351272960
1598412055,351272960
1598412056,351272960
1598412057,351272960
1598412058,351272960
1598412059,351272960
1598412060,351272960
1598412061,351272960
1598412062,351272960
1598412063,351272960
1598412064,351272960
1598412065,351272960
1598412066,351272960
1598412067,351272960
1598412068,351272960
1598412069,351272960
1598412070,351272960
1598412071,351272960
1598412072,351272960
1598412073,351272960
1598412074,351272960
1598412075,351272960
1598412076,351272960
1598412077,351272960
1598412078,351272960
1598412079,351272960
1598412080,351272960
1598412081,351272960
1598412082,351272960
1598412083,351272960
1598412084,351272960
1598412085,351272960
1598412086,351272960
1598412087,351272960
1598412088,351272960
1598412089,351272960
1598412090,351272960
1598412091,351272960
1598412092,351272960
1598412093,351272960
1598412094,351272960
1598412095,351272960
1598412096,351272960
1598412097,351272960
1598412098,351272960
1598412099,351272960
1598412100,351272960
1598412101,351272960
1598412102,351272960
1598412103,351272960
1598412104,351272960
1598412105,351272960
1598412106,351272960
1598412107,351272960
1598412108,351272960
1598412109,351272960
1598412110,351272960
1598412111,351272960
1598412112,351272960
1598412113,351272960
1598412114,351272960
1598412115,351272960
1598412116,351272960
1598412117,351272960
1598412118,351272960
1598412119,351272960
1598412120,351272960
1598412121,351272960
1598412122,351272960
1598412123,351272960
1598412124,351272960
1598412125,351272960
1598412126,351272960
1598412127,351272960
1598412128,351272960
1598412129,351272960
1598412130,351272960
1598412131,351272960
1598412132,351272960
1598412133,351272960
1598412134,351272960
1598412135,351272960
1598412136,351272960
1598412137,351272960
1598412138,351272960
1598412139,351272960
1598412140,351272960
1598412141,351272960
1598412142,351272960
1598412143,351272960
1598412145,351272960
1598412145,351272960
1598412146,351272960
1598412147,351272960
1598412148,351272960
