t,count
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,0
1598411891,0
1598411892,0
1598411893,0
1598411894,0
1598411895,0
1598411896,0
1598411897,0
1598411898,0
1598411899,0
1598411900,0
1598411901,0
1598411902,7278365011
1598411903,15390810865
1598411904,15390810865
1598411905,15390810865
1598411906,15390810865
1598411907,15953017634
1598411908,16582626931
1598411909,16789930979
1598411910,16990866410
1598411911,17190498359
1598411912,17190498359
1598411913,17190498359
1598411914,17190498359
1598411915,17190498359
1598411916,20784087132
1598411917,24273208581
1598411918,24600164164
1598411919,24921965703
1598411920,24921965703
1598411921,24921965703
1598411922,26428210574
1598411923,28340519510
1598411924,28340519510
1598411925,28340519510
1598411926,28370379288
1598411927,30093334348
1598411928,30102376099
1598411929,31637091026
1598411930,32115625058
1598411931,32993946943
1598411932,34084507987
1598411933,34321513004
1598411934,35577508757
1598411935,35770241854
1598411936,36843476208
1598411937,37422703128
1598411938,38346440408
1598411939,39840391787
1598411940,39848472064
1598411941,41431836076
1598411942,41922108329
1598411943,42851961694
1598411944,42857797883
1598411945,44697891144
1598411946,46549974345
1598411947,46549974345
1598411948,47415694532
1598411949,48944750524
1598411950,50559163556
1598411951,51744169478
1598411952,54159610397
1598411953,55394289136
1598411954,56730585524
1598411955,58327452084
1598411956,58327452084
1598411957,58327452084
1598411958,58327452084
1598411959,58327452084
1598411960,58327452084
1598411961,58327452084
1598411962,58327452084
1598411963,63670811660
1598411964,68940680184
1598411965,68940680184
1598411966,68940680184
1598411967,68940680184
1598411968,69375443283
1598411969,69749585849
1598411970,70145652427
1598411971,70904818433
1598411972,70904818433
1598411973,70904818433
1598411974,70904818433
1598411975,70904818433
1598411976,77717476531
1598411977,77933624026
1598411978,78355354020
1598411979,78661514804
1598411980,80509997361
1598411981,82130328683
1598411982,82970630459
1598411983,82982388538
1598411984,85250736246
1598411985,86418004070
1598411986,87729869655
1598411987,89725669189
1598411988,89902373289
1598411989,90653033634
1598411990,92027679871
1598411991,93513635744
1598411992,94332555158
1598411993,96504100172
1598411994,97549589718
1598411995,98564344504
1598411996,100431063768
1598411997,101528590625
1598411998,102951232567
1598411999,104523480642
1598412000,105145164827
1598412001,107016362031
1598412002,109061929183
1598412003,109615602957
1598412004,111315733865
1598412005,113224683008
1598412006,114811569188
1598412007,116389145771
1598412008,117806058736
1598412009,119284049782
1598412010,119303750179
1598412011,119303750179
1598412012,119303750179
1598412013,119303750179
1598412014,119303750179
1598412015,119303750179
1598412016,119303750179
1598412017,124891298909
1598412018,124891298909
1598412019,130474648242
1598412020,130474648242
1598412021,130474648242
1598412022,130474648242
1598412023,130474648242
