t,count
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,0
1598411891,0
1598411892,0
1598411893,0
1598411894,0
1598411895,0
1598411896,0
1598411897,0
1598411898,0
1598411899,0
1598411900,0
1598411901,0
1598411902,108216431
1598411903,216429497
1598411904,216429497
1598411905,216429497
1598411906,216429497
1598411907,216429556
1598411908,216429674
1598411909,216429733
1598411910,216429792
1598411911,216429851
1598411912,216429851
1598411913,216429851
1598411914,216429851
1598411915,216429851
1598411916,284066453
1598411917,351699321
1598411918,351699498
1598411919,351699675
1598411920,351699675
1598411921,351699675
1598411922,351702164
1598411923,351707132
1598411924,351707132
1598411925,351707132
1598411926,351707132
1598411927,351713357
1598411928,351713357
1598411929,351719582
1598411930,351721654
1598411931,351725803
1598411932,351730990
1598411933,351732028
1598411934,351738253
1598411935,351739291
1598411936,351744478
1598411937,351746554
1598411938,351750703
1598411939,351756910
1598411940,351756910
1598411941,351763135
1598411942,351765211
1598411943,351769360
1598411944,351769360
1598411945,354718559
1598411946,360623520
1598411947,360623520
1598411948,360623520
1598411949,362989987
1598411950,368904893
1598411951,373644467
1598411952,373644467
1598411953,373644467
1598411954,373644467
1598411955,373644467
1598411956,373644467
1598411957,373644467
1598411958,373644467
1598411959,373644467
1598411960,373644467
1598411961,373644467
1598411962,373644467
1598411963,481858580
1598411964,590074514
1598411965,590074514
1598411966,590074514
1598411967,590074514
1598411968,590074632
1598411969,590074750
1598411970,590074868
1598411971,590075104
1598411972,590075104
1598411973,590075104
1598411974,590075104
1598411975,590075104
1598411976,725344574
1598411977,725344692
1598411978,725344928
1598411979,725345105
1598411980,725350077
1598411981,725355047
1598411982,725357530
1598411983,725357530
1598411984,725366872
1598411985,725372062
1598411986,725378290
1598411987,725387632
1598411988,725388670
1598411989,725391784
1598411990,725399050
1598411991,725406316
1598411992,725410468
1598411993,725419810
1598411994,725425000
1598411995,725430188
1598411996,725438490
1598411997,725443680
1598411998,725450944
1598411999,725458210
1598412000,725461324
1598412001,731357835
1598412002,738731507
1598412003,738731507
1598412004,741094025
1598412005,748189342
1598412006,749372775
1598412007,749372775
1598412008,749372775
1598412009,749372775
1598412010,749372775
1598412011,749372775
1598412012,749372775
1598412013,749372775
1598412014,749372775
1598412015,749372775
1598412016,749372775
1598412017,857589218
1598412018,857589218
1598412019,965804843
1598412020,965804843
1598412021,965804843
1598412022,965804843
1598412023,965804843
1598412024,965804843
1598412025,965804843
1598412026,965805020
1598412027,965805138
1598412028,965805256
1598412029,965805374
1598412030,965805374
1598412031,965805374
1598412032,965805374
1598412033,965805374
1598412034,1101078891
1598412035,1101079068
1598412036,1101079304
