t,value
1598411876,1956
1598411877,1956
1598411878,1956
1598411879,1956
1598411880,1956
1598411881,1956
1598411882,1956
1598411883,1778
1598411884,9990
1598411885,9990
1598411886,9990
1598411887,10054
1598411888,10054
1598411889,10054
1598411890,10054
1598411891,10054
1598411892,10113
1598411893,18622
1598411894,154541
1598411895,4288439
1598411896,4289275
1598411897,4355236
1598411898,4355348
1598411899,4289033
1598411900,4289151
1598411901,4289151
1598411902,4290746
1598411903,4290746
1598411904,4290746
1598411905,4290746
1598411906,4290869
1598411907,4291583
1598411908,4291626
1598411909,4291626
1598411910,4291626
1598411911,4302757
1598411912,4293301
1598411913,4295611
1598411914,4297928
1598411915,4300232
1598411916,4300226
1598411917,4300226
1598411918,4300226
1598411919,4300226
1598411920,4300226
1598411921,4300226
1598411922,4288295
1598411923,4288295
1598411924,4288295
1598411925,4288295
1598411926,4289604
1598411927,4289604
1598411928,4289604
1598411929,4289604
1598411930,4289604
1598411931,4289604
1598411932,4289604
1598411933,4289604
1598411934,4289604
1598411935,4289604
1598411936,4289604
1598411937,4289604
1598411938,4289604
1598411939,4289604
1598411940,4289604
1598411941,4289604
1598411942,4289604
1598411943,4289604
1598411944,4289604
1598411945,4289604
1598411946,4289604
1598411947,4289604
1598411948,4289876
1598411949,4289876
1598411950,4289876
1598411951,4289908
1598411952,4289908
1598411953,4289908
1598411954,4289908
1598411955,4289908
1598411956,4433902
1598411957,4432122
1598411958,4432116
1598411959,4433906
1598411960,4291766
1598411961,4293550
1598411962,4291766
1598411963,4291766
1598411964,4291766
1598411965,4291766
1598411966,4291766
1598411967,4291766
1598411968,4291766
1598411969,4291766
1598411970,4291766
1598411971,4291766
1598411972,4304578
1598411973,4302274
1598411974,4302268
1598411975,4291982
1598411976,4291982
1598411977,4291982
1598411978,4291982
1598411979,4291982
1598411980,4291982
1598411981,4291982
1598411982,4289672
1598411983,4289672
1598411984,4289672
1598411985,4289672
1598411986,4289672
1598411987,4289672
1598411988,4289672
1598411989,4289672
1598411990,4289672
1598411991,4289672
1598411992,4289672
1598411993,4289672
1598411994,4289672
1598411995,4289933
1598411996,4289933
1598411997,4289933
1598411998,4289933
1598411999,4289933
1598412000,4289933
1598412001,4289933
1598412002,4289933
1598412003,4289933
1598412004,4289933
1598412005,4289933
1598412006,4289933
1598412007,4289933
1598412008,4289933
1598412009,4289933
1598412010,4434008
1598412011,4433870
1598412012,4433870
1598412013,4499955
1598412014,4499955
1598412015,4293520
1598412016,5313694
1598412017,5313688
1598412018,5313688
1598412019,5313688
1598412020,5313688
1598412021,5313688
1598412022,5313688
1598412023,5313688
1598412024,5313688
1598412025,5313688
1598412026,5313688
1598412027,5313688
1598412028,5313688
1598412029,5313688
1598412030,5326506
1598412031,5326506
1598412032,5324190
1598412033,5339698
1598412034,5339698
1598412035,5339698
1598412036,5339698
1598412037,5339698
1598412038,4315834
1598412039,4315834
1598412040,4315834
1598412041,4315834
1598412042,4315834
1598412043,4315834
1598412044,4315834
1598412045,4315834
1598412046,4315834
1598412047,4315834
1598412048,4315834
1598412049,4315834
1598412050,4315834
1598412051,4315834
1598412052,4315834
1598412053,4315834
1598412054,4315834
1598412055,4315834
1598412056,4315834
1598412057,4315834
1598412058,4315834
1598412059,4315834
1598412060,4315834
1598412061,4315834
1598412062,4315834
1598412063,4315834
1598412064,4315834
1598412065,4315834
1598412066,4315834
1598412067,4459752
1598412068,4457968
1598412070,4317618
1598412070,4319408
1598412071,4319408
1598412072,4319402
1598412073,4319402
