t,value
1598411872,0
1598411873,0
1598411874,0
1598411875,0
1598411876,0
1598411877,0
1598411878,0
1598411879,0
1598411880,0
1598411881,0
1598411882,0
1598411883,0
1598411884,0
1598411885,0
1598411886,0
1598411887,0
1598411888,0
1598411889,0
1598411890,0
1598411891,0
1598411892,0
1598411893,0
1598411894,0
1598411895,0
1598411896,0
1598411897,0
1598411898,0
1598411899,0
1598411900,0
1598411901,0
1598411902,0
1598411903,0
1598411904,0
1598411905,0
1598411906,0
1598411907,0
1598411908,0
1598411909,0
1598411910,0
1598411911,0
1598411912,0
1598411913,0
1598411914,0
1598411915,0
1598411916,0
1598411917,0
1598411918,0
1598411919,0
1598411920,0
1598411921,0
1598411922,0
1598411923,0
1598411924,0
1598411925,0
1598411926,0
1598411927,0
1598411928,0
1598411929,0
1598411930,0
1598411931,0
1598411932,0
1598411933,0
1598411934,0
1598411935,0
1598411936,0
1598411937,0
1598411938,0
1598411939,0
1598411940,0
1598411941,0
1598411942,0
1598411943,0
1598411944,0
1598411945,0
1598411946,0
1598411947,0
1598411948,0
1598411949,0
1598411950,0
1598411951,0
1598411952,0
1598411953,0
1598411954,0
1598411955,0
1598411956,0
1598411957,0
1598411958,0
1598411959,0
1598411960,0
1598411961,0
1598411962,0
1598411963,0
1598411964,0
1598411965,0
1598411966,0
1598411967,0
1598411968,0
1598411969,0
1598411970,0
1598411971,0
1598411972,0
1598411973,0
1598411974,0
1598411975,105
1598411976,157
1598411977,157
1598411978,157
1598411979,263
1598411980,631
1598411981,1421
1598411982,2000
1598411983,2211
1598411984,2211
1598411985,2211
1598411986,2211
1598411987,2211
1598411988,2211
1598411989,2211
1598411990,2211
1598411991,2211
1598411992,2211
1598411993,2211
1598411994,2211
1598411995,2211
1598411996,2211
1598411997,2211
1598411998,2211
1598411999,2211
1598412000,2211
1598412001,2211
1598412002,2211
1598412003,2211
1598412004,2211
1598412005,2211
1598412006,2211
1598412007,2211
1598412008,2211
1598412009,2211
1598412010,2211
1598412011,2211
1598412012,2211
1598412013,2211
1598412014,2211
1598412015,2211
1598412016,2264
1598412017,2264
1598412018,2264
1598412019,2264
1598412020,2264
1598412021,2264
1598412022,2264
1598412023,2264
1598412024,2264
1598412025,2264
1598412026,2264
1598412027,2264
1598412028,2369
1598412029,2632
1598412030,2869
1598412031,3422
1598412032,4080
1598412033,4712
1598412034,4870
1598412035,4870
1598412036,4870
1598412037,5107
1598412038,6765
1598412039,8424
1598412040,9213
1598412041,9345
1598412042,9345
1598412043,9345
1598412044,9345
1598412045,9345
1598412046,9345
1598412047,9345
1598412048,9345
1598412049,9345
1598412050,9345
1598412051,9345
1598412052,9345
1598412053,9345
1598412054,9345
1598412055,9345
1598412056,9345
1598412057,9345
1598412058,9345
1598412059,9345
1598412060,9345
1598412061,9345
1598412062,9345
1598412063,9345
1598412064,9345
1598412065,9345
1598412066,9345
1598412067,9345
1598412068,9345
1598412069,9345
1598412070,9345
1598412071,9345
1598412072,9529
1598412073,9556
1598412074,9582
1598412075,9608
1598412076,9608
1598412077,9608
1598412078,9608
1598412079,9608
1598412080,9608
1598412081,9608
1598412082,9608
1598412083,9687
1598412084,9977
1598412085,10451
1598412086,11319
1598412087,12320
1598412088,12688
1598412089,12688
1598412090,12688
1598412091,12688
1598412092,12688
1598412093,13794
1598412094,15584
1598412095,17006
1598412096,17322
1598412097,17322
1598412098,17322
1598412099,17322
1598412100,17322
1598412101,17322
1598412102,17322
1598412103,17322
1598412104,17322
1598412105,17322
1598412106,17322
1598412107,17322
1598412108,17321
1598412109,17321
1598412110,17321
1598412111,17321
1598412112,17321
1598412113,17321
1598412114,17321
1598412115,17321
1598412116,17321
1598412117,17321
1598412118,17321
1598412119,17321
1598412120,17321
1598412121,17321
1598412122,17321
1598412123,17321
1598412124,17321
1598412125,17585
1598412126,17637
1598412127,17637
1598412128,17637
1598412129,17637
1598412130,17637
1598412131,17637
1598412132,17637
1598412133,17637
1598412134,17637
1598412135,17637
1598412136,17822
1598412137,18243
1598412138,19112
1598412139,20138
1598412140,20586
1598412141,20638
1598412142,20638
1598412143,20638
1598412144,20954
1598412145,22429
1598412146,24140
1598412147,25166
1598412148,25219
1598412149,25219
1598412150,25219
1598412151,25219
1598412152,25219
1598412153,25219
1598412154,25219
1598412155,25219
1598412156,25219
1598412157,25219
1598412158,25219
1598412159,25219
1598412160,25219
1598412161,25219
1598412162,25219
1598412163,25219
1598412164,25219
1598412165,25219
1598412166,25219
1598412167,25219
1598412168,25219
1598412169,25219
1598412170,25219
1598412171,25219
1598412172,25219
1598412173,25219
1598412174,25219
1598412175,25272
1598412176,25535
1598412177,25587
1598412178,25587
1598412179,25587
1598412180,25587
1598412181,25587
1598412182,25587
1598412183,25587
1598412184,25587
1598412185,25587
1598412186,25587
1598412187,25640
1598412188,25877
1598412189,26219
1598412190,26983
1598412191,28062
1598412192,28562
1598412193,28562
1598412194,28562
1598412195,28562
1598412196,28931
1598412197,30589
1598412198,32274
1598412199,32932
1598412200,33090
1598412201,33090
1598412202,33090
1598412203,33090
1598412204,33090
1598412205,33090
1598412206,33090
1598412207,33090
1598412208,33090
1598412209,33090
1598412210,33090
1598412211,33090
1598412212,33090
1598412213,33090
1598412214,33090
1598412215,33090
1598412216,33090
1598412217,33090
1598412218,33090
1598412219,33090
1598412220,33090
1598412221,33090
1598412222,33090
1598412223,33090
1598412224,33090
1598412225,33090
1598412226,33090
1598412227,33090
1598412228,33090
1598412229,33090
1598412230,33406
1598412231,33485
1598412232,33485
1598412233,33485
1598412234,33485
1598412235,33485
1598412236,33485
1598412237,33485
1598412238,33485
1598412239,33485
1598412240,33485
1598412241,33669
1598412242,33801
1598412243,34670
1598412244,35907
1598412245,36302
1598412246,36354
1598412247,36354
1598412248,36354
1598412249,36855
1598412250,38539
