t,value
1598411870,5
1598411871,6
1598411872,7
1598411873,7
1598411874,7
1598411875,7
1598411876,7
1598411877,7
1598411878,7
1598411879,8
1598411880,8
1598411881,8
1598411882,9
1598411883,9
1598411884,9
1598411885,9
1598411886,9
1598411887,9
1598411888,9
1598411889,9
1598411890,9
1598411891,9
1598411892,9
1598411893,9
1598411894,9
1598411895,9
1598411896,9
1598411897,9
1598411898,9
1598411899,9
1598411900,9
1598411901,9
1598411902,9
1598411903,9
1598411904,9
1598411905,9
1598411906,9
1598411907,9
1598411908,9
1598411909,9
1598411910,9
1598411911,9
1598411912,9
1598411913,9
1598411914,9
1598411915,9
1598411916,9
1598411917,9
1598411918,9
1598411919,9
1598411920,9
1598411921,10
1598411922,10
1598411923,10
1598411924,10
1598411925,10
1598411926,10
1598411927,10
1598411928,10
1598411929,10
1598411930,10
1598411931,10
1598411932,10
1598411933,10
1598411934,10
1598411935,10
1598411936,10
1598411937,10
1598411938,10
1598411939,10
1598411940,10
1598411941,10
1598411942,10
1598411943,10
1598411944,11
1598411945,11
1598411946,11
1598411947,11
1598411948,11
1598411949,11
1598411950,11
1598411951,11
1598411952,11
1598411953,11
1598411954,11
1598411955,11
1598411956,11
1598411957,11
1598411958,11
1598411959,11
1598411960,11
1598411961,11
1598411962,11
1598411963,11
1598411964,11
1598411965,11
1598411966,11
1598411967,11
1598411968,11
1598411969,11
1598411970,11
1598411971,11
1598411972,11
1598411973,11
1598411974,11
1598411975,11
1598411976,11
1598411977,11
1598411978,11
1598411979,12
1598411980,12
1598411981,12
1598411982,12
1598411983,12
1598411984,12
1598411985,12
1598411986,12
1598411987,12
1598411988,12
1598411989,12
1598411990,12
1598411991,12
1598411992,12
1598411993,12
1598411994,12
1598411995,12
1598411996,12
1598411997,12
1598411998,12
1598411999,12
1598412000,12
1598412001,12
1598412002,12
1598412003,12
1598412004,12
1598412005,12
1598412006,12
1598412007,12
1598412008,12
1598412009,12
1598412010,13
1598412011,13
1598412012,13
1598412013,13
1598412014,13
1598412015,13
1598412016,13
1598412017,13
1598412018,13
1598412019,13
1598412020,13
1598412021,13
1598412022,13
1598412023,13
1598412024,13
1598412025,13
1598412026,13
1598412027,13
1598412028,13
1598412029,13
1598412030,13
1598412031,13
1598412032,13
1598412033,13
1598412034,13
1598412035,13
1598412036,13
1598412037,13
1598412038,13
1598412039,13
1598412040,13
1598412041,13
1598412042,13
1598412043,13
1598412044,13
1598412045,13
1598412046,13
1598412047,13
1598412048,13
1598412049,13
1598412050,13
1598412051,13
1598412052,13
1598412053,13
1598412054,13
1598412055,13
1598412056,13
1598412057,14
1598412058,14
1598412059,14
1598412060,14
1598412061,14
1598412062,14
1598412063,14
1598412064,14
1598412065,14
1598412066,14
1598412067,14
1598412068,14
1598412069,14
1598412070,14
1598412071,14
1598412072,14
1598412073,14
1598412074,14
1598412075,14
1598412076,14
1598412077,14
1598412078,14
1598412079,14
1598412080,14
1598412081,14
1598412082,14
1598412083,14
1598412084,14
1598412085,14
1598412086,14
1598412087,14
1598412088,14
1598412089,14
1598412090,14
1598412091,14
1598412092,14
1598412093,14
1598412094,14
1598412095,14
1598412096,14
1598412097,14
1598412098,14
1598412099,14
1598412100,14
1598412101,14
1598412102,14
1598412103,14
1598412104,14
1598412105,14
1598412106,14
1598412107,15
1598412108,15
1598412109,15
1598412110,15
1598412111,15
1598412112,15
1598412113,15
1598412114,15
1598412115,15
1598412116,15
1598412117,15
1598412118,15
1598412119,15
1598412120,15
1598412121,15
1598412122,15
1598412123,15
1598412124,15
1598412125,15
1598412126,15
1598412127,15
1598412128,15
1598412129,15
1598412130,15
1598412131,15
1598412132,15
1598412133,15
1598412134,15
1598412135,15
1598412136,15
1598412137,15
1598412138,15
1598412139,15
1598412140,15
1598412141,15
1598412142,15
1598412143,15
1598412144,15
1598412145,15
1598412146,15
1598412147,15
1598412148,15
1598412149,15
1598412150,15
1598412151,15
1598412152,15
1598412153,15
1598412154,15
1598412155,15
1598412156,15
1598412157,16
1598412158,16
1598412159,16
1598412160,16
1598412161,16
1598412162,16
1598412163,16
1598412164,16
1598412165,16
1598412166,16
1598412167,16
1598412168,16
1598412169,16
1598412170,16
1598412171,16
1598412172,16
1598412173,16
1598412174,16
1598412175,16
1598412176,16
1598412177,16
1598412178,16
1598412179,16
1598412180,16
1598412181,16
1598412182,16
1598412183,16
1598412184,16
1598412185,16
1598412186,16
1598412187,16
1598412188,16
1598412189,16
1598412190,16
1598412191,16
1598412192,16
1598412193,16
1598412194,16
1598412195,16
1598412196,16
1598412197,16
1598412198,16
1598412199,16
1598412200,16
1598412201,16
1598412202,16
1598412203,16
1598412204,16
1598412205,17
1598412206,17
1598412207,17
1598412208,17
1598412209,17
1598412210,17
1598412211,17
1598412212,17
1598412213,17
1598412214,17
1598412215,17
1598412216,17
1598412217,17
1598412218,17
1598412219,17
1598412220,17
1598412221,17
1598412222,17
1598412223,17
1598412224,17
1598412225,17
1598412226,17
1598412227,17
1598412228,17
1598412229,17
1598412230,17
1598412231,17
1598412232,17
1598412233,17
1598412234,17
1598412235,17
1598412236,17
1598412237,17
1598412238,17
1598412239,17
1598412240,17
1598412241,17
1598412242,17
1598412243,17
1598412244,17
1598412245,17
1598412246,17
1598412247,17
1598412248,17
1598412249,17
1598412250,17
1598412251,17
1598412252,18
1598412253,18
1598412254,18
1598412255,18
1598412256,18
1598412257,18
1598412258,18
1598412259,18
1598412260,18
1598412261,18
1598412262,18
1598412263,18
1598412264,18
1598412265,18
1598412266,18
1598412267,18
1598412268,18
1598412269,18
1598412270,18
1598412271,18
1598412272,18
1598412273,18
1598412274,18
1598412275,18
1598412276,18
1598412277,18
1598412278,18
1598412279,18
1598412280,18
1598412281,18
1598412282,18
1598412283,18
1598412284,18
1598412285,18
1598412286,19
1598412287,19
1598412288,19
1598412289,19
1598412290,19
1598412291,19
1598412292,19
1598412293,19
1598412294,19
1598412295,19
1598412296,19
1598412297,19
1598412298,19
1598412299,19
1598412300,19
1598412301,19
1598412302,19
1598412303,19
1598412304,19
1598412305,19
1598412306,19
1598412307,19
1598412308,19
1598412309,19
1598412310,19
1598412311,19
1598412312,19
1598412313,19
1598412314,19
1598412315,19
1598412316,19
1598412317,19
1598412318,19
1598412319,19
1598412320,19
1598412321,19
1598412322,19
1598412323,19
1598412324,19
1598412325,19
1598412326,20
1598412327,20
1598412328,20
1598412329,20
1598412330,20
1598412331,20
1598412332,20
1598412333,20
1598412334,20
1598412335,20
1598412336,20
1598412337,20
1598412338,20
1598412339,20
1598412340,20
1598412341,20
1598412342,20
1598412343,20
1598412344,20
1598412345,20
1598412346,20
1598412347,20
1598412348,20
1598412349,20
1598412350,20
1598412351,20
1598412352,20
1598412353,20
1598412354,20
1598412355,20
1598412356,20
1598412357,20
1598412358,20
1598412359,20
1598412360,20
1598412361,20
1598412362,20
1598412363,20
1598412364,20
1598412365,20
1598412366,20
1598412367,20
1598412368,21
1598412369,21
1598412370,21
1598412371,21
1598412372,21
1598412373,21
1598412374,21
1598412375,21
1598412376,21
1598412377,21
1598412378,21
1598412379,21
1598412380,21
1598412381,21
1598412382,21
1598412383,21
1598412384,21
1598412385,21
1598412386,21
1598412387,21
1598412388,21
1598412389,21
1598412390,21
1598412391,21
1598412392,21
1598412393,21
1598412394,21
1598412395,21
1598412396,21
1598412397,21
1598412398,21
1598412399,21
1598412400,21
1598412401,21
1598412402,21
1598412403,21
1598412404,21
1598412405,21
1598412406,21
1598412407,21
1598412408,22
1598412409,22
1598412410,22
1598412411,22
1598412412,22
1598412413,22
1598412414,22
1598412415,22
1598412416,22
1598412417,22
1598412418,22
1598412419,22
1598412420,22
1598412421,22
1598412422,22
1598412423,22
1598412424,22
1598412425,22
1598412426,22
1598412427,22
1598412428,22
1598412429,22
1598412430,22
1598412431,22
1598412432,22
1598412433,23
1598412434,23
1598412435,23
1598412436,23
1598412437,23
1598412438,23
1598412439,23
