t,value
1598411870,8519680
1598411871,8716288
1598411872,10027008
1598411873,10747904
1598411874,13041664
1598411875,13565952
1598411876,13762560
1598411877,13893632
1598411878,14286848
1598411879,17039360
1598411880,17170432
1598411881,17301504
1598411882,17694720
1598411883,19267584
1598411884,21299200
1598411885,21364736
1598411886,21430272
1598411887,21561344
1598411888,21692416
1598411889,21692416
1598411890,21757952
1598411891,21757952
1598411892,21823488
1598411893,21954560
1598411894,22020096
1598411895,22085632
1598411896,22282240
1598411897,22413312
1598411898,22413312
1598411899,22478848
1598411900,22609920
1598411901,22937600
1598411902,22937600
1598411903,22937600
1598411904,22937600
1598411905,23527424
1598411906,23724032
1598411907,24444928
1598411908,24838144
1598411909,25296896
1598411910,25624576
1598411911,26542080
1598411912,26542080
1598411913,26542080
1598411914,26542080
1598411915,26607616
1598411916,26738688
1598411917,26935296
1598411918,27525120
1598411919,27983872
1598411920,28180480
1598411921,29163520
1598411922,29360128
1598411923,30015488
1598411924,30212096
1598411925,30343168
1598411926,30343168
1598411927,30932992
1598411928,31260672
1598411929,31850496
1598411930,32243712
1598411931,32636928
1598411932,32636928
1598411933,32833536
1598411934,33292288
1598411935,33751040
1598411936,33816576
1598411937,34209792
1598411938,34340864
1598411939,34340864
1598411940,34340864
1598411941,34471936
1598411942,34799616
1598411943,34799616
1598411944,35651584
1598411945,35979264
1598411946,35979264
1598411947,35979264
1598411948,36044800
1598411949,36306944
1598411950,36306944
1598411951,36372480
1598411952,36438016
1598411953,36569088
1598411954,37289984
1598411955,37748736
1598411956,40370176
1598411957,40370176
1598411958,40370176
1598411959,40370176
1598411960,40370176
1598411961,40370176
1598411962,40370176
1598411963,40370176
1598411964,40370176
1598411965,40370176
1598411966,40370176
1598411967,40501248
1598411968,40501248
1598411969,40501248
1598411970,40501248
1598411971,40501248
1598411972,40632320
1598411973,40632320
1598411974,40632320
1598411975,40697856
1598411976,40697856
1598411977,40697856
1598411978,40697856
1598411979,40960000
1598411980,40960000
1598411981,40960000
1598411982,40960000
1598411983,40960000
1598411984,40960000
1598411985,40960000
1598411986,40960000
1598411987,40960000
1598411988,40960000
1598411989,40960000
1598411990,41025536
1598411991,41025536
1598411992,41025536
1598411993,41025536
1598411994,41156608
1598411995,41222144
1598411996,41287680
1598411997,41484288
1598411998,41484288
1598411999,41484288
1598412000,42991616
1598412001,42991616
1598412002,43057152
1598412003,43057152
1598412004,43057152
1598412005,43057152
1598412006,43057152
1598412007,43057152
1598412008,43122688
1598412009,43384832
1598412010,44957696
1598412011,44957696
1598412012,44957696
1598412013,44957696
1598412014,44957696
1598412015,44957696
1598412016,44957696
1598412017,44957696
1598412018,44957696
1598412019,44957696
1598412020,44957696
1598412021,44957696
1598412022,44957696
1598412023,44957696
1598412024,44957696
1598412025,44957696
1598412026,44957696
1598412027,44957696
1598412028,44957696
1598412029,45023232
1598412030,45154304
1598412031,45154304
1598412032,45154304
1598412033,45154304
1598412034,45154304
1598412035,45154304
1598412036,45154304
1598412037,45350912
1598412038,45416448
1598412039,45416448
1598412040,45416448
1598412041,45547520
1598412042,45547520
1598412043,45678592
1598412044,45678592
1598412045,45678592
1598412046,45809664
1598412047,45809664
1598412048,45875200
1598412049,45875200
1598412050,45875200
1598412051,45875200
1598412052,45875200
1598412053,45875200
1598412054,46006272
1598412055,46137344
1598412056,46202880
1598412057,46399488
1598412058,47251456
1598412059,47316992
1598412060,47316992
1598412061,47316992
1598412062,47316992
1598412063,47316992
1598412064,47316992
1598412065,47316992
1598412066,47316992
1598412067,47775744
1598412068,47775744
1598412069,47775744
1598412070,47775744
1598412071,47775744
1598412072,47775744
1598412073,47775744
1598412074,47775744
1598412075,47775744
1598412076,47775744
1598412077,47775744
1598412078,47775744
1598412079,47775744
1598412080,47775744
1598412081,47775744
1598412082,47775744
1598412083,47775744
1598412084,47775744
1598412085,47775744
1598412086,47775744
1598412087,47775744
1598412088,47775744
1598412089,47775744
1598412090,47775744
1598412091,47775744
1598412092,47775744
1598412093,47775744
1598412094,47775744
1598412095,47775744
1598412096,47775744
1598412097,47775744
1598412098,47841280
1598412099,47906816
1598412100,47972352
1598412101,47972352
1598412102,48037888
1598412103,48037888
1598412104,48037888
1598412105,48037888
1598412106,48037888
1598412107,48037888
1598412108,48168960
1598412109,48496640
1598412110,48824320
1598412111,48955392
1598412112,48955392
1598412113,48955392
1598412114,48955392
1598412115,48955392
1598412116,48955392
1598412117,48955392
1598412118,48955392
1598412119,48955392
1598412120,49676288
1598412121,49676288
1598412122,49676288
1598412123,49676288
1598412124,49676288
1598412125,49676288
1598412126,49676288
1598412127,49741824
1598412128,49741824
1598412129,49741824
1598412130,49741824
1598412131,49741824
1598412132,49741824
1598412133,49741824
1598412134,49741824
1598412135,49741824
1598412136,49872896
1598412137,49872896
1598412138,49872896
1598412139,49872896
1598412140,49872896
1598412141,49872896
1598412142,49872896
1598412143,49872896
1598412144,49938432
1598412145,49938432
1598412146,49938432
1598412147,49938432
1598412148,50003968
1598412149,50003968
1598412150,50069504
1598412151,50069504
1598412152,50135040
1598412153,50135040
1598412154,50200576
1598412155,50200576
1598412156,50266112
1598412157,50266112
1598412158,50266112
1598412159,50266112
1598412160,50266112
1598412161,50266112
1598412162,50266112
1598412163,50266112
1598412164,50266112
1598412165,50266112
1598412166,50266112
1598412167,50266112
1598412168,50266112
1598412169,50266112
1598412170,50266112
1598412171,50266112
1598412172,51183616
1598412173,51183616
1598412174,51183616
1598412175,51183616
1598412176,51183616
1598412177,51183616
1598412178,51183616
1598412179,51183616
1598412180,51183616
1598412181,51183616
1598412182,51183616
1598412183,51183616
1598412184,51183616
1598412185,51183616
1598412186,51183616
1598412187,51183616
1598412188,51183616
1598412189,51183616
1598412190,51183616
1598412191,51183616
1598412192,51183616
1598412193,51183616
1598412194,51183616
1598412195,51183616
1598412196,51314688
1598412197,51314688
1598412198,51314688
1598412199,51314688
1598412200,51314688
1598412201,51314688
1598412202,51380224
1598412203,51380224
1598412204,51380224
1598412205,51380224
1598412206,51576832
1598412207,51576832
1598412208,51576832
1598412209,51576832
1598412210,51576832
1598412211,51576832
1598412212,51576832
1598412213,51576832
1598412214,51576832
1598412215,51576832
1598412216,52428800
1598412217,52428800
1598412218,52428800
1598412219,52428800
1598412220,52428800
1598412221,52428800
1598412222,52428800
1598412223,52494336
1598412224,52494336
1598412225,52756480
1598412226,52822016
1598412227,52822016
1598412228,52822016
1598412229,52822016
1598412230,52822016
