t,value
1598412505,0
1598412506,0
1598412507,0
1598412508,0
1598412509,0
1598412510,0
1598412511,0
1598412512,0
1598412513,0
1598412514,0
1598412515,23
1598412516,23
1598412517,23
1598412518,23
1598412519,23
1598412520,23
1598412521,23
1598412522,23
1598412523,23
1598412524,23
1598412525,42
1598412526,42
1598412527,42
1598412528,42
1598412529,42
1598412530,42
1598412531,42
1598412532,42
1598412533,42
1598412534,42
1598412535,339
1598412536,339
1598412537,339
1598412538,339
1598412539,339
1598412540,339
1598412541,339
1598412542,339
1598412543,339
1598412544,339
1598412545,456
1598412546,456
1598412547,456
1598412548,456
1598412549,456
1598412550,456
1598412551,456
1598412552,456
1598412553,456
1598412554,456
1598412555,738
1598412556,738
1598412557,738
1598412558,738
1598412559,738
1598412560,738
1598412561,738
1598412562,738
1598412563,738
1598412564,738
1598412565,812
1598412566,812
1598412567,812
1598412568,812
1598412569,812
1598412570,812
1598412571,812
1598412572,812
1598412573,812
1598412574,812
1598412575,923
1598412576,923
1598412577,923
1598412578,923
1598412579,923
1598412580,923
1598412581,923
1598412582,923
1598412583,923
1598412584,923
1598412585,981
1598412586,981
1598412587,981
1598412588,981
1598412589,981
1598412590,981
1598412591,981
1598412592,981
1598412593,981
1598412594,981
1598412595,1157
1598412596,1157
1598412597,1157
1598412598,1157
1598412599,1157
1598412600,1157
1598412601,1157
1598412602,1157
1598412603,1157
1598412604,1157
1598412605,1321
1598412606,1321
1598412607,1321
1598412608,1321
1598412609,1321
1598412610,1321
1598412611,1321
1598412612,1321
1598412613,1321
1598412614,1321
1598412615,1654
1598412616,1654
1598412617,1654
1598412618,1654
1598412619,1654
1598412620,1654
1598412621,1654
1598412622,1654
1598412623,1654
1598412624,1654
1598412625,1742
1598412626,1742
1598412627,1742
1598412628,1742
1598412629,1742
1598412630,1742
1598412631,1742
1598412632,1742
1598412633,1742
1598412634,1742
1598412635,1852
1598412636,1852
1598412637,1852
1598412638,1852
1598412639,1852
1598412640,1852
1598412641,1852
1598412642,1852
1598412643,1852
1598412644,1852
1598412645,1945
1598412646,1945
1598412647,1945
1598412648,1945
1598412649,1945
1598412650,1945
1598412651,1945
1598412652,1945
1598412653,1945
1598412654,1945
1598412655,2041
1598412656,2041
1598412657,2041
1598412658,2041
1598412659,2041
1598412660,2041
1598412661,2041
1598412662,2041
1598412663,2041
1598412664,2041
1598412665,2389
1598412666,2389
1598412667,2389
1598412668,2389
1598412669,2389
