t,value
1598412505,251658240
1598412506,251658240
1598412507,251658240
1598412508,251658240
1598412509,251658240
1598412510,251658240
1598412511,251658240
1598412512,251658240
1598412513,251658240
1598412514,251658240
1598412515,251658240
1598412516,251658240
1598412517,251658240
1598412518,251658240
1598412519,251658240
1598412520,251658240
1598412521,251658240
1598412522,251658240
1598412523,251658240
1598412524,251658240
1598412525,251658240
1598412526,251658240
1598412527,251658240
1598412528,251658240
1598412529,251658240
1598412530,251658240
1598412531,251658240
1598412532,251658240
1598412533,251658240
1598412534,251658240
1598412535,251658240
1598412536,251658240
1598412537,251658240
1598412538,251658240
1598412539,251658240
1598412540,251658240
1598412541,251658240
1598412542,251658240
1598412543,251658240
1598412544,251658240
1598412545,251658240
1598412546,251658240
1598412547,251658240
1598412548,251658240
1598412549,251658240
1598412550,251658240
1598412551,251658240
1598412552,251658240
1598412553,251658240
1598412554,251658240
1598412555,251658240
1598412556,251658240
1598412557,251658240
1598412558,251658240
1598412559,251658240
1598412560,251658240
1598412561,251658240
1598412562,251658240
1598412563,251658240
1598412564,251658240
1598412565,251658240
1598412566,251658240
1598412567,251658240
1598412568,251658240
1598412569,251658240
1598412570,251658240
1598412571,251658240
1598412572,251658240
1598412573,251658240
1598412574,251658240
1598412575,251658240
1598412576,251658240
1598412577,251658240
1598412578,251658240
1598412579,251658240
1598412580,251658240
1598412581,251658240
1598412582,251658240
1598412583,251658240
1598412584,251658240
1598412585,251658240
1598412586,251658240
1598412587,251658240
1598412588,251658240
1598412589,251658240
1598412590,251658240
1598412591,251658240
1598412592,251658240
1598412593,251658240
1598412594,251658240
1598412595,251658240
1598412596,251658240
1598412597,251658240
1598412598,251658240
1598412599,251658240
1598412600,251658240
1598412601,251658240
1598412602,251658240
1598412603,251658240
1598412604,251658240
1598412605,251658240
1598412606,251658240
1598412607,251658240
1598412608,251658240
1598412609,251658240
1598412610,251658240
1598412611,251658240
1598412612,251658240
1598412613,251658240
1598412614,251658240
1598412615,251658240
1598412616,251658240
1598412617,251658240
1598412618,251658240
1598412619,251658240
1598412620,251658240
1598412621,251658240
1598412622,251658240
1598412623,251658240
1598412624,251658240
1598412625,251658240
1598412626,251658240
1598412627,251658240
1598412628,251658240
1598412629,251658240
1598412630,251658240
1598412631,251658240
