t,count
1598412505,0
1598412506,0
1598412507,0
1598412508,0
1598412509,0
1598412510,0
1598412511,0
1598412512,0
1598412513,0
1598412514,0
1598412515,0
1598412516,0
1598412517,0
1598412518,0
1598412519,0
1598412520,0
1598412521,0
1598412522,0
1598412523,0
1598412524,0
1598412525,0
1598412526,0
1598412527,0
1598412528,0
1598412529,0
1598412530,0
1598412531,0
1598412532,0
1598412533,0
1598412534,0
1598412535,0
1598412536,0
1598412537,0
1598412538,0
1598412539,0
1598412540,400000
1598412541,800000
1598412542,1200000
1598412543,1600000
1598412544,1800000
1598412545,1800000
1598412546,1800000
1598412547,1800000
1598412548,1800000
1598412549,2900000
1598412550,2900000
1598412551,2900000
1598412552,2900000
1598412553,2900000
1598412554,2900010
1598412555,2900010
1598412556,2900020
1598412557,2900020
1598412558,2900030
1598412559,2900040
1598412560,2900050
1598412561,2900050
1598412562,2900060
1598412563,2900070
1598412564,2900070
1598412565,2900080
1598412566,2900090
1598412567,2900090
1598412568,2900100
1598412569,2900100
1598412570,2900100
1598412571,2900100
1598412572,2900100
1598412573,2900100
1598412574,2900100
1598412575,2900100
1598412576,2900100
1598412577,3200100
1598412578,3600100
1598412579,4000100
1598412580,5202330
1598412581,5801086
1598412582,6403000
1598412583,7005391
1598412584,7872693
1598412585,8661225
1598412586,9488752
1598412587,9488752
1598412588,9488752
1598412589,9488752
1598412590,9488752
1598412591,9488752
1598412592,9488752
1598412593,9488752
1598412594,9488752
1598412595,9488752
1598412596,9488752
1598412597,9488752
1598412598,9488752
1598412599,9688752
1598412600,10088752
1598412601,10488752
1598412602,10888752
1598412603,11288852
1598412604,11288852
1598412605,11288852
1598412606,11288852
1598412607,12488852
1598412608,12488852
1598412609,12488852
1598412610,12488852
1598412611,12488852
1598412612,12488862
1598412613,12488882
1598412614,12488882
1598412615,12488882
1598412616,12488892
1598412617,12488892
1598412618,12488902
1598412619,12488902
1598412620,12488912
1598412621,12488932
1598412622,12488932
1598412623,12488942
1598412624,12488962
1598412625,12488962
1598412626,12488972
1598412627,12488972
1598412628,12488982
1598412629,12488982
1598412630,12488982
1598412631,12488982
1598412632,12488982
1598412633,12488982
1598412634,12688982
1598412635,13088982
1598412636,13488982
1598412637,14488342
1598412638,15086503
1598412639,15672628
1598412640,16499108
1598412641,17576265
1598412642,18475022
1598412643,18572141
1598412644,18572141
1598412645,18572141
1598412646,18572141
1598412647,18572141
1598412648,18572141
1598412649,18572141
