t,value
1598412505,9553952
1598412506,12543064
1598412507,13864264
1598412508,16506848
1598412509,20484184
1598412510,23126584
1598412511,24447784
1598412512,25769008
1598412513,29072216
1598412514,30393416
1598412515,33035816
1598412516,34357016
1598412517,36999528
1598412518,50840088
1598412519,55794712
1598412520,59097728
1598412521,61409968
1598412522,65373624
1598412523,15268944
1598412524,189855536
1598412525,61753016
1598412526,81087000
1598412527,221839008
1598412528,115178088
1598412529,285859144
1598412530,57446520
1598412531,545446616
1598412532,898074696
1598412533,783576032
1598412534,755871016
1598412535,231847272
1598412536,233630032
1598412537,236706624
1598412538,238481312
1598412539,562873040
1598412540,55039872
1598412541,557050888
1598412542,54632344
1598412543,559672072
1598412544,272484848
1598412545,268680840
1598412546,84405192
1598412547,793117224
1598412548,215564552
1598412549,235365760
1598412550,104615080
1598412551,20873440
1598412552,485846632
1598412553,487674488
1598412554,541320208
1598412555,542736568
1598412556,393927432
1598412557,147578384
1598412558,151482808
1598412559,337711096
1598412560,722687344
1598412561,950991440
1598412562,204976520
1598412563,509665368
1598412564,353696632
1598412565,1055940128
1598412566,1113884496
1598412567,346912400
1598412568,211796592
1598412569,266219488
1598412570,525057824
1598412571,618572488
1598412572,695133272
1598412573,341038224
1598412574,1096117856
1598412575,25894616
1598412576,534788208
1598412577,1015704792
1598412578,759835840
1598412579,351616568
1598412580,929147808
1598412581,1020574664
1598412582,1083205760
1598412583,409292152
1598412584,920033568
1598412585,238293376
1598412586,762481792
1598412587,825767184
1598412588,939782952
1598412589,388837856
1598412590,47735504
1598412591,891410440
1598412592,69294728
1598412593,718288976
1598412594,551006792
1598412595,550075720
1598412596,536802992
1598412597,350715288
1598412598,579391544
1598412599,309085936
1598412600,780016160
1598412601,458947144
1598412602,76577240
1598412603,329578656
1598412604,288182304
1598412605,24834952
1598412606,76630728
1598412607,422328056
1598412608,396016920
1598412609,181304144
1598412610,611118888
1598412611,612974864
1598412612,570151904
1598412613,17315808
1598412614,451294344
1598412615,52755936
1598412616,238302848
1598412617,722503112
1598412618,795881600
1598412619,117081200
1598412620,221735784
1598412621,22208840
1598412622,549740120
1598412623,146550096
1598412624,1027770496
1598412625,658714504
1598412626,668503776
1598412627,680443984
1598412628,878246848
1598412629,1011616272
1598412630,1024291144
1598412631,64890864
1598412632,499681600
1598412633,512009352
1598412634,96696632
1598412635,920377008
1598412636,501591968
1598412637,21903072
1598412638,188121200
1598412639,76076824
1598412640,566547440
1598412641,11685320
1598412642,633291920
1598412643,769137320
1598412644,540773936
1598412645,974411312
1598412646,165726680
1598412647,707983312
1598412648,215571456
1598412649,18953192
1598412650,730755736
1598412651,837323416
1598412652,655050336
1598412653,178152416
1598412654,500196448
1598412655,66278448
1598412656,359761120
1598412657,702112032
1598412658,18564440
1598412659,403138152
1598412660,52314200
1598412661,281346480
1598412662,768575216
1598412663,18968888
1598412664,839044704
1598412665,174646560
1598412666,176446912
1598412667,429668952
1598412668,86052360
1598412669,905276472
1598412670,903887464
1598412671,765528248
1598412672,361975200
