t,value
1598412505,0
1598412506,0
1598412507,0
1598412508,0
1598412509,0
1598412510,0
1598412511,0
1598412512,0
1598412513,0
1598412514,0
1598412515,0
1598412516,0
1598412517,0
1598412518,0
1598412519,0
1598412520,0
1598412521,0
1598412522,0
1598412523,0
1598412524,0
1598412525,0
1598412526,0
1598412527,0
1598412528,0
1598412529,143078793
1598412530,143078793
1598412531,143078793
1598412532,143078793
1598412533,143078793
1598412534,143078793
1598412535,143078793
1598412536,143078793
1598412537,143078793
1598412538,143078793
1598412539,8784245
1598412540,8784245
1598412541,8784245
1598412542,8784245
1598412543,8784245
1598412544,8784245
1598412545,8784245
1598412546,8784245
1598412547,8784245
1598412548,8784245
1598412549,442594789
1598412550,442594789
1598412551,442594789
1598412552,442594789
1598412553,442594789
1598412554,442594789
1598412555,442594789
1598412556,442594789
1598412557,442594789
1598412558,442594789
1598412559,897235263
1598412560,897235263
1598412561,897235263
1598412562,897235263
1598412563,897235263
1598412564,897235263
1598412565,897235263
1598412566,897235263
1598412567,897235263
1598412568,897235263
1598412569,442834275
1598412570,442834275
1598412571,442834275
1598412572,442834275
1598412573,442834275
1598412574,442834275
1598412575,442834275
1598412576,442834275
1598412577,442834275
1598412578,442834275
1598412579,442629100
1598412580,442629100
1598412581,442629100
1598412582,442629100
1598412583,442629100
1598412584,442629100
1598412585,442629100
1598412586,442629100
1598412587,442629100
1598412588,442629100
1598412589,703192923
1598412590,703192923
1598412591,703192923
1598412592,703192923
1598412593,703192923
1598412594,703192923
1598412595,703192923
1598412596,703192923
1598412597,703192923
1598412598,703192923
1598412599,561278709
1598412600,561278709
1598412601,561278709
1598412602,561278709
1598412603,561278709
1598412604,561278709
1598412605,561278709
1598412606,561278709
1598412607,561278709
1598412608,561278709
1598412609,1504795473
1598412610,1504795473
1598412611,1504795473
1598412612,1504795473
1598412613,1504795473
1598412614,1504795473
1598412615,1504795473
1598412616,1504795473
1598412617,1504795473
1598412618,1504795473
1598412619,1675244858
1598412620,1675244858
1598412621,1675244858
1598412622,1675244858
1598412623,1675244858
1598412624,1675244858
1598412625,1675244858
1598412626,1675244858
1598412627,1675244858
1598412628,1675244858
1598412629,1201341339
1598412630,1201341339
1598412631,1201341339
1598412632,1201341339
1598412633,1201341339
1598412634,1201341339
1598412635,1201341339
1598412636,1201341339
1598412637,1201341339
1598412638,1201341339
1598412639,1055683698
1598412640,1055683698
1598412641,1055683698
1598412642,1055683698
