t,value
1598412505,0
1598412506,0
1598412507,0
1598412508,0
1598412509,0
1598412510,0
1598412511,0
1598412512,0
1598412513,0
1598412514,0
1598412515,0
1598412516,0
1598412517,0
1598412518,2
1598412519,2
1598412520,2
1598412521,2
1598412522,2
1598412523,2
1598412524,2
1598412525,2
1598412526,2
1598412527,2
1598412528,2
1598412529,2
1598412530,2
1598412531,2
1598412532,2
1598412533,2
1598412534,2
1598412535,2
1598412536,2
1598412537,2
1598412538,2
1598412539,4
1598412540,6
1598412541,8
1598412542,10
1598412543,10
1598412544,12
1598412545,12
1598412546,12
1598412547,12
1598412548,12
1598412549,21
1598412550,21
1598412551,25
1598412552,27
1598412553,27
1598412554,30
1598412555,36
1598412556,41
1598412557,45
1598412558,54
1598412559,59
1598412560,66
1598412561,72
1598412562,78
1598412563,83
1598412564,89
1598412565,98
1598412566,102
1598412567,109
1598412568,115
1598412569,118
1598412570,118
1598412571,118
1598412572,118
1598412573,118
1598412574,118
1598412575,118
1598412576,120
1598412577,122
1598412578,126
1598412579,130
1598412580,138
1598412581,142
1598412582,148
1598412583,152
1598412584,160
1598412585,167
1598412586,172
1598412587,174
1598412588,174
1598412589,174
1598412590,174
1598412591,174
1598412592,174
1598412593,174
1598412594,174
1598412595,174
1598412596,174
1598412597,174
1598412598,176
1598412599,178
1598412600,180
1598412601,183
1598412602,185
1598412603,187
1598412604,187
1598412605,187
1598412606,187
1598412607,197
1598412608,202
1598412609,207
1598412610,208
1598412611,211
1598412612,213
1598412613,223
1598412614,232
1598412615,239
1598412616,247
1598412617,255
1598412618,264
1598412619,269
1598412620,280
1598412621,286
1598412622,293
1598412623,303
1598412624,309
1598412625,311
1598412626,321
1598412627,329
1598412628,334
1598412629,334
1598412630,334
1598412631,334
1598412632,334
1598412633,334
1598412634,338
1598412635,342
1598412636,345
1598412637,355
1598412638,360
1598412639,366
1598412640,376
1598412641,384
1598412642,392
1598412643,394
1598412644,394
1598412645,394
1598412646,394
1598412647,394
1598412648,394
1598412649,394
1598412650,394
1598412651,394
1598412652,394
1598412653,394
1598412654,396
1598412655,399
1598412656,402
1598412657,404
1598412658,407
1598412659,409
1598412660,409
1598412661,409
1598412662,409
1598412663,423
1598412664,427
1598412665,431
1598412666,432
1598412667,435
1598412668,445
1598412669,451
1598412670,460
1598412671,468
1598412672,478
1598412673,487
1598412674,497
1598412675,505
1598412676,515
1598412677,523
1598412678,533
1598412679,542
1598412680,550
