t,value
1598412505,73396104
1598412506,76609712
1598412507,78033288
1598412508,80767096
1598412509,84526048
1598412510,87237664
1598412511,88596400
1598412512,91274528
1598412513,93304000
1598412514,94634704
1598412515,97316904
1598412516,98666168
1598412517,101431920
1598412518,115854560
1598412519,123362920
1598412520,126345480
1598412521,128105160
1598412522,130771064
1598412523,61799032
1598412524,222636632
1598412525,170347584
1598412526,186355080
1598412527,366779720
1598412528,305901840
1598412529,851309264
1598412530,569320512
1598412531,895991456
1598412532,1166075016
1598412533,1806278104
1598412534,1871625640
1598412535,1873354616
1598412536,1875639800
1598412537,1877345232
1598412538,1879034920
1598412539,1143737544
1598412540,1722250016
1598412541,1341234272
1598412542,1812932096
1598412543,1241489688
1598412544,1572248456
1598412545,984686296
1598412546,807867048
1598412547,1579118392
1598412548,1136368352
1598412549,1161636296
1598412550,1116912936
1598412551,1068726168
1598412552,1417815528
1598412553,1419614736
1598412554,1528862488
1598412555,1668958800
1598412556,1337944296
1598412557,1880540528
1598412558,1965185256
1598412559,2034208128
1598412560,1276768640
1598412561,1259320112
1598412562,1625772128
1598412563,1853722696
1598412564,1355496664
1598412565,2186119280
1598412566,2076098448
1598412567,2144441600
1598412568,1852756736
1598412569,1901140160
1598412570,2306052184
1598412571,1369437496
1598412572,1465778800
1598412573,1921870360
1598412574,1074536544
1598412575,1173496096
1598412576,1658697040
1598412577,1122119784
1598412578,1941332528
1598412579,1489889648
1598412580,1838113840
1598412581,1949077784
1598412582,1764616664
1598412583,990609680
1598412584,1455498424
1598412585,1908092672
1598412586,1221839328
1598412587,1314035976
1598412588,1396751376
1598412589,1939615280
1598412590,1953960464
1598412591,1892700712
1598412592,1770414584
1598412593,1840726760
1598412594,1842558600
1598412595,1844346992
1598412596,1846174304
1598412597,1848007816
1598412598,2144262728
1598412599,1714540720
1598412600,1680458144
1598412601,2254869720
1598412602,2176423024
1598412603,2409529624
1598412604,1743783496
1598412605,1493669904
1598412606,1682215728
1598412607,1447835936
1598412608,1639665624
1598412609,2404561112
1598412610,2265385656
1598412611,2274855728
1598412612,2315508424
1598412613,2057053736
1598412614,1888877424
1598412615,2594955120
1598412616,2343207920
1598412617,1984213000
1598412618,2479094048
1598412619,2205765680
1598412620,2230469088
1598412621,2570932736
1598412622,2424241200
1598412623,1911416248
1598412624,2280855376
1598412625,2658235264
1598412626,2275547616
1598412627,2250256552
1598412628,2059730296
1598412629,2276561704
1598412630,2844764712
1598412631,2772060320
1598412632,2795010952
1598412633,2796800816
1598412634,2317451448
1598412635,3086796280
1598412636,2556461032
1598412637,3126887240
1598412638,3219306088
1598412639,3009590384
1598412640,2504183448
1598412641,3003019944
1598412642,2510617976
1598412643,2650506416
1598412644,2676784984
1598412645,2819145960
1598412646,2771348496
1598412647,3345860392
1598412648,3019299456
1598412649,3071602104
1598412650,3073427664
1598412651,3075241680
1598412652,3077030488
1598412653,3078837064
1598412654,2610881064
1598412655,2861175728
1598412656,3098970712
1598412657,3289454112
1598412658,1887898360
1598412659,2505136744
1598412660,2272160808
1598412661,2445181152
1598412662,2122913912
1598412663,2625638176
1598412664,2518210816
1598412665,2948030288
1598412666,2747809648
1598412667,2838446344
1598412668,2485098432
1598412669,2381721288
1598412670,3120802640
1598412671,2539133248
1598412672,2628603408
1598412673,3056247328
1598412674,2855986488
1598412675,2665650080
1598412676,2784870552
1598412677,2537072040
1598412678,3329449328
1598412679,3240214080
1598412680,2821199048
1598412681,2334972744
1598412682,3402038032
1598412683,3056291992
1598412684,2891487104
1598412685,3170802816
1598412686,3633660616
1598412687,3892459264
1598412688,3894275592
1598412689,2896975664
1598412690,3645740680
1598412691,3195301912
1598412692,3863748312
1598412693,3409524056
1598412694,3387517000
1598412695,2762174640
1598412696,3273392056
1598412697,3746479360
1598412698,2809663560
1598412699,3591649152
