t,count
1598412505,0
1598412506,0
1598412507,0
1598412508,0
1598412509,0
1598412510,0
1598412511,0
1598412512,0
1598412513,0
1598412514,0
1598412515,0
1598412516,0
1598412517,0
1598412518,0
1598412519,0
1598412520,0
1598412521,0
1598412522,0
1598412523,0
1598412524,0
1598412525,0
1598412526,0
1598412527,0
1598412528,0
1598412529,0
1598412530,0
1598412531,0
1598412532,0
1598412533,0
1598412534,0
1598412535,0
1598412536,0
1598412537,0
1598412538,0
1598412539,0
1598412540,6
1598412541,12
1598412542,18
1598412543,27
1598412544,27
1598412545,27
1598412546,27
1598412547,27
1598412548,27
1598412549,41
1598412550,41
1598412551,41
1598412552,41
1598412553,41
1598412554,42
1598412555,42
1598412556,42
1598412557,42
1598412558,43
1598412559,47
1598412560,51
1598412561,51
1598412562,55
1598412563,55
1598412564,55
1598412565,56
1598412566,57
1598412567,58
1598412568,58
1598412569,58
1598412570,58
1598412571,58
1598412572,58
1598412573,58
1598412574,58
1598412575,58
1598412576,58
1598412577,62
1598412578,70
1598412579,76
1598412580,166
1598412581,202
1598412582,256
1598412583,296
1598412584,376
1598412585,436
1598412586,526
1598412587,526
1598412588,526
1598412589,526
1598412590,526
1598412591,526
1598412592,526
1598412593,526
1598412594,526
1598412595,526
1598412596,526
1598412597,526
1598412598,526
1598412599,530
1598412600,534
1598412601,538
1598412602,542
1598412603,546
1598412604,546
1598412605,546
1598412606,546
1598412607,564
1598412608,564
1598412609,564
1598412610,564
1598412611,566
1598412612,566
1598412613,566
1598412614,566
1598412615,568
1598412616,568
1598412617,568
1598412618,568
1598412619,568
1598412620,570
1598412621,572
1598412622,572
1598412623,574
1598412624,576
1598412625,576
1598412626,578
1598412627,578
1598412628,580
1598412629,580
1598412630,580
1598412631,580
1598412632,580
1598412633,580
1598412634,584
1598412635,592
1598412636,600
1598412637,680
1598412638,740
1598412639,800
1598412640,890
1598412641,970
1598412642,1070
1598412643,1070
1598412644,1070
1598412645,1070
1598412646,1070
1598412647,1070
1598412648,1070
1598412649,1070
1598412650,1070
1598412651,1070
1598412652,1070
1598412653,1070
1598412654,1070
1598412655,1074
1598412656,1078
1598412657,1080
1598412658,1084
1598412659,1097
1598412660,1097
1598412661,1097
1598412662,1097
1598412663,1113
1598412664,1113
1598412665,1113
1598412666,1113
1598412667,1116
1598412668,1116
1598412669,1119
1598412670,1119
1598412671,1122
1598412672,1125
1598412673,1125
1598412674,1125
1598412675,1128
