t,count
1598412505,0
1598412506,0
1598412507,0
1598412508,0
1598412509,0
1598412510,0
1598412511,0
1598412512,0
1598412513,0
1598412514,0
1598412515,0
1598412516,0
1598412517,0
1598412518,0
1598412519,0
1598412520,0
1598412521,0
1598412522,0
1598412523,0
1598412524,0
1598412525,0
1598412526,0
1598412527,0
1598412528,0
1598412529,0
1598412530,0
1598412531,0
1598412532,0
1598412533,0
1598412534,0
1598412535,0
1598412536,0
1598412537,0
1598412538,0
1598412539,0
1598412540,17314371
1598412541,25972701
1598412542,38957960
1598412543,51943173
1598412544,51943173
1598412545,51943173
1598412546,51943173
1598412547,51943173
1598412548,51943173
1598412549,51946317
1598412550,51946317
1598412551,51946317
1598412552,51946317
1598412553,51946317
1598412554,51953775
1598412555,51953775
1598412556,51957927
1598412557,51957927
1598412558,51960003
1598412559,51962079
1598412560,51968307
1598412561,51968307
1598412562,51974535
1598412563,51980763
1598412564,51980763
1598412565,51982839
1598412566,51989067
1598412567,51995295
1598412568,51995295
1598412569,52001523
1598412570,52001523
1598412571,52001523
1598412572,52001523
1598412573,52001523
1598412574,52001523
1598412575,52001523
1598412576,52001523
1598412577,57412274
1598412578,62822815
1598412579,68233632
1598412580,70349813
1598412581,71058895
1598412582,72119691
1598412583,73126435
1598412584,73951630
1598412585,75119075
1598412586,76265453
1598412587,76265453
1598412588,76265453
1598412589,76265453
1598412590,76265453
1598412591,76265453
1598412592,76265453
1598412593,76265453
1598412594,76265453
1598412595,76265453
1598412596,76265453
1598412597,76265453
1598412598,76265453
1598412599,89250771
1598412600,98990309
1598412601,105483001
1598412602,115222948
1598412603,124962911
1598412604,124962911
1598412605,124962911
1598412606,124962911
1598412607,124965531
1598412608,124965531
1598412609,124965531
1598412610,124965531
1598412611,124969259
1598412612,124969259
1598412613,124971335
1598412614,124971335
1598412615,124974449
1598412616,124974449
1598412617,124974449
1598412618,124978593
1598412619,124978593
1598412620,124981695
1598412621,124983771
1598412622,124983771
1598412623,124985847
1598412624,124988949
1598412625,124988949
1598412626,124992051
1598412627,124992051
1598412628,124995153
1598412629,124995153
1598412630,124995153
1598412631,124995153
1598412632,124995153
1598412633,124995153
1598412634,129053281
1598412635,135816521
1598412636,141227120
1598412637,143345133
1598412638,144580456
1598412639,145642635
1598412640,146870664
1598412641,147983589
1598412642,149235744
1598412643,149351331
1598412644,149351331
1598412645,149351331
1598412646,149351331
1598412647,149351331
1598412648,149351331
