t,value
1598412505,21
1598412506,25
1598412507,25
1598412508,39
1598412509,39
1598412510,39
1598412511,39
1598412512,39
1598412513,39
1598412514,39
1598412515,39
1598412516,39
1598412517,39
1598412518,39
1598412519,53
1598412520,53
1598412521,53
1598412522,73
1598412523,128
1598412524,186
1598412525,247
1598412526,285
1598412527,324
1598412528,359
1598412529,359
1598412530,379
1598412531,406
1598412532,406
1598412533,435
1598412534,451
1598412535,462
1598412536,462
1598412537,462
1598412538,462
1598412539,462
1598412540,477
1598412541,508
1598412542,508
1598412543,524
1598412544,552
1598412545,571
1598412546,583
1598412547,583
1598412548,591
1598412549,591
1598412550,615
1598412551,684
1598412552,782
1598412553,836
1598412554,836
1598412555,903
1598412556,907
1598412557,915
1598412558,927
1598412559,936
1598412560,944
1598412561,953
1598412562,961
1598412563,971
1598412564,979
1598412565,988
1598412566,992
1598412567,1001
1598412568,1010
1598412569,1015
1598412570,1015
1598412571,1052
1598412572,1087
1598412573,1099
1598412574,1099
1598412575,1099
1598412576,1099
1598412577,1110
1598412578,1123
1598412579,1123
1598412580,1132
1598412581,1148
1598412582,1165
1598412583,1165
1598412584,1165
1598412585,1176
1598412586,1176
1598412587,1176
1598412588,1192
1598412589,1219
1598412590,1234
1598412591,1253
1598412592,1272
1598412593,1286
1598412594,1315
1598412595,1326
1598412596,1326
1598412597,1326
1598412598,1326
1598412599,1338
1598412600,1363
1598412601,1397
1598412602,1413
1598412603,1439
1598412604,1498
1598412605,1565
1598412606,1565
1598412607,1565
1598412608,1647
1598412609,1773
1598412610,1855
1598412611,1952
1598412612,2004
1598412613,2016
1598412614,2035
1598412615,2046
1598412616,2064
1598412617,2077
1598412618,2090
1598412619,2108
1598412620,2121
1598412621,2133
1598412622,2145
1598412623,2157
1598412624,2164
1598412625,2182
1598412626,2182
1598412627,2195
1598412628,2201
1598412629,2233
1598412630,2264
1598412631,2264
1598412632,2264
1598412633,2264
1598412634,2277
1598412635,2287
1598412636,2306
1598412637,2306
1598412638,2323
1598412639,2340
1598412640,2358
1598412641,2358
1598412642,2369
1598412643,2369
1598412644,2386
1598412645,2400
1598412646,2420
1598412647,2458
1598412648,2475
1598412649,2488
1598412650,2501
1598412651,2512
1598412652,2512
1598412653,2512
1598412654,2523
1598412655,2546
1598412656,2580
1598412657,2597
1598412658,2624
1598412659,2624
1598412660,2675
1598412661,2699
1598412662,2710
1598412663,2759
1598412665,2901
1598412665,2924
1598412666,3008
1598412667,3092
1598412668,3123
1598412669,3130
1598412670,3149
1598412671,3169
1598412672,3182
1598412673,3200
1598412674,3212
1598412675,3225
1598412676,3237
1598412677,3249
1598412678,3261
1598412679,3273
1598412680,3285
1598412681,3297
1598412682,3310
1598412683,3317
1598412684,3352
1598412685,3352
1598412686,3385
1598412687,3397
1598412688,3397
1598412689,3397
1598412690,3407
1598412691,3421
1598412692,3421
1598412693,3437
1598412694,3454
1598412695,3468
1598412696,3468
1598412697,3479
1598412698,3479
1598412699,3491
1598412700,3502
1598412701,3520
1598412702,3567
1598412703,3567
1598412704,3588
1598412705,3603
1598412706,3610
1598412707,3623
1598412708,3623
1598412709,3635
1598412710,3657
1598412711,3691
1598412712,3709
1598412713,3738
1598412714,3738
1598412715,3797
1598412716,3849
1598412717,3873
1598412718,3899
1598412719,4028
1598412720,4179
1598412721,4275
1598412722,4324
1598412723,4371
1598412724,4388
1598412725,4407
1598412726,4419
1598412727,4436
1598412728,4452
1598412729,4464
1598412730,4476
1598412731,4488
1598412732,4498
1598412733,4515
1598412734,4521
1598412735,4532
1598412736,4544
1598412737,4555
1598412738,4567
1598412739,4583
1598412740,4596
1598412741,4612
1598412742,4612
1598412743,4628
1598412744,4628
1598412745,4647
1598412746,4647
1598412747,4662
1598412748,4676
1598412749,4676
1598412750,4691
1598412751,4691
1598412752,4705
1598412753,4725
1598412754,4725
1598412755,4747
1598412756,4762
1598412757,4780
1598412758,4797
1598412759,4797
1598412760,4807
1598412761,4820
1598412762,4820
1598412763,4820
1598412764,4820
1598412765,4834
1598412766,4864
1598412767,4864
1598412768,4887
1598412769,4915
1598412770,4965
1598412771,5013
1598412772,5013
1598412773,5091
1598412774,5266
1598412776,5330
1598412776,5348
1598412777,5453
1598412778,5482
1598412779,5495
1598412780,5513
1598412781,5532
1598412782,5550
1598412783,5562
1598412784,5580
1598412785,5593
1598412786,5605
1598412787,5618
1598412788,5630
1598412789,5643
1598412790,5656
1598412791,5667
1598412792,5667
1598412793,5681
1598412794,5699
1598412795,5720
1598412796,5720
1598412797,5720
1598412798,5734
1598412799,5734
1598412800,5744
1598412801,5752
1598412802,5765
1598412803,5779
1598412804,5779
1598412805,5794
1598412806,5794
1598412807,5794
1598412808,5810
1598412809,5826
1598412810,5857
1598412811,5878
1598412812,5897
1598412813,5914
1598412814,5927
1598412815,5946
1598412816,5946
1598412817,5946
1598412818,5960
1598412819,5985
1598412820,5985
1598412821,6055
1598412822,6097
1598412823,6163
1598412824,6227
1598412825,6287
1598412826,6332
1598412827,6455
1598412828,6588
1598412829,6647
1598412830,6737
1598412831,6766
1598412832,6786
1598412833,6805
1598412834,6824
1598412835,6842
1598412836,6859
1598412837,6871
1598412838,6883
1598412839,6900
1598412840,6912
1598412841,6922
1598412842,6935
1598412843,6946
1598412844,6952
1598412845,6970
1598412846,6987
1598412847,7031
1598412848,7031
1598412849,7031
1598412850,7045
1598412851,7052
1598412852,7052
1598412853,7060
1598412854,7094
1598412855,7094
1598412856,7101
1598412857,7101
