t,value
1598412505,48365568
1598412506,52641792
1598412507,66142208
1598412508,73285632
1598412509,73875456
1598412510,73940992
1598412511,74006528
1598412512,74006528
1598412513,74006528
1598412514,74006528
1598412515,74072064
1598412516,74072064
1598412517,74203136
1598412518,78725120
1598412519,86130688
1598412520,97796096
1598412521,109920256
1598412522,112607232
1598412523,117194752
1598412524,117915648
1598412525,118112256
1598412526,118439936
1598412527,118636544
1598412528,119095296
1598412529,119947264
1598412530,120471552
1598412531,120471552
1598412532,120668160
1598412533,120864768
1598412534,121323520
1598412535,121520128
1598412536,121520128
1598412537,121520128
1598412538,121520128
1598412539,123158528
1598412540,124928000
1598412541,125452288
1598412542,125845504
1598412543,126173184
1598412544,126697472
1598412545,126828544
1598412546,127025152
1598412547,127483904
1598412548,128073728
1598412549,128729088
1598412550,134758400
1598412551,135348224
1598412552,135610368
1598412553,135610368
1598412554,136396800
1598412555,136986624
1598412556,137314304
1598412557,137314304
1598412558,137314304
1598412559,137379840
1598412560,137707520
1598412561,137707520
1598412562,137707520
1598412563,137707520
1598412564,137707520
1598412565,137969664
1598412566,137969664
1598412567,138100736
1598412568,138100736
1598412569,138493952
1598412570,138559488
1598412571,138559488
1598412572,138690560
1598412573,139083776
1598412574,139083776
1598412575,139083776
1598412576,143540224
1598412577,144850944
1598412578,144982016
1598412579,145571840
1598412580,146620416
1598412581,147013632
1598412582,147406848
1598412583,148062208
1598412584,148062208
1598412585,148389888
1598412586,148389888
1598412587,148389888
1598412588,148389888
1598412589,148652032
1598412590,148652032
1598412591,148652032
1598412592,148652032
1598412593,148652032
1598412594,148652032
1598412595,148652032
1598412596,148652032
1598412597,148652032
1598412598,148652032
1598412599,148652032
1598412600,148652032
1598412601,148652032
1598412602,148652032
1598412603,148652032
1598412604,148652032
1598412605,148914176
1598412606,148914176
1598412607,148914176
1598412608,148914176
1598412609,148914176
1598412610,148914176
1598412611,148914176
1598412612,148914176
1598412613,148914176
1598412614,148979712
1598412615,149045248
1598412616,149110784
1598412617,149176320
1598412618,149241856
1598412619,149241856
1598412620,149700608
1598412621,149700608
1598412622,149831680
1598412623,149897216
1598412624,149897216
1598412625,149897216
1598412626,149897216
1598412627,149897216
1598412628,149897216
1598412629,149962752
