t,count
1598412505,0
1598412506,0
1598412507,0
1598412508,0
1598412509,0
1598412510,0
1598412511,0
1598412512,0
1598412513,0
1598412514,0
1598412515,0
1598412516,0
1598412517,0
1598412518,0
1598412519,0
1598412520,0
1598412521,0
1598412522,0
1598412523,0
1598412524,0
1598412525,0
1598412526,0
1598412527,0
1598412528,0
1598412529,0
1598412530,0
1598412531,0
1598412532,0
1598412533,0
1598412534,0
1598412535,0
1598412536,0
1598412537,0
1598412538,0
1598412539,0
1598412540,49779547
1598412541,124446241
1598412542,199116536
1598412543,298673955
1598412544,298673955
1598412545,298673955
1598412546,298673955
1598412547,298673955
1598412548,298673955
1598412549,298702251
1598412550,298702251
1598412551,298702251
1598412552,298702251
1598412553,298702251
1598412554,298708466
1598412555,298708466
1598412556,298713636
1598412557,298713636
1598412558,298718801
1598412559,298723971
1598412560,298723971
1598412561,298729141
1598412562,298734311
1598412563,298739483
1598412564,298739483
1598412565,298744653
1598412566,298749823
1598412567,298749823
1598412568,298754993
1598412569,298760163
1598412570,298760163
1598412571,298760163
1598412572,298760163
1598412573,298760163
1598412574,298760163
1598412575,298760163
1598412576,298760163
1598412577,347459011
1598412578,396157849
1598412579,444856248
1598412580,457823789
1598412581,463017152
1598412582,470788163
1598412583,477183173
1598412584,485612571
1598412585,495217991
1598412586,505799792
1598412587,506903764
1598412588,506903764
1598412589,506903764
1598412590,506903764
1598412591,506903764
1598412592,506903764
1598412593,506903764
1598412594,506903764
1598412595,506903764
1598412596,506903764
1598412597,506903764
1598412598,506903764
1598412599,554520069
1598412600,625942122
1598412601,673558196
1598412602,721174923
1598412603,792593221
1598412604,792593221
1598412605,792593221
1598412606,792593221
1598412607,792616801
1598412608,792616801
1598412609,792616801
1598412610,792616801
1598412611,792616801
1598412612,792625483
1598412613,792632749
1598412614,792632749
1598412615,792640015
1598412616,792640015
1598412617,792648319
1598412618,792656621
1598412619,792656621
1598412620,792664925
1598412621,792672191
1598412622,792672191
1598412623,792679457
1598412624,792687761
1598412625,792687761
1598412626,792687761
1598412627,792695025
1598412628,792703329
1598412629,792703329
1598412630,792703329
1598412631,792703329
1598412632,792703329
1598412633,792703329
1598412634,817052916
1598412635,865752618
1598412636,938799525
1598412637,954348070
1598412638,962143534
1598412639,970716315
1598412640,980434350
1598412641,991195428
1598412642,999954276
1598412643,1001736793
1598412644,1001736793
1598412645,1001736793
1598412646,1001736793
1598412647,1001736793
1598412648,1001736793
