t,value
1598412505,132120576
1598412506,132120576
1598412507,132120576
1598412508,132120576
1598412509,132120576
1598412510,132120576
1598412511,132120576
1598412512,132120576
1598412513,132120576
1598412514,132120576
1598412515,132120576
1598412516,132120576
1598412517,132120576
1598412518,132120576
1598412519,132120576
1598412520,132120576
1598412521,132120576
1598412522,132120576
1598412523,132120576
1598412524,132120576
1598412525,132120576
1598412526,132120576
1598412527,132120576
1598412528,132120576
1598412529,132120576
1598412530,132120576
1598412531,132120576
1598412532,132120576
1598412533,132120576
1598412534,132120576
1598412535,132120576
1598412536,132120576
1598412537,132120576
1598412538,132120576
1598412539,132120576
1598412540,132120576
1598412541,132120576
1598412542,132120576
1598412543,132120576
1598412544,132120576
1598412545,132120576
1598412546,132120576
1598412547,132120576
1598412548,132120576
1598412549,132120576
1598412550,132120576
1598412551,132120576
1598412552,132120576
1598412553,132120576
1598412554,132120576
1598412555,132120576
1598412556,132120576
1598412557,132120576
1598412558,132120576
1598412559,132120576
1598412560,132120576
1598412561,132120576
1598412562,132120576
1598412563,132120576
1598412564,132120576
1598412565,132120576
1598412566,132120576
1598412567,132120576
1598412568,132120576
1598412569,132120576
1598412570,132120576
1598412571,132120576
1598412572,132120576
1598412573,132120576
1598412574,132120576
1598412575,132120576
1598412576,132120576
1598412577,132120576
1598412578,132120576
1598412579,132120576
1598412580,132120576
1598412581,132120576
1598412582,132120576
1598412583,132120576
1598412584,132120576
1598412585,132120576
1598412586,132120576
1598412587,132120576
1598412588,132120576
1598412589,132120576
1598412590,132120576
1598412591,132120576
1598412592,132120576
1598412593,132120576
1598412594,132120576
1598412595,132120576
1598412596,132120576
1598412597,132120576
1598412598,132120576
1598412599,132120576
1598412600,132120576
1598412601,132120576
1598412602,132120576
1598412603,132120576
1598412604,132120576
1598412605,132120576
1598412606,132120576
1598412607,132120576
1598412608,132120576
1598412609,132120576
1598412610,132120576
1598412611,132120576
1598412612,132120576
1598412613,132120576
1598412614,132120576
1598412615,132120576
1598412616,132120576
1598412617,132120576
1598412618,132120576
1598412619,132120576
1598412620,132120576
1598412621,132120576
1598412622,132120576
1598412623,132120576
1598412624,132120576
1598412625,132120576
1598412626,132120576
1598412627,132120576
1598412628,132120576
1598412629,132120576
1598412630,132120576
1598412631,132120576
1598412632,132120576
1598412633,132120576
1598412634,132120576
1598412635,132120576
1598412636,132120576
1598412637,132120576
1598412638,132120576
1598412639,132120576
1598412640,132120576
1598412641,132120576
1598412642,132120576
1598412643,132120576
1598412644,132120576
1598412645,132120576
1598412646,132120576
1598412647,132120576
1598412648,132120576
1598412649,132120576
1598412650,132120576
1598412651,132120576
1598412652,132120576
1598412653,132120576
1598412654,132120576
1598412655,132120576
1598412656,132120576
1598412657,132120576
1598412658,132120576
1598412659,132120576
1598412660,132120576
1598412661,132120576
1598412662,132120576
1598412663,132120576
1598412664,132120576
1598412665,132120576
1598412666,132120576
1598412667,132120576
1598412668,132120576
1598412669,132120576
1598412670,132120576
1598412671,132120576
1598412672,132120576
1598412673,132120576
1598412674,132120576
1598412675,132120576
1598412676,132120576
1598412677,132120576
1598412678,132120576
1598412679,132120576
1598412680,132120576
1598412681,132120576
1598412682,132120576
1598412683,132120576
1598412684,132120576
1598412685,132120576
1598412686,132120576
1598412687,132120576
1598412688,132120576
1598412689,132120576
1598412690,132120576
1598412691,132120576
1598412692,132120576
1598412693,132120576
1598412694,132120576
1598412695,132120576
1598412696,132120576
1598412697,132120576
1598412698,132120576
1598412699,132120576
1598412700,132120576
1598412701,132120576
1598412702,132120576
1598412703,132120576
1598412704,132120576
1598412705,132120576
1598412706,132120576
1598412707,132120576
1598412708,132120576
1598412709,132120576
1598412710,132120576
1598412711,132120576
1598412712,132120576
1598412713,132120576
1598412714,132120576
1598412715,132120576
1598412716,132120576
1598412717,132120576
1598412718,132120576
1598412719,132120576
1598412720,132120576
1598412721,132120576
1598412722,132120576
1598412723,132120576
1598412724,132120576
1598412725,132120576
1598412726,132120576
1598412727,132120576
1598412728,132120576
1598412729,132120576
1598412730,132120576
1598412731,132120576
1598412732,132120576
1598412733,132120576
1598412734,132120576
1598412735,132120576
1598412736,132120576
1598412737,132120576
1598412738,132120576
1598412739,132120576
1598412740,132120576
1598412741,132120576
1598412742,132120576
1598412743,132120576
1598412744,132120576
1598412745,132120576
1598412746,132120576
1598412747,132120576
1598412748,132120576
1598412749,132120576
1598412750,132120576
1598412751,132120576
1598412752,132120576
1598412753,132120576
1598412754,132120576
1598412755,132120576
1598412756,132120576
1598412757,132120576
1598412758,132120576
1598412759,132120576
1598412760,132120576
1598412761,132120576
1598412762,132120576
1598412763,132120576
1598412764,132120576
1598412765,132120576
1598412766,132120576
1598412767,132120576
1598412768,132120576
1598412769,132120576
1598412770,132120576
1598412771,132120576
1598412772,132120576
1598412773,132120576
1598412774,132120576
1598412775,132120576
1598412776,132120576
1598412777,132120576
1598412778,132120576
1598412779,132120576
1598412780,132120576
1598412781,132120576
1598412782,132120576
1598412783,132120576
1598412784,132120576
1598412785,132120576
