t,value
1598412505,10669288
1598412506,10669288
1598412507,10669288
1598412508,10669288
1598412509,10669288
1598412510,10669288
1598412511,0
1598412512,14563320
1598412513,14563320
1598412514,14563320
1598412515,14563320
1598412516,14563320
1598412517,14563320
1598412518,14563320
1598412519,0
1598412520,0
1598412521,0
1598412522,0
1598412523,18853672
1598412524,47475832
1598412525,94568624
1598412526,107282784
1598412527,145190896
1598412528,70746288
1598412529,0
1598412530,0
1598412531,0
1598412532,149781816
1598412533,96389128
1598412534,188408552
1598412535,132040872
1598412536,121201224
1598412537,149876816
1598412538,149876816
1598412539,73171968
1598412540,73171968
1598412541,217539040
1598412542,217539040
1598412543,0
1598412544,0
1598412545,199537040
1598412546,65778576
1598412547,52521560
1598412548,52521560
1598412549,52521560
1598412550,14744608
1598412551,109537888
1598412552,0
1598412553,0
1598412554,113273712
1598412555,327712
1598412556,685336
1598412557,294944
1598412558,360480
1598412559,455936
1598412560,554240
1598412561,715232
1598412562,810688
1598412563,784464
1598412564,684112
1598412565,714032
1598412566,942608
1598412567,743952
1598412568,904944
1598412569,904944
1598412570,904944
1598412571,78701176
1598412572,98909632
1598412573,98909632
1598412574,0
1598412575,0
1598412576,18015192
1598412577,18015192
1598412578,8997104
1598412579,8997104
1598412580,8997104
1598412581,39436392
1598412582,39764048
1598412583,39764048
1598412584,7162504
1598412585,7162504
1598412586,7162504
1598412587,7162504
1598412588,109246848
1598412589,136488112
1598412590,160693608
1598412591,227697712
1598412592,227697712
1598412593,141913024
1598412594,120613448
1598412595,120613448
1598412596,122645832
1598412597,55248664
1598412598,55248664
1598412599,152257040
1598412600,152257040
1598412601,152257040
1598412602,253230816
1598412603,253230816
1598412604,319687592
1598412605,332554808
1598412606,340398872
1598412607,298713984
1598412608,394836464
1598412609,133537648
1598412610,133537648
1598412611,133537648
1598412612,196624
1598412613,654600
1598412614,294944
1598412615,327712
1598412616,652584
1598412617,327712
1598412618,294944
1598412619,393248
1598412620,392416
1598412621,488720
1598412622,453920
1598412623,582176
1598412624,582176
1598412625,610080
1598412626,610080
1598412627,391216
1598412628,391216
1598412629,142273144
1598412630,174476656
1598412631,181795184
1598412632,232513264
1598412633,232513264
1598412634,19293472
1598412635,19293472
1598412636,20510504
1598412637,20510504
1598412638,7757384
1598412639,12886424
1598412640,12886424
1598412641,12686376
1598412642,12686376
1598412643,12686376
1598412644,180772872
1598412645,208480720
1598412646,306801632
1598412647,389177600
1598412648,432741432
1598412649,138039336
1598412650,86429312
1598412651,155109480
1598412652,146655240
1598412653,146655240
1598412654,32982688
1598412655,110661120
1598412656,110661120
1598412657,109280480
1598412658,0
1598412659,130632576
1598412660,78230072
1598412661,96500216
1598412662,28264480
1598412663,86207072
1598412664,97741408
1598412665,97741408
1598412666,97741408
1598412667,0
1598412668,327712
1598412669,391232
1598412670,360480
1598412671,294944
1598412672,426016
1598412673,292912
1598412674,486704
1598412675,486704
1598412676,584192
1598412677,587864
1598412678,522304
1598412679,552240
1598412680,615760
1598412681,909880
1598412682,680480
1598412683,680480
1598412684,111666552
1598412685,129632592
1598412686,178637712
1598412687,178637712
1598412688,178637712
1598412689,178637712
1598412690,14074168
1598412691,17080728
1598412692,5079392
1598412693,37251360
1598412694,9109616
1598412695,9109616
1598412696,7733384
1598412697,7733384
1598412698,15007856
1598412699,171589528
1598412700,163099016
1598412701,146079224
1598412702,240628168
1598412703,332787032
1598412704,332787032
1598412705,332787032
1598412706,332787032
1598412707,332787032
1598412708,332787032
1598412709,66723760
1598412710,66723760
1598412711,184673512
1598412712,310822808
1598412713,310822808
1598412714,435967488
1598412715,299955824
1598412716,82021944
1598412717,114165304
1598412718,56066136
1598412719,80379968
1598412720,89882656
1598412721,89882656
1598412722,89882656
1598412723,294944
1598412724,360480
1598412725,327712
1598412726,619816
1598412727,327712
1598412728,327712
1598412729,587048
1598412730,393248
1598412731,457968
1598412732,652584
1598412733,490736
1598412734,485888
1598412735,485888
1598412736,585008
1598412737,811576
1598412738,682496
1598412739,39917248
1598412740,102945008
1598412741,122294544
1598412742,122294544
1598412743,9611440
1598412744,9611440
1598412745,12533472
1598412746,12533472
1598412747,14305600
1598412748,37569472
1598412749,37569472
1598412750,11862152
1598412751,11862152
1598412752,3948672
1598412753,3948672
1598412754,105406608
1598412755,62152096
1598412756,0
1598412757,156614144
1598412758,162597112
1598412759,208787368
1598412760,208787368
1598412761,208787368
1598412762,208787368
1598412763,208787368
1598412764,208787368
1598412765,208787368
1598412766,214852200
1598412767,214852200
1598412768,285730072
1598412769,285730072
1598412770,290945760
1598412771,289444736
1598412772,111572152
1598412773,58343040
1598412774,92301872
1598412775,73356368
1598412776,73356368
1598412777,73356368
1598412778,294944
1598412779,294944
1598412780,391232
1598412781,327712
1598412782,327712
1598412783,619816
1598412784,360480
1598412785,294944
1598412786,619816
1598412787,360480
1598412788,294944
1598412789,457968
1598412790,618984
1598412791,584192
1598412792,96463568
1598412793,96463568
1598412794,117766336
1598412795,0
1598412796,143674416
1598412797,143674416
1598412798,143674416
1598412799,46941528
1598412800,55388192
1598412801,55388192
1598412802,36907288
1598412803,12255328
1598412804,3965048
1598412805,3965048
1598412806,12714080
1598412807,12714080
1598412808,12714080
1598412809,145792592
1598412810,188866240
1598412811,213405456
1598412812,203751616
1598412813,203751616
1598412814,203751616
1598412815,203751616
1598412816,203751616
1598412817,203751616
1598412818,33548880
1598412819,175812232
1598412820,175812232
1598412821,173720544
1598412822,173720544
1598412823,106179536
1598412824,62933136
1598412825,147838992
1598412826,97774176
1598412827,113811248
1598412828,114321984
1598412829,114321984
1598412830,57650744
1598412831,327696
1598412832,294944
1598412833,654600
1598412834,196624
1598412835,392432
1598412836,750072
1598412837,619816
1598412838,554256
1598412839,584192
1598412840,516624
1598412841,644864
1598412842,577312
1598412843,1096792
1598412844,423984
1598412845,91809560
1598412846,111724856
1598412847,115475264
1598412848,115475264
1598412849,115475264
1598412850,13882216
1598412851,16201424
1598412852,16201424
1598412853,29668808
1598412854,10980424
1598412855,9814144
1598412856,9814144
1598412857,9814144
1598412858,109453240
1598412859,109453240
1598412860,112549360
1598412861,112549360
1598412862,0
1598412863,162569008
1598412864,162569008
1598412865,162569008
1598412866,162569008
1598412867,162569008
1598412868,162569008
1598412869,48583144
1598412870,48583144
1598412871,218099856
1598412872,218099856
1598412873,218099856
1598412874,229620664
1598412875,276309176
1598412876,263676336
1598412877,263676336
1598412878,236198296
1598412879,222225976
1598412880,281591456
1598412881,0
1598412882,0
1598412883,393248
1598412884,327712
1598412885,98304
1598412886,327712
1598412887,391232
1598412888,294944
1598412889,421984
1598412890,421984
1598412891,393248
1598412892,587024
1598412893,582992
1598412894,648528
1598412895,550208
1598412896,550208
1598412897,424000
1598412898,98039384
1598412899,98039384
1598412900,179310872
1598412901,171353936
1598412902,171353936
1598412903,14854272
1598412904,18556176
1598412905,18556176
1598412906,11177184
1598412907,3853424
1598412908,37467368
1598412909,11157656
1598412910,11157656
1598412911,8487024
1598412912,8487024
1598412913,8487024
1598412914,35788472
1598412915,182745424
1598412916,222509448
1598412917,0
1598412918,0
1598412919,147547072
1598412920,153377744
1598412921,103029600
1598412922,122364600
1598412923,122364600
1598412924,19236576
1598412925,200915368
1598412926,200915368
1598412927,314048344
1598412928,314048344
1598412929,390001144
1598412930,104577784
1598412931,58320048
1598412932,75594896
1598412933,0
1598412934,89057824
1598412935,89057824
1598412936,89057824
1598412937,294944
1598412938,294944
1598412939,587048
1598412940,327712
1598412941,262176
1598412942,620632
1598412943,294944
1598412944,455952
1598412945,682520
1598412946,586208
1598412947,456768
1598412948,683336
1598412949,554256
1598412950,554256
1598412951,647712
1598412952,647712
1598412953,106138280
1598412954,131333744
1598412955,0
1598412956,0
1598412957,0
1598412958,13923104
1598412959,1945000
1598412960,765296
1598412961,37279320
1598412962,37213784
1598412963,37213784
1598412964,2862544
1598412965,2862544
1598412966,174644976
1598412967,219439288
1598412968,158000568
1598412969,189408648
1598412970,271145120
1598412971,271145120
1598412972,178309208
1598412973,18892584
1598412974,54890112
1598412975,54890112
1598412976,54890112
1598412977,107158472
1598412978,162938208
1598412979,162938208
1598412980,173196680
1598412981,173080080
1598412982,173080080
1598412983,0
1598412984,118425552
1598412985,78230040
1598412986,115089232
1598412987,115023696
1598412989,0
1598412989,688400
1598412990,360480
1598412991,621832
1598412992,486704
1598412993,455952
1598412994,393248
1598412995,486704
1598412996,746040
1598412997,678464
1598412998,547392
1598412999,488720
1598413000,748056
1598413001,586208
1598413002,614944
1598413003,614944
1598413004,60811008
1598413005,90284352
1598413006,90284352
1598413007,90284352
1598413008,16793288
1598413009,16793288
1598413010,11588664
1598413011,11588664
1598413012,16229952
1598413013,23935592
1598413014,23935592
1598413015,18382168
1598413016,18382168
1598413017,74981784
1598413018,0
1598413019,104136912
1598413020,238599288
1598413021,229191368
1598413022,229191368
1598413023,229191368
1598413024,229191368
1598413025,229191368
1598413026,229191368
1598413027,229191368
1598413028,88954760
1598413029,263867680
1598413030,263867680
1598413031,338153736
1598413032,338163192
1598413033,417929264
1598413034,423643936
1598413035,401241088
1598413036,367034272
1598413037,0
1598413038,166586976
1598413039,115089232
1598413040,40659504
1598413041,196624
1598413042,262176
1598413043,294944
1598413044,554280
1598413045,327712
1598413046,457968
1598413047,426016
1598413048,686168
1598413049,585008
1598413050,614944
1598413051,941832
1598413052,681680
1598413053,486704
1598413054,647712
1598413055,549392
1598413056,549392
1598413057,67096192
1598413058,0
1598413059,84525120
1598413060,84525120
1598413061,10127000
1598413062,10127000
1598413063,16172664
1598413064,16172664
1598413065,37251208
1598413066,37595232
1598413067,18645112
1598413068,18645112
1598413069,18645112
1598413070,18645112
1598413071,18645112
