t,value
1598412501,0
1598412502,16570560
1598412503,0
1598412504,0
1598412505,0
1598412506,0
1598412507,0
1598412508,0
1598412509,17822120
1598412510,17822120
1598412511,17822120
1598412512,17822120
1598412513,0
1598412514,0
1598412515,0
1598412516,0
1598412517,0
1598412518,0
1598412519,0
1598412520,0
1598412521,0
1598412522,0
1598412523,0
1598412524,0
1598412525,0
1598412526,0
1598412527,0
1598412528,0
1598412529,0
1598412530,0
1598412531,0
1598412532,0
1598412533,0
1598412534,0
1598412535,0
1598412536,0
1598412537,0
1598412538,0
1598412539,0
1598412540,17352944
1598412541,17352944
1598412542,17352944
1598412543,17352944
1598412544,17352944
1598412545,17352944
1598412546,17352944
1598412547,17352944
1598412548,17352944
1598412549,17352944
1598412550,17352944
1598412551,17352944
1598412552,17352944
1598412553,17352944
1598412554,17352944
1598412555,20749976
1598412556,20749976
1598412557,20749976
1598412558,20749976
1598412559,20749976
1598412560,20749976
1598412561,20749976
1598412562,20749976
1598412563,20749976
1598412564,15797312
1598412565,15797312
1598412566,15797312
1598412567,15797312
1598412568,15797312
1598412569,15797312
1598412570,15797312
1598412571,15797312
1598412572,15797312
1598412573,15797312
1598412574,15797312
1598412575,15797312
1598412576,16890424
1598412577,16890424
1598412578,16890424
1598412579,16890424
1598412580,16890424
1598412581,16890424
1598412582,16890424
1598412583,16890424
1598412584,16890424
1598412585,16890424
1598412586,16890424
1598412587,16890424
1598412588,16890424
1598412589,16890424
1598412590,16890424
1598412591,16890424
1598412592,16890424
1598412593,16890424
1598412594,16890424
1598412595,16890424
1598412596,16890424
1598412597,16890424
1598412598,20112896
1598412599,20112896
1598412600,20112896
1598412601,20112896
1598412602,20112896
1598412603,20112896
1598412604,20112896
1598412605,20112896
1598412606,20112896
1598412607,20112896
1598412608,20112896
1598412609,20112896
1598412610,20112896
1598412611,20112896
1598412612,20112896
1598412613,20112896
1598412614,20112896
1598412615,20112896
1598412616,20850024
1598412617,20850024
1598412618,20850024
1598412619,20850024
1598412620,20850024
1598412621,20850024
1598412622,20850024
1598412623,20850024
1598412624,20850024
1598412625,20850024
1598412626,20850024
1598412627,21923984
1598412628,21923984
1598412629,21923984
1598412630,21923984
1598412631,21923984
1598412632,21923984
1598412633,21923984
1598412634,21923984
1598412635,21923984
1598412636,21923984
1598412637,21923984
1598412638,21923984
1598412639,21923984
1598412640,21923984
1598412641,21923984
1598412642,21923984
1598412643,14148192
1598412644,14148192
1598412645,14148192
1598412646,14148192
1598412647,14148192
1598412648,14148192
1598412649,14148192
1598412650,14148192
1598412651,14148192
1598412652,14148192
1598412653,14148192
1598412654,14148192
1598412655,14148192
1598412656,14148192
1598412657,14148192
1598412658,14148192
1598412659,14148192
1598412660,14148192
1598412661,14148192
1598412662,14148192
1598412663,14148192
1598412664,14148192
1598412665,14148192
1598412666,14148192
1598412667,14148192
1598412668,19434760
1598412669,19434760
1598412670,19434760
1598412671,19434760
1598412672,19434760
1598412673,19434760
1598412674,19434760
1598412675,19434760
1598412676,19434760
1598412677,19790520
1598412678,19790520
1598412679,19790520
1598412680,19790520
1598412681,19790520
1598412682,19790520
1598412683,19790520
1598412684,19790520
1598412685,19790520
1598412686,19790520
1598412687,19790520
1598412688,19790520
1598412689,19790520
1598412690,19790520
1598412691,19790520
1598412692,19790520
1598412693,20149000
1598412694,20149000
1598412695,20149000
1598412696,20149000
1598412697,20149000
1598412698,20149000
1598412699,20149000
1598412700,20149000
1598412701,20149000
1598412702,20149000
1598412703,20149000
1598412704,20149000
1598412705,20149000
1598412706,20149000
1598412707,20149000
1598412708,20149000
1598412709,20149000
1598412710,20149000
1598412711,17798664
1598412712,17798664
1598412713,17798664
1598412714,17798664
1598412715,17798664
1598412716,17798664
1598412717,17798664
1598412718,17798664
1598412719,17798664
1598412720,17798664
1598412721,17798664
1598412722,17798664
1598412723,17798664
1598412724,17798664
1598412725,17798664
1598412726,17798664
1598412727,21207896
1598412728,21207896
1598412729,21207896
1598412730,21207896
1598412731,21207896
1598412732,21207896
1598412733,21207896
1598412734,21207896
1598412735,21207896
1598412736,19919808
1598412737,19919808
1598412738,19919808
1598412739,19919808
1598412740,19919808
1598412741,19919808
