t,count
1598413137,0
1598413138,0
1598413139,0
1598413140,0
1598413141,0
1598413142,0
1598413143,0
1598413144,0
1598413145,0
1598413146,0
1598413147,0
1598413148,0
1598413149,0
1598413150,0
1598413151,0
1598413152,0
1598413153,0
1598413154,0
1598413155,0
1598413156,0
1598413157,0
1598413158,0
1598413159,0
1598413160,0
1598413161,0
1598413162,0
1598413163,0
1598413164,0
1598413165,0
1598413166,0
1598413167,0
1598413168,0
1598413169,0
1598413170,0
1598413171,0
1598413172,0
1598413173,0
1598413174,0
1598413175,0
1598413176,0
1598413177,0
1598413178,0
1598413179,0
1598413180,0
1598413181,0
1598413182,0
1598413183,0
1598413184,0
1598413185,0
1598413186,0
1598413187,118
1598413188,1487
1598413189,2830
1598413190,3315
1598413191,3785
1598413192,3785
1598413193,3785
1598413194,3785
1598413195,3785
1598413196,3785
1598413197,3785
1598413198,3785
1598413199,3785
1598413200,3785
1598413201,3785
1598413202,3785
1598413203,3785
1598413204,3785
1598413205,3785
1598413206,3785
1598413207,3785
1598413208,3785
1598413209,3785
1598413210,3785
1598413211,3785
1598413212,3785
1598413213,3785
1598413214,3899
1598413215,3941
1598413216,3985
1598413217,4158
1598413218,4158
1598413219,4158
1598413220,4158
1598413221,4158
1598413222,4158
1598413223,4158
1598413224,4158
1598413225,4158
1598413226,4158
1598413227,4158
1598413228,4158
1598413229,4158
1598413230,4158
1598413231,4158
1598413232,4158
1598413233,4158
1598413234,4158
1598413235,4158
1598413236,4158
1598413237,4158
1598413238,4158
1598413239,4158
1598413240,4158
1598413241,4158
1598413242,4158
1598413243,4158
1598413244,4158
1598413245,4158
1598413246,4158
1598413247,4158
1598413248,5320
1598413249,6137
1598413250,7077
1598413251,7481
1598413252,7757
1598413253,7757
1598413254,7757
1598413255,7757
1598413256,7757
1598413257,7757
1598413258,7757
1598413259,7757
1598413260,7757
1598413261,7757
1598413262,7757
1598413263,7757
1598413264,7757
1598413265,7757
1598413266,7757
1598413267,7757
1598413268,7757
1598413269,7757
1598413270,7757
1598413271,7757
1598413272,8047
1598413273,8206
1598413274,8292
1598413275,8292
1598413276,8292
1598413277,8292
1598413278,8292
1598413279,8335
1598413280,8335
1598413281,8335
1598413282,8335
1598413283,8335
1598413284,8335
1598413285,8335
1598413286,8335
1598413287,8335
1598413288,8335
1598413289,8335
1598413290,8335
1598413291,8335
1598413292,8335
1598413293,8335
1598413294,8335
1598413295,8335
1598413296,8335
1598413297,8335
1598413298,8335
1598413299,8335
1598413300,8335
1598413301,8335
1598413302,8335
1598413303,8335
1598413304,8335
1598413305,8764
1598413306,10008
1598413307,10806
1598413308,11649
1598413309,12304
1598413310,12304
1598413311,12304
1598413312,12304
1598413313,12304
1598413314,12304
1598413315,12304
1598413316,12304
1598413317,12304
1598413318,12304
1598413319,12304
1598413320,12304
1598413321,12304
1598413322,12304
1598413323,12304
1598413324,12304
1598413325,12304
1598413326,12304
1598413327,12304
1598413328,12304
1598413329,12549
1598413330,12681
1598413331,12847
1598413332,12847
1598413333,12847
