t,value
1598413137,0
1598413138,0
1598413139,0
1598413140,0
1598413141,0
1598413142,0
1598413143,0
1598413144,0
1598413145,0
1598413146,0
1598413147,0
1598413148,0
1598413149,0
1598413150,0
1598413151,0
1598413152,0
1598413153,0
1598413154,0
1598413155,0
1598413156,60
1598413157,60
1598413158,60
1598413159,60
1598413160,60
1598413161,60
1598413162,60
1598413163,60
1598413164,60
1598413165,60
1598413166,283
1598413167,283
1598413168,283
1598413169,283
1598413170,283
1598413171,283
1598413172,283
1598413173,283
1598413174,283
1598413175,283
1598413176,283
1598413177,283
1598413178,283
1598413179,283
1598413180,283
1598413181,283
1598413182,283
1598413183,283
1598413184,283
1598413185,283
1598413186,371
1598413187,371
1598413188,371
1598413189,371
1598413190,371
1598413191,371
1598413192,371
1598413193,371
1598413194,371
1598413195,371
1598413196,863
1598413197,863
1598413198,863
1598413199,863
1598413200,863
1598413201,863
1598413202,863
1598413203,863
1598413204,863
1598413205,863
1598413206,863
1598413207,863
1598413208,863
1598413209,863
1598413210,863
1598413211,863
1598413212,863
1598413213,863
1598413214,863
1598413215,863
1598413216,863
1598413217,863
1598413218,863
1598413219,863
1598413220,863
1598413221,863
1598413222,863
1598413223,863
1598413224,863
1598413225,863
1598413226,863
1598413227,863
1598413228,863
1598413229,863
1598413230,863
1598413231,863
1598413232,863
1598413233,863
1598413234,863
1598413235,863
1598413236,863
1598413237,863
1598413238,863
1598413239,863
1598413240,863
1598413241,863
1598413242,863
1598413243,863
1598413244,863
1598413245,863
1598413246,863
1598413247,863
1598413248,863
1598413249,863
1598413250,863
1598413251,863
1598413252,863
1598413253,863
1598413254,863
1598413255,863
1598413256,1324
1598413257,1324
1598413258,1324
1598413259,1324
1598413260,1324
1598413261,1324
1598413262,1324
1598413263,1324
1598413264,1324
1598413265,1324
1598413266,1324
1598413267,1324
1598413268,1324
1598413269,1324
1598413270,1324
1598413271,1324
1598413272,1324
1598413273,1324
1598413274,1324
1598413275,1324
1598413276,1324
1598413277,1324
1598413278,1324
1598413279,1324
1598413280,1324
1598413281,1324
1598413282,1324
1598413283,1324
1598413284,1324
1598413285,1324
1598413286,1324
1598413287,1324
1598413288,1324
1598413289,1324
1598413290,1324
1598413291,1324
1598413292,1324
1598413293,1324
1598413294,1324
1598413295,1324
1598413296,1324
1598413297,1324
1598413298,1324
1598413299,1324
1598413300,1324
1598413301,1324
1598413302,1324
1598413303,1324
1598413304,1324
1598413305,1324
1598413306,1418
1598413307,1418
1598413308,1418
1598413309,1418
1598413310,1418
1598413311,1418
1598413312,1418
1598413313,1418
1598413314,1418
1598413315,1418
1598413316,1823
1598413317,1823
1598413318,1823
1598413319,1823
1598413320,1823
1598413321,1823
1598413322,1823
1598413323,1823
1598413324,1823
1598413325,1823
1598413326,1823
1598413327,1823
1598413328,1823
1598413329,1823
1598413330,1823
1598413331,1823
1598413332,1823
1598413333,1823
1598413334,1823
1598413335,1823
1598413336,1823
1598413337,1823
1598413338,1823
1598413339,1823
1598413340,1823
1598413341,1823
