t,count
1598413137,0
1598413138,0
1598413139,0
1598413140,0
1598413141,0
1598413142,0
1598413143,0
1598413144,0
1598413145,0
1598413146,0
1598413147,0
1598413148,0
1598413149,0
1598413150,0
1598413151,0
1598413152,0
1598413153,0
1598413154,0
1598413155,0
1598413156,0
1598413157,0
1598413158,0
1598413159,0
1598413160,0
1598413161,0
1598413162,0
1598413163,0
1598413164,0
1598413165,0
1598413166,800000
1598413167,1600000
1598413168,1600000
1598413169,1600000
1598413170,1600000
1598413171,1600000
1598413172,2100000
1598413173,2600000
1598413174,2600000
1598413175,2600000
1598413176,2600000
1598413177,2600000
1598413178,2600000
1598413179,2600000
1598413180,3400000
1598413181,4200000
1598413182,4200000
1598413183,4200000
1598413184,4200000
1598413185,5000000
1598413186,5000000
1598413187,5000000
1598413188,5000000
1598413189,5000000
1598413190,5000000
1598413191,5000000
1598413192,5000000
1598413193,5800000
1598413194,7400000
1598413195,9000000
1598413196,10400000
1598413197,11800000
1598413198,13000000
1598413199,14600000
1598413200,15800000
1598413201,17000000
1598413202,19000000
1598413203,20200000
1598413204,21400000
1598413205,23000000
1598413206,24200000
1598413207,25000000
1598413208,25000000
1598413209,25000000
1598413210,25000000
1598413211,25500000
1598413212,26000000
1598413213,26000000
1598413214,26000000
1598413215,26000000
1598413216,26000000
1598413217,26000000
1598413218,26000000
1598413219,26000000
1598413220,26000000
1598413221,26000000
1598413222,26000000
1598413223,26000000
1598413224,26000000
1598413225,26000000
1598413226,26000000
1598413227,26000000
1598413228,27600000
1598413229,27600000
1598413230,27600000
1598413231,27600000
1598413232,27600000
1598413233,27600000
1598413234,28600000
1598413235,28600000
1598413236,28600000
1598413237,28600000
1598413238,28600000
1598413239,28600000
1598413240,28600000
1598413241,28600000
1598413242,29400000
1598413243,30200000
1598413244,30200000
1598413245,30200000
1598413246,31000000
1598413247,31000000
1598413248,31000000
1598413249,31000000
1598413250,31000000
1598413251,31000000
1598413252,31400000
1598413253,32600000
1598413254,33000000
1598413255,34200000
1598413256,35800000
1598413257,35800000
1598413258,37000000
1598413259,37800000
1598413260,39000000
1598413261,40600000
1598413262,41600000
1598413263,42600000
1598413264,43800000
1598413265,45400000
1598413266,46600000
1598413267,47000000
1598413268,47000000
1598413269,47000000
1598413270,47000000
1598413271,48000000
1598413272,48000000
1598413273,48000000
1598413274,48000000
1598413275,48000000
1598413276,48000000
1598413277,48000000
1598413278,48000000
1598413279,48000000
1598413280,48000000
1598413281,48000000
1598413282,48000000
1598413283,48000000
1598413284,48000000
1598413285,49600000
1598413286,49600000
1598413287,49600000
1598413288,49600000
1598413289,51200000
1598413290,51200000
1598413291,51200000
1598413292,52200000
1598413293,52200000
1598413294,52200000
1598413295,52200000
1598413296,52200000
1598413297,52200000
1598413298,52200000
1598413299,53800000
1598413300,53800000
1598413301,53800000
1598413302,53800000
1598413303,54600000
1598413304,54600000
1598413305,54600000
1598413306,54600000
1598413307,54600000
1598413308,54600000
1598413309,54600000
1598413310,56200000
1598413311,56600000
1598413312,58400000
