t,value
1598413137,-4.4194792E7
1598413138,-4.4449544E7
1598413139,-4.4538864E7
1598413140,-4.48714E7
1598413141,-4.4927856E7
1598413142,-4.5049888E7
1598413143,-4.5077024E7
1598413144,-4.5134368E7
1598413145,-4.5195392E7
1598413146,-4.5208528E7
1598413147,-4.5269E7
1598413148,-4.522436E7
1598413149,-4.5402648E7
1598413150,-4.688916E7
1598413151,-4.7199688E7
1598413152,-4.7280488E7
1598413153,-4.7342264E7
1598413154,-4.983724E7
1598413155,-5.8581208E7
1598413156,-6.4758048E7
1598413157,-7.6292736E7
1598413158,-8.7895776E7
1598413159,-9.8018784E7
1598413160,-1.04398288E8
1598413161,-1.04904184E8
1598413162,-1.05309112E8
1598413163,-1.05776032E8
1598413164,-1.0588048E8
1598413165,-1.06777704E8
1598413166,-1.0725368E8
1598413167,-1.07765632E8
1598413168,-1.09629E8
1598413169,-1.09870856E8
1598413170,-1.1030508E8
1598413171,-1.10562968E8
1598413172,-1.10989216E8
1598413173,-1.11791912E8
1598413174,-1.12493368E8
1598413175,-1.12962688E8
1598413176,-1.1316696E8
1598413177,-1.13393192E8
1598413178,-1.13368912E8
1598413179,-1.14013728E8
1598413180,-1.14466448E8
1598413181,-1.1427844E8
1598413182,-1.14352544E8
1598413183,-1.14448552E8
1598413184,-1.14470408E8
1598413185,-1.17687552E8
1598413186,-1.1960192E8
1598413187,-1.21068096E8
1598413188,-1.21113592E8
1598413189,-1.21878248E8
1598413190,-1.21900208E8
1598413191,-1.23123624E8
1598413192,-1.23506848E8
1598413193,-1.23257208E8
1598413194,-1.235766E8
1598413195,-1.23827456E8
1598413196,-1.2329676E8
1598413197,-1.23553368E8
1598413198,-1.23743672E8
1598413199,-1.23989288E8
1598413200,-1.23758568E8
1598413201,-1.2395672E8
1598413202,-1.24056384E8
1598413203,-1.23936272E8
1598413204,-1.2408784E8
1598413205,-1.243276E8
1598413206,-1.24408264E8
1598413207,-1.24566304E8
1598413208,-1.24833472E8
1598413209,-1.25033336E8
1598413210,-1.25479016E8
1598413211,-1.25565144E8
1598413212,-1.25614728E8
1598413213,-1.29726176E8
1598413214,-1.30243608E8
1598413215,-1.30564528E8
1598413216,-1.31254944E8
1598413217,-1.31929192E8
