t,value
1598413137,7471104
1598413138,7602176
1598413139,7602176
1598413140,7798784
1598413141,7929856
1598413142,7995392
1598413143,7995392
1598413144,8060928
1598413145,8060928
1598413146,8060928
1598413147,8192000
1598413148,8192000
1598413149,8192000
1598413150,8454144
1598413151,8716288
1598413152,8781824
1598413153,8847360
1598413154,9568256
1598413155,9961472
1598413156,11534336
1598413157,14876672
1598413158,15400960
1598413159,15597568
1598413160,17498112
1598413161,17891328
1598413162,17956864
1598413163,18022400
1598413164,18612224
1598413165,18677760
1598413166,18808832
1598413167,19005440
1598413168,19726336
1598413169,19988480
1598413170,20185088
1598413171,20578304
1598413172,20709376
1598413173,21495808
1598413174,23003136
1598413175,23199744
1598413176,23199744
1598413177,23330816
1598413178,23527424
1598413179,23986176
1598413180,24313856
1598413181,24444928
1598413182,24510464
1598413183,24510464
1598413184,24576000
1598413185,24772608
1598413186,26738688
1598413187,27459584
1598413188,27459584
1598413189,27656192
1598413190,27656192
1598413191,27656192
1598413192,27787264
1598413193,28114944
1598413194,28311552
1598413195,28311552
1598413196,28311552
1598413197,28311552
1598413198,28311552
1598413199,28377088
1598413200,28573696
1598413201,28639232
1598413202,28835840
1598413203,29032448
1598413204,29032448
1598413205,29032448
1598413206,29032448
1598413207,29032448
1598413208,29229056
1598413209,29491200
1598413210,29556736
1598413211,29818880
1598413212,29884416
1598413213,31129600
1598413214,31719424
1598413215,31981568
1598413216,32374784
1598413217,32899072
1598413218,33226752
1598413219,33423360
1598413220,34078720
1598413221,34275328
1598413222,34668544
1598413223,35061760
1598413224,35061760
1598413225,35061760
1598413226,35061760
1598413227,35061760
1598413228,35061760
1598413229,35061760
1598413230,35061760
1598413231,35061760
1598413232,35061760
1598413233,35061760
1598413234,35061760
1598413235,35061760
1598413236,35061760
1598413237,35061760
1598413238,35061760
1598413239,35061760
1598413240,35061760
1598413241,35061760
1598413242,35061760
1598413243,35061760
1598413244,35061760
1598413245,35061760
1598413246,35061760
1598413247,35061760
1598413248,35061760
1598413249,35061760
1598413250,35061760
1598413251,35061760
1598413252,35061760
1598413253,35061760
1598413254,35061760
1598413255,35061760
1598413256,35061760
1598413257,35061760
1598413258,35061760
1598413259,35061760
1598413260,35061760
1598413261,35061760
1598413262,35061760
1598413263,35061760
1598413264,35061760
1598413265,35061760
1598413266,35061760
1598413267,35061760
1598413268,35061760
1598413269,35061760
1598413270,35061760
1598413271,35061760
1598413272,35061760
1598413273,35061760
1598413274,35061760
1598413275,35061760
1598413276,35061760
1598413277,35061760
1598413278,35061760
1598413279,35192832
1598413280,35192832
1598413281,35192832
1598413282,35258368
1598413283,35323904
1598413284,35389440
1598413285,35454976
1598413286,35454976
1598413287,35520512
1598413288,35520512
1598413289,35717120
1598413290,35848192
1598413291,35979264
1598413292,35979264
1598413293,36634624
1598413294,36700160
1598413295,36765696
1598413296,36896768
1598413297,37027840
1598413298,37093376
1598413299,37093376
1598413300,37093376
1598413301,37093376
1598413302,37093376
1598413303,37093376
1598413304,37158912
1598413305,37158912
1598413306,37158912
1598413307,37158912
1598413308,37158912
1598413309,37158912
1598413310,37158912
1598413311,37224448
1598413312,37224448
1598413313,37224448
1598413314,37224448
1598413315,37224448
1598413316,37224448
1598413317,37224448
1598413318,37224448
1598413319,37224448
1598413320,37224448
1598413321,37224448
1598413322,37289984
1598413323,37289984
1598413324,37289984
1598413325,37355520
1598413326,37421056
1598413327,37421056
1598413328,37421056
1598413329,37421056
1598413330,37421056
1598413331,37421056
1598413332,37486592
1598413333,37552128
1598413334,37617664
1598413335,37683200
1598413336,37748736
1598413337,37814272
1598413338,38010880
1598413339,38010880
1598413340,38076416
1598413341,38076416
1598413342,38141952
1598413343,38141952
1598413344,38141952
1598413345,38141952
1598413346,38207488
1598413347,38273024
1598413348,38273024
1598413349,38273024
1598413350,38338560
1598413351,38338560
1598413352,38338560
1598413353,38404096
1598413354,38404096
1598413355,38404096
1598413356,38404096
1598413357,38404096
1598413358,38404096
1598413359,38404096
1598413360,38404096
1598413361,38404096
1598413362,38404096
1598413363,38469632
1598413364,38469632
1598413365,38469632
1598413366,38535168
1598413367,38535168
1598413368,38535168
1598413369,38535168
1598413370,38535168
1598413371,38600704
1598413372,38600704
1598413373,38600704
1598413374,38600704
1598413375,38600704
1598413376,38666240
1598413377,38666240
1598413378,38666240
1598413379,38731776
1598413380,38731776
1598413381,38797312
1598413382,38797312
1598413383,38797312
1598413384,38862848
1598413385,38993920
1598413386,39059456
1598413387,39124992
1598413388,39124992
1598413389,39124992
1598413390,39124992
1598413391,39124992
1598413392,39190528
1598413393,39190528
1598413394,39256064
1598413395,39321600
1598413396,39321600
1598413397,39452672
1598413398,39452672
1598413399,39452672
1598413400,39518208
1598413401,39649280
1598413402,39714816
1598413403,39714816
1598413404,39714816
1598413405,39714816
1598413406,39714816
1598413407,39714816
1598413408,39714816
1598413409,39714816
1598413410,39714816
1598413411,39714816
1598413412,39714816
1598413413,39714816
1598413414,39780352
1598413415,39780352
1598413416,39780352
1598413417,39780352
1598413418,39780352
1598413419,39780352
1598413420,39780352
1598413421,39845888
1598413422,39845888
1598413423,39911424
1598413424,40042496
1598413425,40042496
1598413426,40108032
1598413427,40108032
1598413428,40108032
1598413429,40108032
1598413430,40108032
1598413431,40173568
1598413432,40173568
1598413433,40173568
1598413434,40173568
1598413435,40304640
1598413436,40566784
1598413437,40566784
1598413438,40566784
1598413439,40566784
1598413440,40632320
1598413441,40697856
1598413442,40697856
1598413443,40763392
1598413444,40763392
1598413445,40828928
1598413446,40828928
1598413447,40828928
1598413448,40828928
1598413449,40960000
1598413450,40960000
1598413451,41025536
1598413452,41025536
1598413453,41025536
1598413454,41025536
1598413455,41091072
1598413456,41222144
1598413457,41287680
1598413458,41287680
1598413459,41418752
1598413460,41418752
1598413461,41418752
1598413462,41484288
1598413463,41484288
1598413464,41484288
1598413465,41549824
1598413466,41746432
1598413467,41746432
1598413468,41746432
1598413469,41746432
1598413470,41746432
1598413471,41746432
1598413472,41746432
1598413473,41746432
1598413474,41746432
1598413475,41746432
1598413476,41746432
1598413477,41746432
1598413478,41746432
1598413479,41746432
1598413480,41746432
1598413481,41746432
1598413482,41746432
1598413483,41746432
1598413484,41746432
1598413485,41746432
1598413486,41746432
1598413487,41746432
1598413488,41746432
1598413489,41746432
1598413490,41746432
1598413491,41746432
1598413492,41746432
1598413493,41746432
1598413494,41746432
1598413495,41877504
1598413496,41943040
1598413497,41943040
1598413498,41943040
1598413499,41943040
1598413500,41943040
1598413501,42008576
1598413502,42008576
1598413503,42008576
1598413504,42008576
1598413505,42074112
1598413506,42074112
1598413507,42074112
1598413508,42074112
1598413509,42139648
1598413510,42139648
1598413511,42270720
1598413512,42270720
1598413513,42467328
1598413514,42598400
1598413515,42729472
1598413516,42729472
1598413517,42729472
1598413518,42729472
1598413519,42729472
1598413520,42729472
1598413521,42729472
1598413522,42795008
1598413523,42795008
1598413524,42795008
1598413525,42795008
1598413526,42795008
1598413527,42795008
1598413528,42795008
1598413529,42860544
1598413530,42991616
1598413531,42991616
1598413532,42991616
1598413533,42991616
1598413534,42991616
1598413535,42991616
1598413536,42991616
1598413537,42991616
1598413538,42991616
1598413539,42991616
1598413540,42991616
1598413541,42991616
1598413542,42991616
1598413543,42991616
