t,value
1598413137,383975424
1598413138,384303104
1598413139,384368640
1598413140,384761856
1598413141,384892928
1598413142,384958464
1598413143,384958464
1598413144,385024000
1598413145,385024000
1598413146,385024000
1598413147,385941504
1598413148,385941504
1598413149,385941504
1598413150,386990080
1598413151,387252224
1598413152,387317760
1598413153,387383296
1598413154,521273344
1598413155,541589504
1598413156,784556032
1598413157,800481280
1598413158,809918464
1598413159,816668672
1598413160,1118461952
1598413161,1113612288
1598413162,1672568832
1598413163,1995071488
1598413164,1996185600
1598413165,1996251136
1598413166,2013159424
1598413167,2013880320
1598413168,2015387648
1598413169,2015649792
1598413170,2061983744
1598413171,2028560384
1598413172,2028691456
1598413173,2029477888
1598413174,2032820224
1598413175,2051891200
1598413176,2007851008
1598413177,2382848000
1598413178,2275303424
1598413179,2307219456
1598413180,2271895552
1598413181,2289852416
1598413182,2289917952
1598413183,2256363520
1598413184,2277400576
1598413185,2279694336
1598413186,2284806144
1598413187,2305974272
1598413188,2468503552
1598413189,2484428800
1598413190,2496225280
1598413191,2496225280
1598413192,2501074944
1598413193,2489606144
1598413194,2274320384
1598413195,2493997056
1598413196,2494521344
1598413197,2506055680
1598413198,2520735744
1598413199,2536005632
1598413200,2552455168
1598413201,2568773632
1598413202,2584436736
1598413203,2599313408
1598413204,2619236352
1598413205,2631819264
1598413206,2642305024
1598413207,2637586432
1598413208,2636210176
1598413209,2636472320
1598413210,2647547904
1598413211,2475843584
1598413212,2500550656
1598413213,2503892992
1598413214,2494783488
1598413215,2495045632
1598413216,2458214400
1598413217,2459000832
1598413218,2497077248
1598413219,2465292288
1598413220,2465947648
1598413221,2498125824
1598413222,2498781184
1598413223,2499174400
1598413224,2499698688
1598413225,2443337728
1598413226,2460639232
1598413227,2460639232
1598413228,2399297536
1598413229,2336382976
1598413230,2336382976
1598413231,2288148480
1598413232,2288148480
1598413233,2361024512
1598413234,2238865408
1598413235,2366267392
1598413236,2366267392
1598413237,2352635904
1598413238,2365743104
1598413239,2316984320
1598413240,2266128384
1598413241,2256166912
1598413242,2256166912
1598413243,2256166912
1598413244,2256166912
1598413245,2256166912
1598413246,2256166912
1598413247,2193252352
1598413248,2224709632
1598413249,2084986880
1598413250,2428919808
1598413251,2428919808
1598413252,2428919808
1598413253,2428919808
1598413254,2428919808
1598413255,2417909760
1598413256,2459852800
1598413257,2470338560
1598413258,2510184448
1598413259,2575196160
1598413260,2626052096
1598413261,2709413888
1598413262,2735628288
