t,value
1598413138,0
1598413139,0
1598413140,0
1598413141,0
1598413142,0
1598413143,0
1598413144,0
1598413145,0
1598413146,0
1598413147,0
1598413148,0
1598413149,0
1598413150,0
1598413151,0
1598413152,0
1598413153,0
1598413154,0
1598413155,0
1598413156,82914416
1598413157,82914416
1598413158,82914416
1598413159,82914416
1598413160,82914416
1598413161,82914416
1598413162,82914416
1598413163,82914416
1598413164,82914416
1598413165,82914416
1598413166,106083728
1598413167,106083728
1598413168,106083728
1598413169,106083728
1598413170,106083728
1598413171,106083728
1598413172,106083728
1598413173,106083728
1598413174,106083728
1598413175,106083728
1598413176,113164016
1598413177,113164016
1598413178,113164016
1598413179,113164016
1598413180,113164016
1598413181,113164016
1598413182,113164016
1598413183,113164016
1598413184,113164016
1598413185,113164016
1598413186,119862464
1598413187,119862464
1598413188,119862464
1598413189,119862464
1598413190,119862464
1598413191,119862464
1598413192,119862464
1598413193,119862464
1598413194,119862464
1598413195,119862464
1598413196,121017784
1598413197,121017784
1598413198,121017784
1598413199,121017784
1598413200,121017784
1598413201,121017784
1598413202,121017784
1598413203,121017784
1598413204,121017784
1598413205,121017784
1598413206,123120528
1598413207,123120528
1598413208,123120528
1598413209,123120528
1598413210,123120528
1598413211,123120528
1598413212,123120528
1598413213,123120528
1598413214,123120528
1598413215,123120528
1598413216,128856784
1598413217,128856784
1598413218,128856784
1598413219,128856784
1598413220,128856784
1598413221,128856784
1598413222,128856784
1598413223,128856784
1598413224,128856784
1598413225,128856784
1598413226,130959280
1598413227,130959280
1598413228,130959280
1598413229,130959280
1598413230,130959280
1598413231,130959280
1598413232,130959280
1598413233,130959280
1598413234,130959280
1598413235,130959280
1598413236,131660768
1598413237,131660768
1598413238,131660768
1598413239,131660768
1598413240,131660768
1598413241,131660768
1598413242,131660768
1598413243,131660768
1598413244,131660768
1598413245,131660768
1598413246,131835576
1598413247,131835576
1598413248,131835576
1598413249,131835576
1598413250,131835576
1598413251,131835576
1598413252,131835576
1598413253,131835576
1598413254,131835576
1598413255,131835576
1598413256,132123696
1598413257,132123696
1598413258,132123696
1598413259,132123696
1598413260,132123696
1598413261,132123696
1598413262,132123696
1598413263,132123696
1598413264,132123696
1598413265,132123696
1598413266,132701160
1598413267,132701160
1598413268,132701160
1598413269,132701160
1598413270,132701160
1598413271,132701160
1598413272,132701160
1598413273,132701160
1598413274,132701160
1598413275,132701160
1598413276,133567936
1598413277,133567936
1598413278,133567936
1598413279,133567936
1598413280,133567936
1598413281,133567936
1598413282,133567936
1598413283,133567936
1598413284,133567936
1598413285,133567936
1598413286,134696400
1598413287,134696400
1598413288,134696400
1598413289,134696400
1598413290,134696400
1598413291,134696400
1598413292,134696400
1598413293,134696400
1598413294,134696400
1598413295,134696400
1598413296,135137408
1598413297,135137408
1598413298,135137408
1598413299,135137408
1598413300,135137408
1598413301,135137408
