t,value
1598413138,32327464
1598413139,32407320
1598413140,32552752
1598413141,32569408
1598413142,32582016
1598413143,32584752
1598413144,32589240
1598413145,32611008
1598413146,32613688
1598413147,32614856
1598413148,32615232
1598413149,33434648
1598413150,33462240
1598413151,33545336
1598413152,35535608
1598413153,40037096
1598413154,47250224
1598413155,54312464
1598413156,60947544
1598413157,70646112
1598413158,73846080
1598413159,77721664
1598413160,77824544
1598413161,77893464
1598413162,77672728
1598413163,77682360
1598413164,77697640
1598413165,78282896
1598413166,78328416
1598413167,79755608
1598413168,79834064
1598413169,79912944
1598413170,79972680
1598413171,80053888
1598413172,80056224
1598413173,80231856
1598413174,80450144
1598413175,80481472
1598413176,80520856
1598413177,80370952
1598413178,80385368
1598413179,80424880
1598413180,80444160
1598413181,80483608
1598413182,80484808
1598413183,80486232
1598413184,80486904
1598413185,82930864
1598413186,83437408
1598413187,83501792
1598413188,83544000
1598413189,83046928
1598413190,83054312
1598413191,83365672
1598413192,83592768
1598413193,83598760
1598413194,83643904
1598413195,83672936
1598413196,83705280
1598413197,83724888
1598413198,83741880
1598413199,85035152
1598413200,85049320
1598413201,85066336
1598413202,85077840
1598413203,85081928
1598413204,85098376
1598413205,85104512
1598413206,85144224
1598413207,85191832
1598413208,85244720
1598413209,85286472
1598413210,85286952
1598413211,85287928
1598413212,87591104
1598413213,87634392
1598413214,87675840
1598413215,87695880
1598413216,87880808
1598413217,87999600
1598413218,88061544
1598413219,88237968
1598413220,88271152
1598413221,88306048
1598413222,88441184
1598413223,88450344
1598413224,88496280
1598413225,88510232
1598413226,88531272
1598413227,88558104
1598413228,88559632
1598413229,88559632
1598413230,88561328
1598413231,88568344
1598413232,88592712
1598413233,88633832
1598413234,88724392
1598413235,88743008
1598413236,88752376
1598413237,88761096
1598413238,88766448
1598413239,88771520
1598413240,88790928
1598413241,88790960
1598413242,88795360
1598413243,88795360
1598413244,88795360
1598413245,88795360
1598413246,88821248
1598413247,88821344
1598413248,88830128
1598413249,88839608
1598413250,88857224
1598413251,88873464
1598413252,88611608
1598413253,88618736
1598413254,88629424
1598413255,88633464
1598413256,88643560
1598413257,88649416
1598413258,88660152
1598413259,88692016
1598413260,88708712
1598413261,88720008
1598413262,88722984
1598413263,88732152
1598413264,88739256
1598413265,88751128
1598413266,88779336
1598413267,88818504
1598413268,88823728
1598413269,88837416
1598413270,88838736
1598413271,88841816
1598413272,88850936
1598413273,88865488
1598413274,88870840
1598413275,88878528
1598413276,88883232
1598413277,88885328
1598413278,88889144
1598413279,88905392
1598413280,88936320
1598413281,89157040
1598413282,89177488
1598413283,89181640
1598413284,89215848
1598413285,89219464
1598413286,89220128
1598413287,89220128
1598413288,89220624
1598413289,89241800
1598413290,89281432
1598413291,89286592
1598413292,89286592
1598413293,89446192
1598413294,89465032
1598413295,89465032
1598413296,89488952
1598413297,89491560
1598413298,89491560
1598413299,89492216
1598413300,89492216
1598413301,89492216
1598413302,89492216
1598413303,89492904
1598413304,89492904
1598413305,89498416
1598413306,89500336
1598413307,89505008
1598413308,89508880
1598413310,89510184
1598413310,89512400
1598413311,89515032
1598413312,89522640
1598413313,89544720
1598413314,89559592
1598413315,89564328
1598413316,89568880
1598413317,89579464
1598413318,89582040
1598413319,89586624
1598413320,89591336
1598413321,89596992
1598413322,89622680
1598413323,89627576
1598413324,89740040
1598413325,89757960
1598413326,89760568
1598413327,89760568
1598413328,89761160
1598413329,89766288
1598413330,89766592
1598413331,89876712
1598413332,89897440
1598413333,89899016
1598413334,89900400
1598413335,89916200
1598413336,89919776
1598413337,89940744
1598413338,89945192
1598413339,89958392
1598413340,89958392
1598413341,89969048
1598413342,89970168
1598413343,89970168
1598413344,89970168
1598413345,89970608
1598413346,89983304
1598413347,89989592
1598413348,90016008
1598413349,90099360
1598413350,90111520
1598413351,90116544
1598413352,90116888
1598413353,90116920
1598413354,90121312
1598413355,90121312
1598413356,90126096
1598413357,90126096
1598413358,90126096
1598413359,90127496
1598413360,90127496
1598413361,90130872
1598413362,90131512
1598413363,90132640
1598413364,90132640
1598413365,90132640
1598413366,90136064
1598413367,90136360
1598413368,90149832
1598413369,90150184
1598413370,90150624
1598413371,90156584
1598413372,90157984
1598413373,90157984
1598413374,90161576
1598413375,90169576
1598413376,90184208
1598413377,90191576
1598413378,90192664
1598413379,90213608
1598413380,90225592
1598413381,90231592
1598413382,90244760
1598413383,90245144
1598413384,90245144
1598413385,90258344
1598413386,90259072
1598413387,90260056
1598413388,90260056
1598413389,90263384
1598413390,90263384
1598413391,90267280
1598413392,90274120
1598413393,90281256
1598413394,90285024
1598413395,90285024
1598413396,90285024
1598413397,90285648
1598413398,90285648
1598413399,90288208
1598413400,90296408
1598413401,90301672
1598413402,90317160
1598413403,90328512
1598413404,90328512
1598413405,90336928
1598413406,90342008
1598413407,90360096
1598413408,90360096
1598413409,90360728
1598413410,90360728
1598413411,90360728
1598413412,90362632
1598413413,90370568
1598413414,90370568
1598413415,90371664
1598413417,90371664
1598413417,90371664
1598413418,90377112
1598413419,90382624
1598413420,90382624
1598413421,90385440
1598413422,90399088
1598413423,90406952
1598413424,90409256
1598413425,90410904
1598413426,90410904
1598413427,90412904
1598413428,90415744
1598413429,90419136
1598413430,90420016
1598413431,90436552
1598413432,90437432
1598413433,90437432
1598413434,90470976
1598413435,90473824
1598413436,90475640
1598413437,90477808
1598413438,90480400
1598413439,90483112
1598413440,90483112
1598413441,90483888
1598413442,90487696
1598413443,90492096
1598413444,90492192
1598413445,90498480
1598413446,90499848
1598413447,90502536
1598413448,90508824
1598413449,90509112
1598413450,90513040
1598413451,90516312
1598413452,90516928
1598413453,90516928
1598413454,90516928
1598413455,90545504
1598413456,90589984
1598413457,90589984
1598413458,90589984
1598413459,90589984
1598413460,90594896
1598413461,90596200
1598413462,90604496
1598413463,90609320
1598413464,90609320
1598413465,90609320
1598413466,90609320
1598413467,90609320
1598413468,90612856
1598413469,90614752
1598413470,90614752
1598413471,90614752
1598413472,90614752
1598413473,90614752
1598413474,90614752
1598413475,90617688
1598413476,90617688
1598413477,90617688
1598413478,90621360
1598413479,90622584
1598413480,90622584
1598413481,90622584
1598413482,90623976
1598413483,90626152
1598413484,90626152
1598413485,90628888
1598413486,90634216
1598413487,90644856
1598413488,90644856
1598413489,90668192
1598413490,90672456
1598413491,90673480
1598413492,90673480
1598413493,90678656
1598413494,90683528
1598413495,90683528
1598413496,90683528
1598413497,90683528
1598413498,90683528
1598413499,90711744
1598413500,90717048
1598413501,90717472
1598413502,90731568
1598413503,90731600
1598413504,90732288
1598413505,90737848
1598413506,90740344
1598413507,90740344
1598413508,90740344
1598413509,90740344
1598413510,90744184
1598413511,90745640
1598413512,90752240
1598413513,90753112
1598413514,90754360
1598413515,90754360
1598413516,90755760
1598413517,90771744
1598413518,90771744
1598413519,90771744
1598413520,90771744
1598413521,90772992
1598413522,90776552
1598413523,90776552
1598413524,90777880
1598413525,90792896
1598413526,90794352
1598413527,90794352
1598413528,90798528
1598413529,90798528
1598413530,90801672
1598413531,90802504
1598413532,90802504
1598413533,90802504
1598413534,90802504
1598413535,90804328
1598413536,90804680
1598413537,90804680
1598413538,90804680
1598413539,90804680
1598413540,90805400
1598413541,90807304
1598413542,90807304
1598413543,90813064
1598413544,90813064
1598413545,90818840
1598413546,90823200
1598413547,90824896
1598413548,90826136
1598413549,90829040
1598413550,90829040
1598413551,90831864
1598413552,90831864
1598413553,90833480
1598413554,90833856
1598413555,90833856
1598413556,90834984
1598413557,90838776
1598413558,90851200
1598413559,90879544
1598413560,90989600
1598413561,90992656
1598413562,90993792
1598413563,90993792
1598413564,90993792
1598413565,90998088
1598413566,91006072
1598413567,91006072
1598413568,91008312
1598413569,91014408
1598413570,91014744
1598413571,91014744
1598413573,91014744
1598413573,91014744
1598413574,91014744
1598413575,91014744
1598413576,91015496
1598413577,91015496
1598413578,91015496
1598413579,91015496
1598413580,91015496
1598413581,91015496
1598413582,91015496
1598413584,91015496
1598413584,91015496
1598413585,91015496
