t,value
1598413138,661061632
1598413139,661061632
1598413140,661061632
1598413141,661061632
1598413142,661061632
1598413143,661061632
1598413144,661061632
1598413145,661061632
1598413146,661061632
1598413147,661061632
1598413148,661061632
1598413149,661061632
1598413150,661061632
1598413151,661061632
1598413152,661061632
1598413153,661061632
1598413154,661061632
1598413155,661061632
1598413156,661061632
1598413157,661061632
1598413158,661061632
1598413159,661061632
1598413160,661061632
1598413161,661061632
1598413162,661061632
1598413163,661061632
1598413164,661061632
1598413165,661061632
1598413166,661061632
1598413167,661061632
1598413168,661061632
1598413169,661061632
1598413170,661061632
1598413171,661061632
1598413172,661061632
1598413173,661061632
1598413174,661061632
1598413175,661061632
1598413176,661061632
1598413177,661061632
1598413178,661061632
1598413179,661061632
1598413180,661061632
1598413181,661061632
1598413182,661061632
1598413183,661061632
1598413184,661061632
1598413185,661061632
1598413186,661061632
1598413187,661061632
1598413188,661061632
1598413189,661061632
1598413190,661061632
1598413191,661061632
1598413192,661061632
1598413193,661061632
1598413194,661061632
1598413195,661061632
1598413196,661061632
1598413197,661061632
1598413198,661061632
1598413199,661061632
1598413200,661061632
1598413201,661061632
1598413202,661061632
1598413203,661061632
1598413204,661061632
1598413205,661061632
1598413206,661061632
1598413207,661061632
1598413208,661061632
1598413209,661061632
1598413210,661061632
1598413211,661061632
1598413212,661061632
1598413213,661061632
1598413214,661061632
1598413215,661061632
1598413216,661061632
1598413217,661061632
1598413218,661061632
1598413219,661061632
1598413220,661061632
1598413221,661061632
1598413222,661061632
1598413223,661061632
1598413224,661061632
1598413225,661061632
1598413226,661061632
1598413227,661061632
1598413228,661061632
1598413229,661061632
1598413230,661061632
1598413231,661061632
1598413232,661061632
1598413233,661061632
1598413234,661061632
1598413235,661061632
1598413236,661061632
1598413237,661061632
1598413238,661061632
1598413239,661061632
1598413240,661061632
1598413241,661061632
1598413242,661061632
1598413243,661061632
1598413244,661061632
1598413245,661061632
1598413246,661061632
1598413247,661061632
1598413248,661061632
1598413249,661061632
1598413250,661061632
1598413251,661061632
1598413252,661061632
1598413253,661061632
1598413254,661061632
1598413255,661061632
1598413256,661061632
1598413257,661061632
1598413258,661061632
1598413259,661061632
1598413260,661061632
1598413261,661061632
1598413262,661061632
1598413263,661061632
1598413264,661061632
1598413265,661061632
1598413266,661061632
1598413267,661061632
1598413268,661061632
1598413269,661061632
1598413270,661061632
1598413271,661061632
1598413272,661061632
1598413273,661061632
1598413274,661061632
1598413275,661061632
1598413276,661061632
1598413277,661061632
1598413278,661061632
1598413279,661061632
1598413280,661061632
1598413281,661061632
1598413282,661061632
1598413283,661061632
1598413284,661061632
1598413285,661061632
1598413286,661061632
1598413287,661061632
1598413288,661061632
1598413289,661061632
1598413290,661061632
1598413291,661061632
1598413292,661061632
1598413293,661061632
1598413294,661061632
1598413295,661061632
1598413296,661061632
1598413297,661061632
1598413298,661061632
1598413299,661061632
1598413300,661061632
1598413301,661061632
1598413302,661061632
1598413303,661061632
1598413304,661061632
1598413305,661061632
1598413306,661061632
1598413307,661061632
1598413308,661061632
1598413310,661061632
1598413310,661061632
1598413311,661061632
1598413312,661061632
1598413313,661061632
1598413314,661061632
1598413315,661061632
1598413316,661061632
1598413317,661061632
1598413318,661061632
1598413319,661061632
1598413320,661061632
