t,value
1598413134,0
1598413135,0
1598413136,0
1598413137,0
1598413138,0
1598413139,0
1598413140,0
1598413141,0
1598413142,0
1598413143,0
1598413144,0
1598413145,0
1598413146,0
1598413147,0
1598413148,0
1598413149,2
1598413150,2
1598413151,2
1598413152,2
1598413153,2
1598413154,2
1598413155,2
1598413156,2
1598413157,2
1598413158,2
1598413159,2
1598413160,2
1598413161,2
1598413162,2
1598413163,2
1598413164,2
1598413165,2
1598413166,2
1598413167,0
1598413168,2
1598413169,2
1598413170,2
1598413171,2
1598413172,2
1598413173,0
1598413174,2
1598413175,2
1598413176,2
1598413177,2
1598413178,2
1598413179,2
1598413180,2
1598413181,2
1598413182,2
1598413183,2
1598413184,2
1598413185,1
1598413186,1
1598413187,1
1598413188,1
1598413189,1
1598413190,1
1598413191,1
1598413192,1
1598413193,0
1598413194,1
1598413195,1
1598413196,1
1598413197,1
1598413198,1
1598413199,1
1598413200,1
1598413201,1
1598413202,1
1598413203,1
1598413204,1
1598413205,1
1598413206,0
1598413207,2
1598413208,2
1598413209,2
1598413210,2
1598413211,2
1598413212,1
1598413213,1
1598413214,1
1598413215,1
1598413216,0
1598413217,1
1598413218,1
1598413219,0
1598413220,0
1598413221,0
1598413222,0
1598413223,0
1598413224,2
1598413225,2
1598413226,2
1598413227,2
1598413228,2
1598413229,2
1598413230,2
1598413231,1
1598413232,2
1598413233,2
1598413234,2
1598413235,0
1598413236,2
1598413237,2
1598413238,2
1598413239,2
1598413240,2
1598413241,2
1598413242,2
1598413243,2
1598413244,2
1598413245,2
1598413246,1
1598413247,1
1598413248,1
1598413249,1
1598413250,1
1598413251,1
1598413252,1
1598413253,1
1598413254,1
1598413255,1
1598413256,1
1598413257,1
1598413258,1
1598413259,1
1598413260,1
1598413261,1
1598413262,1
1598413263,1
1598413264,1
1598413265,1
1598413266,1
1598413267,2
1598413268,2
1598413269,2
1598413270,2
1598413271,1
1598413272,1
1598413273,1
1598413274,0
1598413275,1
1598413276,1
1598413277,0
1598413278,0
1598413279,0
1598413280,0
1598413281,2
1598413282,2
1598413283,2
1598413284,2
1598413285,2
1598413286,2
1598413287,2
1598413288,2
1598413289,2
1598413290,2
1598413291,2
1598413292,2
1598413293,2
1598413294,2
1598413295,2
1598413296,2
1598413297,2
1598413298,2
1598413299,2
1598413300,2
1598413301,2
1598413302,2
1598413303,1
1598413304,1
1598413305,1
1598413306,1
1598413307,1
1598413308,1
1598413309,1
1598413310,1
1598413311,1
1598413312,1
1598413313,1
1598413314,1
1598413315,1
1598413316,1
1598413317,1
1598413318,1
1598413319,1
1598413320,1
1598413321,1
1598413322,1
1598413323,2
1598413324,2
1598413325,2
1598413326,2
1598413327,2
1598413328,1
1598413329,1
1598413330,1
1598413331,0
1598413332,1
1598413333,1
1598413334,0
1598413335,0
1598413336,0
1598413337,0
1598413338,2
1598413339,2
1598413340,2
1598413341,2
1598413342,2
1598413343,2
1598413344,2
1598413345,2
1598413346,2
1598413347,2
1598413348,2
1598413349,2
1598413350,2
1598413351,2
1598413352,2
1598413353,2
1598413354,2
1598413355,2
1598413356,2
1598413357,2
1598413358,2
1598413359,1
1598413360,1
1598413361,1
1598413362,1
1598413363,1
1598413364,1
1598413365,1
1598413366,0
1598413367,1
1598413368,1
1598413369,1
1598413370,1
1598413371,1
1598413372,1
1598413373,1
1598413374,1
1598413375,1
1598413376,1
1598413377,1
1598413378,1
1598413379,0
1598413380,2
1598413381,2
1598413382,2
1598413383,1
1598413384,1
1598413385,1
1598413386,0
1598413387,1
1598413388,1
1598413389,0
1598413390,0
1598413391,0
1598413392,0
1598413393,2
1598413394,2
1598413395,2
1598413396,2
1598413397,2
1598413398,2
1598413399,2
1598413400,2
1598413401,2
1598413402,2
1598413403,2
1598413404,2
1598413405,2
1598413406,2
1598413407,2
1598413408,2
1598413409,2
1598413410,2
1598413411,2
1598413412,2
1598413413,1
1598413414,1
1598413415,1
1598413416,1
1598413417,1
1598413418,1
1598413419,1
1598413420,1
1598413421,1
1598413422,1
1598413423,1
1598413424,1
1598413425,1
1598413426,1
1598413427,1
1598413428,1
1598413429,1
1598413430,1
1598413431,1
1598413432,1
1598413433,1
1598413434,2
1598413435,2
1598413436,2
1598413437,2
1598413438,1
1598413439,1
1598413440,1
1598413441,0
1598413442,1
1598413443,1
1598413444,0
1598413445,0
1598413446,0
1598413447,0
1598413448,2
1598413449,2
1598413450,2
1598413451,2
1598413452,2
1598413453,2
1598413454,2
1598413455,2
1598413456,2
1598413457,2
1598413458,2
1598413459,2
1598413460,2
1598413461,2
1598413462,2
1598413463,2
1598413464,2
1598413465,2
1598413466,2
1598413467,2
1598413468,1
1598413469,1
1598413470,1
1598413471,1
1598413472,1
1598413473,1
1598413474,0
1598413475,1
1598413476,0
1598413477,1
1598413478,1
1598413479,1
1598413480,1
1598413481,1
1598413482,1
1598413483,1
1598413484,1
1598413485,1
1598413486,1
1598413487,1
1598413488,1
1598413489,2
1598413490,2
1598413491,2
1598413492,2
1598413493,1
1598413494,1
1598413495,1
1598413496,0
1598413497,1
1598413498,1
1598413499,0
1598413500,0
1598413501,0
1598413502,0
1598413503,2
1598413504,2
1598413505,2
1598413506,2
1598413507,2
1598413508,2
1598413509,2
1598413510,2
1598413511,2
1598413512,2
1598413513,2
1598413514,2
1598413515,2
1598413516,2
1598413517,2
1598413518,2
1598413519,2
1598413520,2
1598413521,2
1598413522,2
1598413523,2
1598413524,1
1598413525,1
1598413526,1
1598413527,1
1598413528,1
1598413529,1
1598413530,1
1598413531,1
1598413532,1
1598413533,1
1598413534,1
1598413535,1
1598413536,1
1598413537,1
1598413538,1
1598413539,1
1598413540,1
1598413541,1
1598413542,1
1598413543,1
1598413544,0
1598413545,2
1598413546,2
1598413547,2
1598413548,2
1598413549,1
1598413550,1
1598413551,1
1598413552,0
1598413553,1
1598413554,1
1598413555,0
1598413556,0
1598413557,0
1598413558,2
1598413559,2
1598413560,2
1598413561,2
1598413562,2
1598413563,2
1598413564,2
1598413565,2
1598413566,2
1598413567,2
1598413568,2
1598413569,2
1598413570,2
1598413571,2
1598413572,2
1598413573,2
1598413574,2
1598413575,2
1598413576,2
1598413577,2
1598413578,2
1598413579,2
1598413580,1
1598413581,1
1598413582,1
1598413583,1
1598413584,1
1598413585,1
1598413586,1
1598413587,1
1598413588,1
1598413589,1
1598413590,1
1598413591,1
1598413592,1
1598413593,1
1598413594,1
1598413595,1
1598413596,1
1598413597,1
1598413598,1
1598413599,0
1598413600,2
1598413601,2
1598413602,2
1598413603,2
1598413604,1
1598413605,1
1598413606,1
1598413607,0
1598413608,1
1598413609,1
1598413610,0
1598413611,0
1598413612,0
1598413613,2
1598413614,2
1598413615,2
1598413616,2
1598413617,2
1598413618,2
1598413619,2
1598413620,1
1598413621,2
1598413622,2
1598413623,2
1598413624,2
1598413625,2
1598413626,2
1598413627,2
1598413628,2
1598413629,2
1598413630,2
1598413631,2
1598413632,2
1598413633,2
1598413634,2
1598413635,1
1598413636,1
1598413637,1
1598413638,1
1598413639,1
1598413640,1
1598413641,1
1598413642,1
1598413643,1
1598413644,1
1598413645,1
1598413646,1
1598413647,1
1598413648,1
1598413649,0
1598413650,1
1598413651,1
1598413652,1
1598413653,1
1598413654,1
1598413655,2
1598413656,2
1598413657,2
1598413658,2
1598413659,1
1598413660,1
1598413661,1
1598413662,0
1598413663,1
1598413664,1
1598413665,0
1598413666,0
1598413667,0
1598413668,0
1598413669,0
1598413670,2
1598413671,2
1598413672,2
1598413673,2
1598413674,2
1598413675,2
1598413676,2
1598413677,2
1598413678,2
1598413679,2
1598413680,2
1598413681,2
1598413682,2
1598413683,2
1598413684,2
1598413685,2
1598413686,2
1598413687,2
1598413688,2
1598413689,2
1598413690,1
1598413691,1
1598413692,1
1598413693,1
1598413694,1
1598413695,1
1598413696,1
1598413697,0
1598413698,1
1598413699,1
1598413700,0
1598413701,1
1598413702,1
1598413703,1
1598413704,1
1598413705,1
1598413706,1
1598413707,1
1598413708,1
1598413709,1
1598413710,0
1598413711,2
1598413712,2
1598413713,2
1598413714,2
1598413715,1
1598413716,1
1598413717,1
1598413718,0
1598413719,1
1598413720,1
1598413721,0
1598413722,0
1598413723,0
1598413724,0
1598413725,0
1598413725,0
