t,count
1598413134,3
1598413135,3
1598413136,25
1598413137,25
1598413138,28
1598413139,31
1598413140,33
1598413141,37
1598413142,38
1598413143,39
1598413144,44
1598413145,49
1598413146,50
1598413147,51
1598413148,58
1598413149,85
1598413150,85
1598413151,86
1598413152,88
1598413153,92
1598413154,98
1598413155,99
1598413156,104
1598413157,108
1598413158,112
1598413159,119
1598413160,124
1598413161,125
1598413162,126
1598413163,131
1598413164,135
1598413165,142
1598413166,149
1598413167,393
1598413168,432
1598413169,433
1598413170,433
1598413171,443
1598413172,454
1598413173,677
1598413174,711
1598413175,712
1598413176,715
1598413177,716
1598413178,718
1598413179,725
1598413180,736
1598413181,745
1598413182,746
1598413183,746
1598413184,750
1598413185,786
1598413186,853
1598413187,906
1598413188,970
1598413189,1038
1598413190,1072
1598413191,1202
1598413192,1331
1598413193,1446
1598413194,1642
1598413195,1837
1598413196,2043
1598413197,2212
1598413198,2411
1598413199,2688
1598413200,2855
1598413201,3071
1598413202,3251
1598413203,3406
1598413204,3633
1598413205,3826
1598413206,4006
1598413207,4143
1598413208,4145
1598413209,4146
1598413210,4147
1598413211,4160
1598413212,4201
1598413213,4237
1598413214,4312
1598413215,4380
1598413216,4563
1598413217,4695
1598413218,4804
1598413219,4909
1598413220,5068
1598413221,5246
1598413222,5486
1598413223,5595
1598413224,5737
1598413225,5738
1598413226,5741
1598413227,5752
1598413228,5765
1598413229,5770
1598413230,5773
1598413231,5886
1598413232,6043
1598413233,6043
1598413234,6053
1598413235,6287
1598413236,6323
1598413237,6324
1598413238,6326
1598413239,6327
1598413240,6327
1598413241,6339
1598413242,6353
1598413243,6354
1598413244,6355
1598413245,6356
1598413246,6397
1598413247,6442
1598413248,6506
1598413249,6578
1598413250,6636
1598413251,6681
1598413252,6894
1598413253,7033
1598413254,7266
1598413255,7459
1598413256,7554
1598413257,7688
1598413258,7848
1598413259,8084
1598413260,8289
1598413261,8485
1598413262,8658
1598413263,9035
1598413264,9244
1598413265,9434
1598413266,9615
1598413267,9708
1598413268,9710
1598413269,9711
1598413270,9721
1598413271,9765
1598413272,9846
1598413273,9924
1598413274,10078
1598413275,10248
1598413276,10368
1598413277,10645
1598413278,10806
1598413279,11013
1598413280,11234
1598413281,11300
1598413282,11301
1598413283,11301
1598413284,11306
1598413285,11319
1598413286,11331
1598413287,11333
1598413288,11338
1598413289,11606
1598413290,11606
1598413291,11619
1598413292,11627
1598413293,11991
1598413294,11992
1598413295,11993
1598413296,11996
1598413297,11997
1598413298,12010
1598413299,12020
1598413300,12025
1598413301,12026
1598413302,12027
1598413303,12065
1598413304,12105
1598413305,12163
1598413306,12222
1598413307,12281
1598413308,12339
1598413309,12497
1598413310,12616
1598413311,12813
1598413312,13022
1598413313,13161
1598413314,13504
1598413315,13703
1598413316,13902
1598413317,14078
1598413318,14310
1598413319,14498
1598413320,14704
1598413321,14881
1598413322,15215
1598413323,15381
1598413324,15382
1598413325,15383
1598413326,15387
1598413327,15404
1598413328,15482
1598413329,15543
1598413330,15613
1598413331,15809
1598413332,15951
1598413333,16051
1598413334,16221
1598413335,16391
1598413336,16613
1598413337,16905
1598413338,16969
1598413339,16970
1598413340,16970
1598413341,16981
1598413342,16996
1598413343,16997
1598413344,17000
1598413345,17270
1598413346,17273
1598413347,17274
1598413348,17293
1598413349,17640
1598413350,17640
1598413351,17641
1598413352,17642
1598413353,17642
1598413354,17658
1598413355,17668
1598413356,17672
1598413357,17673
1598413358,17676
1598413359,17715
1598413360,17765
1598413361,17822
1598413362,17882
1598413363,17945
1598413364,17998
1598413365,18185
1598413366,18315
1598413367,18511
1598413368,18723
1598413369,18901
1598413370,19071
1598413371,19390
1598413372,19576
1598413373,19722
1598413374,19941
1598413375,20125
1598413376,20268
1598413377,20508
1598413378,20711
1598413379,20984
1598413380,21017
1598413381,21018
1598413382,21019
1598413383,21072
1598413384,21121
1598413385,21202
1598413386,21320
1598413387,21506
1598413388,21646
1598413389,21802
1598413390,21989
1598413391,22242
1598413392,22507
1598413393,22598
1598413394,22599
1598413395,22600
1598413396,22615
1598413397,22623
1598413398,22631
1598413399,22636
1598413400,22903
1598413401,22904
1598413402,22914
1598413403,23257
1598413404,23258
1598413405,23259
1598413406,23262
1598413407,23263
1598413408,23273
1598413409,23287
1598413410,23291
1598413411,23292
1598413412,23294
1598413413,23301
1598413414,23358
1598413415,23429
1598413416,23497
1598413417,23554
1598413418,23598
1598413419,23710
1598413420,23880
1598413421,24084
1598413422,24289
1598413423,24429
1598413424,24743
1598413425,24918
1598413426,25063
1598413427,25307
1598413428,25499
1598413429,25691
1598413430,25866
1598413431,26193
1598413432,26400
1598413433,26522
1598413434,26615
1598413435,26616
1598413436,26619
1598413437,26637
1598413438,26675
1598413439,26744
1598413440,26814
1598413441,26922
1598413442,27183
1598413443,27311
1598413444,27465
1598413445,27643
1598413446,27833
1598413447,28104
1598413448,28191
1598413449,28192
1598413450,28192
1598413451,28203
1598413452,28214
1598413453,28218
1598413454,28224
1598413455,28576
1598413456,28579
1598413457,28592
1598413458,28857
1598413459,28858
1598413460,28858
1598413461,28859
1598413462,28860
1598413463,28870
1598413464,28880
1598413465,28887
1598413466,28890
1598413467,28893
1598413468,28931
1598413469,28985
1598413470,29043
1598413471,29104
1598413472,29156
1598413473,29198
1598413474,29241
1598413475,29500
1598413476,29602
1598413477,29808
1598413478,30023
1598413479,30226
1598413480,30364
1598413481,30603
1598413482,30905
1598413483,31095
1598413484,31271
1598413485,31500
1598413486,31696
1598413487,31910
1598413488,32075
1598413489,32281
1598413490,32281
1598413491,32282
1598413492,32294
1598413493,32336
