t,value
1598413132,8191360
1598413133,8285248
1598413134,9532544
1598413135,10339456
1598413136,12864064
1598413137,13452416
1598413138,13673344
1598413139,13832512
1598413140,14286528
1598413141,16920320
1598413142,17114304
1598413143,17194304
1598413144,17525824
1598413145,19378560
1598413146,18548736
1598413147,18607104
1598413148,20363648
1598413149,21687040
1598413150,21792640
1598413151,21869120
1598413152,21962624
1598413153,22094016
1598413154,22272896
1598413155,22342080
1598413156,22453440
1598413157,22595712
1598413158,22757888
1598413159,22923776
1598413160,23033728
1598413161,23077824
1598413162,22760768
1598413163,22954496
1598413164,23242368
1598413165,23487744
1598413166,23729792
1598413167,25008000
1598413168,24873152
1598413169,24920064
1598413170,24987136
1598413171,25237952
1598413172,25431424
1598413173,27928640
1598413174,28480512
1598413175,28542592
1598413176,28639616
1598413177,28685120
1598413178,28817216
1598413179,28966400
1598413180,28626624
1598413181,28555648
1598413182,28589248
1598413183,28662208
1598413184,28628864
1598413185,28989888
1598413186,29576000
1598413187,30267072
1598413188,30462912
1598413189,30665664
1598413190,30904960
1598413191,30249664
1598413192,30709312
1598413193,31089920
1598413194,32012608
1598413195,32729536
1598413196,33172992
1598413197,33494720
1598413198,33865088
1598413199,34563072
1598413200,34727296
1598413201,34899520
1598413202,34742400
1598413203,34898944
1598413204,35351360
1598413205,35617088
1598413206,35758592
1598413207,37596608
1598413208,37609792
1598413209,37610496
1598413210,37611264
1598413211,37619456
1598413212,37172224
1598413213,37175296
1598413214,37151936
1598413215,37152192
1598413216,37149632
1598413217,37446720
1598413218,37505088
1598413219,37638464
1598413220,37883968
1598413221,37915520
1598413222,38495168
1598413223,40241536
1598413224,40705984
1598413225,40710080
1598413226,40724800
1598413227,40784192
1598413228,40817920
1598413229,40817920
1598413230,40823680
1598413231,40846976
1598413232,41196544
1598413233,41199488
1598413234,41228544
1598413235,41618432
1598413236,40663168
1598413237,40667712
1598413238,40669504
1598413239,40669504
1598413240,40669504
1598413241,40674304
1598413242,40679104
1598413243,40679104
1598413244,40681536
1598413245,40681536
1598413246,40684736
1598413247,40720000
1598413248,40761472
1598413249,40803648
1598413250,40817344
1598413251,40786880
1598413252,40767808
1598413253,40857664
1598413254,41037248
1598413255,41167616
1598413256,41217088
1598413257,41358336
1598413258,41415296
1598413259,41459520
1598413260,41640320
1598413261,41770304
1598413262,41800704
1598413263,42040064
1598413264,42246976
1598413265,42346880
1598413266,42360448
1598413267,43911936
1598413268,43923904
1598413269,43923904
1598413270,43923904
1598413271,43786624
1598413272,43787520
1598413273,43790400
1598413274,43905792
1598413275,43999232
1598413276,44006272
1598413277,44236544
1598413278,44271680
1598413279,44142592
1598413280,45260800
1598413281,45913024
1598413282,45913024
1598413283,45906816
1598413284,45901376
1598413285,45902080
1598413286,45902080
1598413287,45882112
1598413288,45882112
1598413289,45888128
1598413290,45888128
1598413291,45893056
1598413292,45882368
1598413293,46274880
1598413294,46274880
1598413295,46274880
1598413296,46286528
1598413297,46286528
1598413298,46300288
1598413299,46300288
1598413300,46300288
1598413301,46300928
1598413302,46300928
1598413303,46332736
1598413304,46337280
1598413305,46338304
1598413306,46347200
1598413307,46347200
1598413308,46370112
1598413309,46443200
1598413310,46444224
1598413311,46487808
1598413312,46510144
1598413313,46539200
1598413314,46521984
1598413315,46559808
1598413316,46582400
1598413317,46594496
1598413318,46544640
1598413319,46724928
1598413320,46884288
1598413321,47027136
1598413322,47298368
1598413323,47803392
1598413324,47803392
1598413325,47803392
1598413326,47719936
1598413327,47721216
1598413328,47705344
1598413329,47723392
1598413330,47729664
1598413331,47794048
1598413332,47831488
1598413333,47831488
1598413334,47855488
1598413335,47937088
1598413336,48029376
1598413337,48412224
1598413338,48965056
1598413339,48965056
1598413340,48965056
1598413341,48960576
1598413342,48967040
1598413343,48967040
1598413344,48967424
1598413345,48933504
1598413346,48933504
1598413347,48933504
1598413348,48933504
1598413349,48351616
1598413350,48351616
1598413351,48351616
1598413352,48353984
1598413353,48353984
1598413354,48360320
1598413355,48360320
1598413356,48360320
1598413357,48360320
1598413358,48360320
1598413359,48399872
1598413360,48400896
1598413361,48400896
1598413362,48438016
1598413363,48549184
1598413364,48556928
1598413365,48618240
1598413366,48622016
1598413367,48628416
1598413368,48604224
1598413369,48684544
1598413370,48686208
1598413371,48715392
1598413372,48770944
1598413373,48785088
1598413374,48747968
1598413375,48692992
1598413376,48701952
1598413377,48708288
1598413378,48856256
1598413379,49306752
1598413380,49333312
1598413381,49333312
1598413382,49333312
1598413383,49333312
1598413384,49330624
1598413385,49330624
1598413386,49339968
1598413387,49375552
1598413388,49390336
1598413389,49413632
1598413390,49441664
1598413391,49555648
1598413392,49620352
1598413393,49842560
1598413394,49840512
1598413395,49840512
1598413396,49843264
1598413397,49843264
1598413398,49843264
1598413399,49843264
1598413400,49958208
1598413401,49958720
1598413402,49958720
1598413403,50068032
1598413404,50075136
1598413405,50089216
1598413406,50089216
1598413407,50089216
1598413408,50142848
1598413409,50142848
1598413410,50144000
1598413411,50144000
1598413412,50144000
1598413413,50144000
1598413414,50176896
1598413415,50176896
1598413416,50176896
1598413417,50180288
1598413418,50180288
1598413419,50214016
1598413420,50214784
1598413421,50249664
1598413422,50289472
1598413423,50289472
1598413424,50372224
1598413425,50351808
1598413426,50351808
1598413427,50386816
1598413428,50489152
1598413429,50544256
1598413430,50550400
1598413431,50596480
1598413432,50612672
1598413433,50612672
1598413434,51082752
1598413435,51082752
1598413436,51082752
1598413437,51082752
1598413438,51087936
1598413439,51088640
1598413440,51088640
1598413441,51056064
1598413442,51088896
1598413443,51091136
1598413444,51092928
1598413445,51092928
1598413446,51107200
1598413447,51110784
1598413448,51728064
1598413449,51728064
1598413450,51728064
1598413451,51728640
1598413452,51728640
1598413453,51728640
1598413454,51728640
1598413455,51704960
1598413456,51704960
1598413457,51704960
1598413458,51916992
1598413459,51916992
1598413460,51916992
1598413461,51918784
1598413462,51917696
1598413463,51927296
1598413464,51927296
1598413465,51927296
1598413466,51927296
1598413467,51927296
1598413468,51928832
1598413469,51930240
1598413470,51930240
1598413471,51928000
1598413472,51928000
1598413473,51909056
1598413474,51909056
1598413475,51892224
1598413476,51899968
1598413477,51909568
1598413478,51913984
1598413479,51931584
1598413480,51932224
1598413481,51960192
1598413482,51973952
1598413483,52014336
1598413484,52028544
1598413485,52022528
1598413486,51944256
1598413487,51822848
1598413488,51830080
1598413489,52340864
1598413490,52340864
1598413491,52344384
1598413492,52344384
1598413493,52333312
1598413494,52333312
1598413495,52333568
1598413496,52333952
1598413497,52381824
1598413498,52381824
1598413499,52385280
1598413500,52425088
1598413501,52451136
1598413502,52546560
1598413503,52720000
1598413504,52720000
1598413505,52720000
1598413506,52720000
1598413507,52720000
1598413508,52724928
1598413509,52723136
1598413510,52939712
1598413511,52939712
1598413512,52941184
1598413513,52941184
1598413514,53018112
1598413515,53036096
1598413516,53059648
1598413517,53076544
1598413518,53156544
1598413519,53156544
1598413520,53156544
1598413521,53156544
1598413522,53156544
1598413523,53156544
1598413524,53156544
1598413525,53156544
1598413526,53156544
1598413527,53156544
1598413528,53158080
1598413529,53171200
1598413530,53210240
1598413531,53130176
1598413532,53140032
1598413533,53140032
1598413534,53144000
1598413535,53172928
1598413536,53172928
1598413537,53248640
1598413538,53236160
1598413539,53234048
1598413540,53259584
1598413541,53270080
1598413542,53272384
1598413543,53319552
1598413544,53319552
1598413545,53814016
1598413546,53814016
1598413547,53815296
1598413548,53815296
1598413549,53816576
