t,value
1598413132,45638936
1598413133,50830688
1598413134,57062168
1598413135,65759520
1598413136,73383720
1598413137,73489048
1598413138,73710016
1598413139,74584496
1598413140,87600816
1598413141,91618912
1598413142,91676224
1598413143,91924888
1598413144,93881528
1598413145,97355824
1598413146,97384056
1598413147,97454784
1598413148,101559616
1598413149,104384360
1598413150,104394152
1598413151,104487496
1598413152,104500424
1598413153,104534912
1598413154,104580472
1598413155,104592120
1598413156,104612184
1598413157,104638080
1598413158,104680680
1598413159,104739160
1598413160,104764328
1598413161,104786776
1598413162,104789856
1598413163,104865032
1598413164,104899328
1598413165,104970192
1598413166,105008368
1598413167,105751728
1598413168,105810344
1598413169,105816136
1598413170,105825728
1598413171,105860104
1598413172,105888944
1598413173,107961984
1598413174,108366328
1598413175,108367896
1598413176,108370872
1598413177,108371176
1598413178,108375896
1598413179,108384240
1598413180,108391944
1598413181,108392520
1598413182,108398128
1598413183,108399624
1598413184,108404600
1598413185,108601040
1598413186,108780296
1598413187,108873976
1598413188,108902648
1598413189,108915144
1598413190,108947440
1598413191,116637448
1598413192,116680800
1598413193,116843552
1598413194,117375872
1598413195,117471104
1598413196,117510544
1598413197,117521192
1598413198,117543488
1598413199,117630416
1598413200,117635248
1598413201,117664536
1598413202,117685848
1598413203,117690752
1598413204,117723912
1598413205,117748816
1598413206,117974456
1598413207,119506184
1598413208,119506184
1598413209,119506184
1598413210,119506184
1598413211,119506184
1598413212,119530336
1598413213,119530336
1598413214,119530336
1598413215,119530336
1598413216,119533352
1598413217,119613544
1598413218,119618528
1598413219,119631864
1598413220,119689248
1598413221,119690680
1598413222,119834976
1598413223,120328968
1598413224,120426904
1598413225,120427200
1598413226,120427200
1598413227,120428416
1598413228,120428416
1598413229,120428416
1598413230,120428416
1598413231,120429752
1598413232,120495560
1598413233,120495560
1598413234,120499768
1598413235,120568088
1598413236,120589112
1598413237,120589112
1598413238,120589112
1598413239,120589112
1598413240,120589112
1598413241,120589112
1598413242,120589112
1598413243,120589112
1598413244,120589112
1598413245,120589112
1598413246,120589112
1598413247,120589112
1598413248,120601016
1598413249,120612960
1598413250,120614176
1598413251,120625848
1598413252,120719016
1598413253,120728008
1598413254,120747696
1598413255,120775288
1598413256,120775288
1598413257,120794776
1598413258,120794776
1598413259,120801776
1598413260,120825192
1598413261,120835464
1598413262,120835464
1598413263,120868104
1598413264,120888712
1598413265,120898744
1598413266,120898744
1598413267,121104712
1598413268,121105344
1598413269,121105344
1598413270,121105344
1598413271,121105344
1598413272,121105344
1598413273,121105344
1598413274,121118488
1598413275,121120408
1598413276,121120408
1598413277,121136656
1598413278,121137656
1598413279,121147624
1598413280,121307296
1598413281,121539360
1598413282,121539360
1598413283,121539360
1598413284,121539360
1598413285,121539360
1598413286,121539360
1598413287,121539360
1598413288,121539360
1598413289,121553880
1598413290,121553880
1598413291,121553880
1598413292,121553880
1598413293,121615824
1598413294,121615824
1598413295,121615824
1598413296,121615824
1598413297,121615824
1598413298,121618120
1598413299,121618120
1598413300,121618120
1598413301,121618120
1598413302,121618120
1598413303,121618120
1598413304,121619400
1598413305,121619400
1598413306,121620384
1598413307,121620384
1598413308,121624104
1598413309,121636896
1598413310,121636896
1598413311,121639000
1598413312,121642432
1598413313,121642744
1598413314,121677440
1598413315,121681672
1598413316,121683312
1598413317,121686376
1598413318,121696224
1598413319,121701976
1598413320,121717720
1598413321,121717720
1598413322,121725224
1598413323,121852344
1598413324,121852344
1598413325,121852344
1598413326,121852344
1598413327,121852344
1598413328,121854408
1598413329,121854408
1598413330,121855856
1598413331,121860952
1598413332,121864968
1598413333,121864968
1598413334,121864968
1598413335,121866800
1598413336,121879472
1598413337,121976512
1598413338,122037560
1598413339,122037560
1598413340,122037560
1598413341,122037560
1598413342,122037560
1598413343,122037560
1598413344,122037560
1598413345,122068728
1598413346,122068728
1598413347,122068728
1598413348,122068728
1598413349,122091664
1598413350,122091664
1598413351,122091664
1598413352,122092928
1598413353,122092928
1598413354,122093304
1598413355,122093304
1598413356,122093304
1598413357,122093304
1598413358,122093304
1598413359,122096976
1598413360,122096976
1598413361,122096976
1598413362,122097424
1598413363,122097424
1598413364,122098384
1598413365,122117600
1598413366,122119328
1598413367,122120080
1598413368,122123720
1598413369,122127200
1598413370,122127200
1598413371,122130840
1598413372,122134760
1598413373,122134760
1598413374,122137168
1598413375,122148568
1598413376,122148568
1598413377,122148568
1598413378,122158568
1598413379,122269112
1598413380,122271752
1598413381,122271752
1598413382,122271752
1598413383,122271752
1598413384,122271752
1598413385,122271752
1598413386,122275672
1598413387,122286304
1598413388,122289144
1598413389,122305888
1598413390,122309528
1598413391,122318192
1598413392,122329704
1598413393,122411472
1598413394,122411848
1598413395,122411848
1598413396,122411848
1598413397,122411848
1598413398,122411848
1598413399,122411848
1598413400,122431400
1598413401,122431400
1598413402,122431400
1598413403,122456840
1598413404,122458040
1598413405,122463752
1598413406,122463752
1598413407,122463752
1598413408,122464808
1598413409,122464808
1598413410,122464808
1598413411,122464808
1598413412,122464808
1598413413,122464808
1598413414,122464808
1598413415,122464808
1598413416,122464808
1598413417,122464808
1598413418,122464808
1598413419,122468712
1598413420,122468712
1598413421,122473056
1598413422,122478272
1598413423,122478272
1598413424,122479776
1598413425,122485864
1598413426,122485864
1598413427,122497504
1598413428,122511472
1598413429,122531568
1598413430,122532320
1598413431,122548320
1598413432,122550288
1598413433,122550288
1598413434,122607256
1598413435,122607256
1598413436,122607256
1598413437,122607256
1598413438,122608592
1598413439,122608592
1598413440,122608592
1598413441,122632480
1598413442,122644200
1598413443,122644968
1598413444,122644968
1598413445,122644968
1598413446,122644968
1598413447,122644968
1598413448,122728760
1598413449,122728760
1598413450,122728760
1598413451,122728760
1598413452,122728760
1598413453,122728760
1598413454,122728760
1598413455,122743056
1598413456,122743056
1598413457,122743056
1598413458,122782352
1598413459,122782352
1598413460,122782352
1598413461,122783232
1598413462,122783232
1598413463,122785384
1598413464,122785384
1598413465,122785384
1598413466,122785384
1598413467,122785384
1598413468,122785832
1598413469,122785832
1598413470,122785832
1598413471,122786128
1598413472,122786128
1598413473,122786128
1598413474,122786128
1598413475,122789280
1598413476,122790032
1598413477,122790032
1598413478,122790032
1598413479,122791528
1598413480,122791528
1598413481,122796768
1598413482,122800008
1598413483,122803280
1598413484,122803280
1598413485,122805040
1598413486,122807848
1598413487,122812824
1598413488,122812824
1598413489,122907256
1598413490,122907256
1598413491,122909080
1598413492,122909080
1598413493,122912856
1598413494,122912856
1598413495,122913160
1598413496,122914256
1598413497,122919472
1598413498,122919472
1598413499,122919472
1598413500,122925032
1598413501,122925032
1598413502,122959336
1598413503,122983288
1598413504,122983288
1598413505,122983288
1598413506,122983288
1598413507,122983288
1598413508,122984208
1598413509,122984208
1598413510,123011816
1598413511,123011816
1598413512,123011816
1598413513,123011816
1598413514,123028232
1598413515,123030896
1598413516,123035904
1598413517,123035904
1598413518,123035904
1598413519,123035904
1598413520,123035904
1598413521,123035904
1598413522,123035904
1598413523,123035904
1598413524,123035904
1598413525,123035904
1598413526,123035904
1598413527,123035904
1598413528,123035904
1598413529,123039256
1598413530,123043408
1598413531,123045096
1598413532,123046872
1598413533,123046872
1598413534,123047552
1598413535,123052352
1598413536,123052352
1598413537,123069152
1598413538,123071872
1598413539,123071872
1598413540,123076256
1598413541,123077192
1598413542,123077192
1598413543,123083192
1598413544,123083192
1598413545,123158672
1598413546,123158672
1598413547,123158672
1598413548,123158672
1598413549,123158672
1598413550,123158672
1598413551,123158672
1598413552,123158672
1598413553,123159944
1598413554,123159944
1598413555,123159944
1598413556,123163272
1598413557,123164424
1598413558,123219448
1598413559,123219448
1598413560,123219448
