t,value
1598413132,351272960
1598413133,351272960
1598413134,351272960
1598413135,351272960
1598413136,351272960
1598413137,351272960
1598413138,351272960
1598413139,351272960
1598413140,351272960
1598413141,351272960
1598413142,351272960
1598413143,351272960
1598413144,351272960
1598413145,351272960
1598413146,351272960
1598413147,351272960
1598413148,351272960
1598413149,351272960
1598413150,351272960
1598413151,351272960
1598413152,351272960
1598413153,351272960
1598413154,351272960
1598413155,351272960
1598413156,351272960
1598413157,351272960
1598413158,351272960
1598413159,351272960
1598413160,351272960
1598413161,351272960
1598413162,351272960
1598413163,351272960
1598413164,351272960
1598413165,351272960
1598413166,351272960
1598413167,351272960
1598413168,351272960
1598413169,351272960
1598413170,351272960
1598413171,351272960
1598413172,351272960
1598413173,351272960
1598413174,351272960
1598413175,351272960
1598413176,351272960
1598413177,351272960
1598413178,351272960
1598413179,351272960
1598413180,351272960
1598413181,351272960
1598413182,351272960
1598413183,351272960
1598413184,351272960
1598413185,351272960
1598413186,351272960
1598413187,351272960
1598413188,351272960
1598413189,351272960
1598413190,351272960
1598413191,351272960
1598413192,351272960
1598413193,351272960
1598413194,351272960
1598413195,351272960
1598413196,351272960
1598413197,351272960
1598413198,351272960
1598413199,351272960
1598413200,351272960
1598413201,351272960
1598413202,351272960
1598413203,351272960
1598413204,351272960
1598413205,351272960
1598413206,351272960
1598413207,351272960
1598413208,351272960
1598413209,351272960
1598413210,351272960
1598413211,351272960
1598413212,351272960
1598413213,351272960
1598413214,351272960
1598413215,351272960
1598413216,351272960
1598413217,351272960
1598413218,351272960
1598413219,351272960
1598413220,351272960
1598413221,351272960
1598413222,351272960
1598413223,351272960
1598413224,351272960
1598413225,351272960
1598413226,351272960
1598413227,351272960
1598413228,351272960
1598413229,351272960
1598413230,351272960
1598413231,351272960
1598413232,351272960
1598413233,351272960
1598413234,351272960
1598413235,351272960
1598413236,351272960
1598413237,351272960
1598413238,351272960
1598413239,351272960
1598413240,351272960
1598413241,351272960
1598413242,351272960
1598413243,351272960
1598413244,351272960
1598413245,351272960
1598413246,351272960
1598413247,351272960
1598413248,351272960
1598413249,351272960
1598413250,351272960
1598413251,351272960
1598413252,351272960
1598413253,351272960
1598413254,351272960
1598413255,351272960
1598413256,351272960
1598413257,351272960
1598413258,351272960
1598413259,351272960
1598413260,351272960
1598413261,351272960
1598413262,351272960
1598413263,351272960
1598413264,351272960
1598413265,351272960
1598413266,351272960
1598413267,351272960
1598413268,351272960
1598413269,351272960
1598413270,351272960
1598413271,351272960
1598413272,351272960
1598413273,351272960
1598413274,351272960
1598413275,351272960
1598413276,351272960
1598413277,351272960
1598413278,351272960
1598413279,351272960
1598413280,351272960
1598413281,351272960
1598413282,351272960
1598413283,351272960
1598413284,351272960
1598413285,351272960
1598413286,351272960
1598413287,351272960
1598413288,351272960
1598413289,351272960
1598413290,351272960
1598413291,351272960
1598413292,351272960
1598413293,351272960
1598413294,351272960
1598413295,351272960
1598413296,351272960
1598413297,351272960
1598413298,351272960
1598413299,351272960
1598413300,351272960
1598413301,351272960
1598413302,351272960
1598413303,351272960
1598413304,351272960
1598413305,351272960
1598413306,351272960
1598413307,351272960
1598413308,351272960
1598413309,351272960
1598413310,351272960
1598413311,351272960
1598413312,351272960
1598413313,351272960
1598413314,351272960
1598413315,351272960
1598413316,351272960
1598413317,351272960
1598413318,351272960
1598413319,351272960
1598413320,351272960
1598413321,351272960
1598413322,351272960
1598413323,351272960
1598413324,351272960
1598413325,351272960
1598413326,351272960
1598413327,351272960
1598413328,351272960
1598413329,351272960
1598413330,351272960
1598413331,351272960
1598413332,351272960
1598413333,351272960
1598413334,351272960
1598413335,351272960
1598413336,351272960
1598413337,351272960
1598413338,351272960
1598413339,351272960
1598413340,351272960
1598413341,351272960
1598413342,351272960
1598413343,351272960
1598413344,351272960
1598413345,351272960
1598413346,351272960
1598413347,351272960
1598413348,351272960
1598413349,351272960
1598413350,351272960
1598413351,351272960
1598413352,351272960
1598413353,351272960
1598413354,351272960
1598413355,351272960
1598413356,351272960
1598413357,351272960
1598413358,351272960
1598413359,351272960
1598413360,351272960
1598413361,351272960
1598413362,351272960
1598413363,351272960
1598413364,351272960
1598413365,351272960
1598413366,351272960
1598413367,351272960
1598413368,351272960
1598413369,351272960
1598413370,351272960
1598413371,351272960
1598413372,351272960
1598413373,351272960
1598413374,351272960
1598413375,351272960
1598413376,351272960
1598413377,351272960
1598413378,351272960
1598413379,351272960
1598413380,351272960
1598413381,351272960
1598413382,351272960
1598413383,351272960
1598413384,351272960
1598413385,351272960
1598413386,351272960
1598413387,351272960
1598413388,351272960
1598413389,351272960
1598413390,351272960
1598413391,351272960
1598413392,351272960
1598413393,351272960
1598413394,351272960
1598413395,351272960
1598413396,351272960
1598413397,351272960
1598413398,351272960
1598413399,351272960
1598413400,351272960
1598413401,351272960
1598413402,351272960
1598413403,351272960
1598413404,351272960
1598413405,351272960
1598413406,351272960
1598413407,351272960
1598413408,351272960
1598413409,351272960
1598413410,351272960
1598413411,351272960
1598413412,351272960
1598413413,351272960
1598413414,351272960
1598413415,351272960
1598413416,351272960
1598413417,351272960
1598413418,351272960
1598413419,351272960
1598413420,351272960
1598413421,351272960
1598413422,351272960
1598413423,351272960
1598413424,351272960
1598413425,351272960
1598413426,351272960
1598413427,351272960
1598413428,351272960
1598413429,351272960
1598413430,351272960
1598413431,351272960
1598413432,351272960
1598413433,351272960
1598413434,351272960
1598413435,351272960
1598413436,351272960
1598413437,351272960
1598413438,351272960
1598413439,351272960
1598413440,351272960
1598413441,351272960
1598413442,351272960
1598413443,351272960
1598413444,351272960
1598413445,351272960
1598413446,351272960
1598413447,351272960
1598413448,351272960
1598413449,351272960
1598413450,351272960
1598413451,351272960
1598413452,351272960
1598413453,351272960
1598413454,351272960
1598413455,351272960
1598413456,351272960
1598413457,351272960
1598413458,351272960
1598413459,351272960
1598413460,351272960
1598413461,351272960
1598413462,351272960
1598413463,351272960
1598413464,351272960
1598413465,351272960
1598413466,351272960
1598413467,351272960
1598413468,351272960
1598413469,351272960
1598413470,351272960
1598413471,351272960
1598413472,351272960
1598413473,351272960
1598413474,351272960
1598413475,351272960
1598413476,351272960
1598413477,351272960
1598413478,351272960
1598413479,351272960
1598413480,351272960
1598413481,351272960
1598413482,351272960
1598413483,351272960
1598413484,351272960
1598413485,351272960
1598413486,351272960
1598413487,351272960
1598413488,351272960
1598413489,351272960
1598413490,351272960
1598413491,351272960
1598413492,351272960
1598413493,351272960
1598413494,351272960
1598413495,351272960
1598413496,351272960
1598413497,351272960
1598413498,351272960
1598413499,351272960
1598413500,351272960
1598413501,351272960
1598413502,351272960
1598413503,351272960
1598413504,351272960
1598413505,351272960
1598413506,351272960
1598413507,351272960
1598413508,351272960
1598413509,351272960
1598413510,351272960
1598413511,351272960
1598413512,351272960
1598413513,351272960
1598413514,351272960
1598413515,351272960
1598413516,351272960
1598413517,351272960
1598413518,351272960
1598413519,351272960
1598413520,351272960
1598413521,351272960
1598413522,351272960
1598413523,351272960
1598413524,351272960
1598413525,351272960
1598413526,351272960
1598413527,351272960
1598413528,351272960
1598413529,351272960
1598413530,351272960
1598413531,351272960
1598413532,351272960
1598413533,351272960
1598413534,351272960
1598413535,351272960
1598413536,351272960
1598413537,351272960
1598413538,351272960
1598413539,351272960
1598413540,351272960
1598413541,351272960
1598413542,351272960
1598413543,351272960
1598413544,351272960
1598413545,351272960
1598413546,351272960
1598413547,351272960
1598413548,351272960
1598413549,351272960
1598413550,351272960
1598413551,351272960
1598413552,351272960
1598413553,351272960
1598413554,351272960
1598413555,351272960
1598413556,351272960
1598413557,351272960
1598413558,351272960
1598413559,351272960
1598413560,351272960
1598413561,351272960
1598413562,351272960
1598413563,351272960
1598413564,351272960
1598413565,351272960
1598413566,351272960
1598413567,351272960
1598413568,351272960
1598413569,351272960
1598413570,351272960
1598413571,351272960
1598413572,351272960
1598413573,351272960
1598413574,351272960
1598413575,351272960
1598413576,351272960
1598413577,351272960
1598413578,351272960
1598413579,351272960
1598413580,351272960
1598413581,351272960
1598413582,351272960
1598413583,351272960
1598413584,351272960
1598413585,351272960
1598413586,351272960
1598413587,351272960
1598413588,351272960
1598413589,351272960
1598413590,351272960
1598413591,351272960
1598413592,351272960
1598413593,351272960
1598413594,351272960
1598413595,351272960
1598413596,351272960
1598413597,351272960
1598413598,351272960
1598413599,351272960
1598413600,351272960
1598413601,351272960
1598413602,351272960
1598413603,351272960
1598413604,351272960
1598413605,351272960
1598413606,351272960
1598413607,351272960
1598413608,351272960
1598413609,351272960
1598413610,351272960
1598413611,351272960
1598413612,351272960
1598413613,351272960
1598413614,351272960
1598413615,351272960
1598413616,351272960
1598413617,351272960
1598413618,351272960
1598413619,351272960
1598413620,351272960
1598413621,351272960
1598413622,351272960
1598413623,351272960
1598413624,351272960
1598413625,351272960
1598413626,351272960
1598413627,351272960
1598413628,351272960
1598413629,351272960
1598413630,351272960
1598413631,351272960
1598413632,351272960
1598413633,351272960
1598413634,351272960
1598413635,351272960
1598413636,351272960
1598413637,351272960
1598413638,351272960
1598413639,351272960
1598413640,351272960
1598413641,351272960
1598413642,351272960
1598413643,351272960
1598413644,351272960
1598413645,351272960
1598413646,351272960
1598413647,351272960
1598413648,351272960
1598413649,351272960
1598413650,351272960
1598413651,351272960
1598413652,351272960
1598413653,351272960
1598413654,351272960
1598413655,351272960
1598413656,351272960
1598413657,351272960
1598413658,351272960
1598413659,351272960
1598413660,351272960
1598413661,351272960
1598413662,351272960
1598413663,351272960
1598413664,351272960
1598413665,351272960
1598413666,351272960
1598413667,351272960
1598413668,351272960
