t,count
1598451372,0
1598451373,0
1598451374,0
1598451375,0
1598451376,0
1598451377,0
1598451378,0
1598451379,0
1598451380,0
1598451381,0
1598451382,0
1598451383,0
1598451384,0
1598451385,0
1598451386,0
1598451387,0
1598451388,0
1598451389,0
1598451390,0
1598451391,0
1598451392,0
1598451393,0
1598451394,0
1598451395,0
1598451396,0
1598451397,0
1598451398,0
1598451399,0
1598451400,0
1598451401,0
1598451402,0
1598451403,0
1598451404,0
1598451405,0
1598451408,0
1598451408,0
1598451408,0
1598451409,0
1598451410,0
1598451411,0
1598451415,0
1598451415,0
1598451415,0
1598451415,0
1598451416,0
1598451417,0
1598451418,0
1598451422,0
1598451422,0
1598451422,0
1598451422,0
1598451423,0
1598451424,0
1598451425,0
1598451426,0
1598451427,0
1598451428,0
1598451429,0
1598451430,0
1598451431,0
1598451432,0
1598451433,0
1598451434,0
1598451435,0
1598451436,0
1598451437,0
1598451438,0
1598451439,0
1598451440,0
1598451441,0
1598451442,0
1598451443,0
1598451444,0
1598451445,0
1598451446,0
1598451447,0
1598451448,18363632
1598451449,27545673
1598451450,27545673
1598451451,36138611
1598451452,47632349
1598451453,59127955
1598451454,59127955
1598451455,81532094
1598451456,115135051
1598451457,163371553
1598451458,179310489
1598451459,179310489
1598451460,179310489
1598451461,213301192
1598451462,278771601
1598451463,278771601
1598451464,278771601
1598451465,278771601
1598451466,335425347
1598451467,378231046
1598451468,378231046
1598451469,378231046
1598451470,400892372
1598451471,477688409
1598451472,477688409
1598451473,477688409
1598451474,477688409
1598451475,545667309
1598451476,577144267
1598451477,577144267
1598451478,577144267
1598451479,622464696
1598451480,676595908
1598451481,676595908
1598451482,676595908
1598451483,699256969
1598451484,764590121
1598451485,776043480
1598451486,776043480
1598451487,776043480
1598451488,832695516
1598451489,875488021
1598451490,875488021
1598451491,875488021
1598451492,898149239
1598451493,974925785
1598451494,974925785
1598451495,974925785
1598451496,974925785
1598451497,1042903603
1598451498,1074362733
1598451499,1074362733
1598451500,1074362733
1598451501,1119681682
1598451502,1173796559
1598451503,1173796559
1598451504,1173796559
1598451505,1196457188
1598451506,1261618748
1598451507,1272986669
1598451508,1272986669
1598451509,1272986669
1598451510,1329638477
1598451511,1371248135
1598451512,1371248135
1598451513,1371248135
1598451514,1416567883
1598451515,1469214650
1598451516,1469214650
1598451517,1469214650
1598451518,1491875745
1598451519,1555979412
1598451520,1566817809
1598451521,1566817809
1598451522,1566817809
1598451523,1623470049
1598451524,1663894295
1598451525,1663894295
1598451526,1663894295
1598451527,1709213905
1598451528,1760381036
1598451529,1760381036
1598451530,1760381036
1598451531,1783041913
1598451532,1855930909
1598451533,1855930909
1598451534,1855930909
1598451535,1878591765
1598451536,1940128124
1598451537,1949631663
1598451538,1949631663
1598451539,1949631663
1598451540,2017609223
1598451541,2041407091
1598451542,2041407091
1598451543,2041407091
1598451544,2086726373
1598451545,2130693238
1598451546,2130693238
1598451547,2130693238
1598451548,2176013004
1598451549,2217730859
1598451550,2217730859
1598451551,2217730859
1598451552,2263050431
1598451553,2303731637
1598451554,2303731637
1598451555,2303731637
1598451556,2349051648
1598451557,2389197945
1598451558,2389197945
1598451559,2389197945
1598451560,2434517968
1598451561,2474379969
1598451562,2474379969
1598451563,2474379969
1598451564,2542357750
1598451565,2558871421
1598451566,2558871421
1598451567,2558871421
1598451568,2626849276
1598451569,2642357453
1598451570,2642357453
1598451571,2653689525
1598451572,2719364290
1598451573,2725055949
1598451574,2725055949
1598451575,2747717026
1598451576,2806828766
1598451577,2806828766
1598451578,2806828766
1598451579,2829489831
1598451580,2887599812
1598451581,2887599812
1598451582,2887599812
1598451583,2932920074
1598451584,2967609061
1598451585,2967609061
1598451586,2967609061
1598451587,3012929047
1598451588,3046835725
1598451589,3046835725
1598451590,3046835725
1598451591,3124924148
1598451592,3124924148
1598451593,3124924148
1598451594,3147585131
1598451595,3201486346
1598451596,3201486346
1598451597,3201486346
1598451598,3235476369
1598451599,3277398723
1598451600,3277398723
1598451601,3277398723
1598451602,3334050727
1598451603,3352995714
1598451604,3352995714
1598451605,3364327775
1598451606,3428602990
1598451607,3428602990
1598451608,3428602990
1598451609,3462593143
1598451610,3504127889
1598451611,3504127889
1598451612,3504127889
1598451613,3549447996
1598451614,3579830370
1598451615,3579830370
1598451616,3591162291
1598451617,3655419261
1598451618,3655419261
1598451619,3655419261
1598451620,3689409470
1598451621,3730739564
1598451622,3730739564
1598451623,3730739564
1598451624,3787391661
1598451625,3806120854
1598451626,3806120854
1598451627,3828782081
1598451628,3881030398
1598451629,3881030398
1598451630,3881030398
1598451631,3926350333
1598451632,3956390566
1598451633,3956390566
1598451634,3956390566
1598451635,4024368155
1598451636,4031886161
1598451637,4031886161
1598451638,4054547363
1598451639,4107382224
1598451640,4107382224
1598451641,4107382224
1598451642,4152702059
1598451643,4182821596
1598451644,4182821596
1598451645,4182821596
1598451646,4239473486
1598451647,4258372278
1598451648,4258372278
1598451649,4269701348
1598451650,4334015185
1598451651,4334015185
1598451652,4334015185
1598451653,4368005395
1598451654,4409336643
1598451655,4409336643
1598451656,4409336643
1598451657,4477314590
1598451658,4484955473
1598451659,4484955473
1598451660,4507616476
1598451661,4560342282
1598451662,4560342282
1598451663,4560342282
1598451664,4605662283
1598451665,4635765316
1598451666,4635765316
1598451667,4635765316
1598451668,4711460735
1598451669,4711460735
1598451670,4711460735
1598451671,4734121877
1598451672,4787085911
1598451673,4787085911
1598451674,4787085911
1598451675,4809746824
1598451676,4862750624
1598451677,4862750624
1598451678,4862750624
1598451679,4908070445
1598451680,4938203760
1598451681,4938203760
1598451682,4938203760
1598451683,5013317869
1598451684,5013317869
1598451685,5013317869
1598451686,5035978991
