t,value
1598451372,0
1598451373,0
1598451374,0
1598451375,0
1598451376,0
1598451377,0
1598451378,0
1598451379,0
1598451380,0
1598451381,0
1598451382,0
1598451383,0
1598451384,0
1598451385,6
1598451386,6
1598451387,6
1598451388,6
1598451389,6
1598451390,6
1598451391,6
1598451392,6
1598451393,6
1598451394,6
1598451395,18
1598451396,18
1598451397,18
1598451398,18
1598451399,18
1598451400,18
1598451401,18
1598451402,18
1598451403,18
1598451404,18
1598451405,28
1598451408,28
1598451408,28
1598451408,28
1598451409,28
1598451410,28
1598451411,28
1598451414,28
1598451414,28
1598451414,28
1598451415,40
1598451416,40
1598451417,40
1598451420,40
1598451420,40
1598451420,40
1598451421,40
1598451422,40
1598451423,40
1598451424,40
1598451425,54
1598451426,54
1598451427,54
1598451428,54
1598451429,54
1598451430,54
1598451431,54
1598451432,54
1598451436,54
1598451436,67
1598451436,67
1598451436,67
1598451437,67
1598451438,67
1598451439,67
1598451440,67
1598451441,67
1598451442,67
1598451443,67
1598451444,67
1598451445,77
1598451446,77
1598451447,77
1598451448,77
1598451449,77
1598451450,77
1598451451,77
1598451452,77
1598451453,77
1598451454,77
1598451455,96
1598451456,96
1598451457,96
1598451458,96
1598451459,96
1598451460,96
1598451461,96
1598451462,96
1598451463,96
1598451464,96
1598451465,116
1598451466,116
1598451467,116
1598451468,116
1598451469,116
1598451470,116
1598451471,116
1598451472,116
1598451473,116
1598451474,116
1598451475,134
1598451476,134
1598451477,134
1598451478,134
1598451479,134
1598451480,134
1598451481,134
1598451482,134
1598451483,134
1598451484,134
1598451485,149
1598451486,149
1598451487,149
1598451488,149
1598451489,149
1598451490,149
1598451491,149
1598451492,149
1598451493,149
1598451494,149
1598451495,164
1598451496,164
1598451497,164
1598451498,164
1598451499,164
1598451500,164
1598451501,164
1598451502,164
1598451503,164
1598451504,164
1598451505,178
1598451506,178
1598451507,178
1598451508,178
1598451509,178
1598451510,178
1598451511,178
1598451512,178
1598451513,178
1598451514,178
1598451515,190
1598451516,190
1598451517,190
1598451518,190
1598451519,190
1598451520,190
1598451521,190
1598451522,190
1598451523,190
1598451524,190
1598451525,201
1598451526,201
1598451527,201
1598451528,201
1598451529,201
1598451530,201
1598451531,201
1598451532,201
1598451533,201
1598451534,201
1598451535,213
1598451536,213
1598451537,213
1598451538,213
1598451539,213
1598451540,213
1598451541,213
1598451542,213
1598451543,213
1598451544,213
1598451545,222
1598451546,222
1598451547,222
1598451548,222
1598451549,222
1598451550,222
1598451551,222
1598451552,222
1598451553,222
1598451554,222
1598451555,233
1598451556,233
1598451557,233
1598451558,233
1598451559,233
1598451560,233
1598451561,233
1598451562,233
1598451563,233
1598451564,233
1598451565,241
1598451566,241
1598451567,241
1598451568,241
1598451569,241
1598451570,241
1598451571,241
1598451572,241
1598451573,241
1598451574,241
1598451575,251
1598451576,251
1598451577,251
1598451578,251
1598451579,251
1598451580,251
1598451581,251
1598451582,251
1598451583,251
1598451584,251
1598451585,259
1598451586,259
1598451587,259
1598451588,259
1598451589,259
1598451590,259
1598451591,259
1598451592,259
1598451593,259
1598451594,259
1598451595,268
1598451596,268
1598451597,268
1598451598,268
1598451599,268
1598451600,268
1598451601,268
1598451602,268
1598451603,268
1598451604,268
1598451605,277
1598451606,277
1598451607,277
1598451608,277
1598451609,277
1598451610,277
1598451611,277
1598451612,277
1598451613,277
1598451614,277
1598451615,285
1598451616,285
1598451617,285
1598451618,285
1598451619,285
1598451620,285
1598451621,285
1598451622,285
1598451623,285
1598451624,285
1598451625,293
1598451626,293
1598451627,293
1598451628,293
1598451629,293
1598451630,293
1598451631,293
1598451632,293
1598451633,293
1598451634,293
1598451635,302
1598451636,302
1598451637,302
1598451638,302
1598451639,302
1598451640,302
1598451641,302
1598451642,302
1598451643,302
1598451644,302
1598451645,311
1598451646,311
1598451647,311
1598451648,311
1598451649,311
1598451650,311
1598451651,311
1598451652,311
1598451653,311
1598451654,311
1598451655,319
1598451656,319
1598451657,319
1598451658,319
1598451659,319
1598451660,319
1598451661,319
1598451662,319
1598451663,319
1598451664,319
1598451665,328
1598451666,328
1598451667,328
1598451668,328
1598451669,328
1598451670,328
1598451671,328
1598451672,328
1598451673,328
1598451674,328
1598451675,337
1598451676,337
1598451677,337
1598451678,337
1598451679,337
1598451680,337
1598451681,337
1598451682,337
1598451683,337
1598451684,337
1598451685,345
1598451686,345
1598451687,345
1598451688,345
1598451689,345
1598451690,345
1598451691,345
1598451692,345
1598451693,345
1598451694,345
1598451695,353
1598451696,353
1598451697,353
1598451698,353
1598451699,353
1598451700,353
1598451701,353
1598451702,353
1598451703,353
1598451704,353
1598451705,362
1598451706,362
1598451707,362
1598451708,362
1598451709,362
1598451710,362
1598451711,362
1598451712,362
1598451713,362
1598451714,362
1598451715,371
1598451716,371
1598451717,371
1598451718,371
1598451719,371
1598451720,371
1598451721,371
1598451722,371
1598451723,371
1598451724,371
1598451725,379
1598451726,379
1598451727,379
1598451728,379
1598451729,379
1598451730,379
1598451731,379
1598451732,379
1598451733,379
1598451734,379
1598451735,387
1598451736,387
1598451737,387
1598451738,387
1598451739,387
1598451740,387
1598451741,387
1598451742,387
1598451743,387
1598451744,387
1598451745,396
1598451746,396
1598451747,396
1598451748,396
1598451749,396
1598451750,396
1598451751,396
1598451752,396
1598451753,396
1598451754,396
1598451755,405
1598451756,405
1598451757,405
1598451758,405
1598451759,405
1598451760,405
1598451761,405
1598451762,405
1598451763,405
1598451764,405
1598451765,413
1598451766,413
1598451767,413
1598451768,413
1598451769,413
1598451770,413
1598451771,413
1598451772,413
1598451773,413
1598451774,413
1598451775,422
1598451776,422
1598451777,422
1598451778,422
1598451779,422
1598451780,422
1598451781,422
