t,value
1598451372,526385152
1598451373,526385152
1598451374,526385152
1598451375,526385152
1598451376,526385152
1598451377,526385152
1598451378,526385152
1598451379,526385152
1598451380,526385152
1598451381,526385152
1598451382,526385152
1598451383,526385152
1598451384,526385152
1598451385,526385152
1598451386,526385152
1598451387,526385152
1598451388,526385152
1598451389,526385152
1598451390,526385152
1598451391,526385152
1598451392,526385152
1598451393,526385152
1598451394,526385152
1598451395,526385152
1598451396,526385152
1598451397,526385152
1598451398,526385152
1598451399,526385152
1598451400,526385152
1598451401,526385152
1598451402,526385152
1598451403,526385152
1598451404,526385152
1598451405,526385152
1598451408,526385152
1598451408,526385152
1598451408,526385152
1598451409,526385152
1598451410,526385152
1598451411,526385152
1598451414,526385152
1598451414,526385152
1598451414,526385152
1598451415,526385152
1598451416,526385152
1598451417,526385152
1598451420,526385152
1598451420,526385152
1598451420,526385152
1598451421,526385152
1598451422,526385152
1598451423,526385152
1598451424,526385152
1598451425,526385152
1598451426,526385152
1598451427,526385152
1598451428,526385152
1598451429,526385152
1598451430,526385152
1598451431,526385152
1598451432,526385152
1598451436,526385152
1598451436,526385152
1598451436,526385152
1598451436,526385152
1598451437,526385152
1598451438,526385152
1598451439,526385152
1598451440,526385152
1598451441,526385152
1598451442,526385152
1598451443,526385152
1598451444,526385152
1598451445,526385152
1598451446,526385152
1598451447,526385152
1598451448,526385152
1598451449,526385152
1598451450,526385152
1598451451,526385152
1598451452,526385152
1598451453,526385152
1598451454,526385152
1598451455,526385152
1598451456,526385152
1598451457,526385152
1598451458,526385152
1598451459,526385152
1598451460,526385152
1598451461,526385152
1598451462,526385152
1598451463,526385152
1598451464,526385152
1598451465,526385152
1598451466,526385152
1598451467,526385152
1598451468,526385152
1598451469,526385152
1598451470,526385152
1598451471,526385152
1598451472,526385152
1598451473,526385152
1598451474,526385152
1598451475,526385152
1598451476,526385152
1598451477,526385152
1598451478,526385152
1598451479,526385152
1598451480,526385152
1598451481,526385152
1598451482,526385152
1598451483,526385152
1598451484,526385152
1598451485,526385152
1598451486,526385152
1598451487,526385152
1598451488,526385152
1598451489,526385152
1598451490,526385152
1598451491,526385152
1598451492,526385152
1598451493,526385152
1598451494,526385152
1598451495,526385152
1598451496,526385152
1598451497,526385152
1598451498,526385152
1598451499,526385152
1598451500,526385152
1598451501,526385152
1598451502,526385152
1598451503,526385152
1598451504,526385152
1598451505,526385152
1598451506,526385152
1598451507,526385152
1598451508,526385152
1598451509,526385152
1598451510,526385152
1598451511,526385152
1598451512,526385152
1598451513,526385152
1598451514,526385152
1598451515,526385152
1598451516,526385152
1598451517,526385152
1598451518,526385152
1598451519,526385152
1598451520,526385152
1598451521,526385152
1598451522,526385152
1598451523,526385152
1598451524,526385152
1598451525,526385152
1598451526,526385152
1598451527,526385152
1598451528,526385152
1598451529,526385152
1598451530,526385152
1598451531,526385152
1598451532,526385152
1598451533,526385152
1598451534,526385152
1598451535,526385152
1598451536,526385152
1598451537,526385152
1598451538,526385152
1598451539,526385152
1598451540,526385152
1598451541,526385152
1598451542,526385152
1598451543,526385152
1598451544,526385152
1598451545,526385152
1598451546,526385152
1598451547,526385152
1598451548,526385152
1598451549,526385152
1598451550,526385152
1598451551,526385152
1598451552,526385152
1598451553,526385152
1598451554,526385152
1598451555,526385152
1598451556,526385152
1598451557,526385152
1598451558,526385152
1598451559,526385152
1598451560,526385152
1598451561,526385152
1598451562,526385152
1598451563,526385152
1598451564,526385152
1598451565,526385152
1598451566,526385152
1598451567,526385152
1598451568,526385152
1598451569,526385152
1598451570,526385152
1598451571,526385152
1598451572,526385152
1598451573,526385152
1598451574,526385152
1598451575,526385152
1598451576,526385152
1598451577,526385152
1598451578,526385152
1598451579,526385152
1598451580,526385152
1598451581,526385152
1598451582,526385152
1598451583,526385152
1598451584,526385152
1598451585,526385152
1598451586,526385152
1598451587,526385152
1598451588,526385152
1598451589,526385152
1598451590,526385152
1598451591,526385152
1598451592,526385152
1598451593,526385152
1598451594,526385152
1598451595,526385152
1598451596,526385152
1598451597,526385152
1598451598,526385152
1598451599,526385152
1598451600,526385152
1598451601,526385152
1598451602,526385152
1598451603,526385152
1598451604,526385152
1598451605,526385152
1598451606,526385152
1598451607,526385152
1598451608,526385152
1598451609,526385152
1598451610,526385152
1598451611,526385152
1598451612,526385152
1598451613,526385152
1598451614,526385152
1598451615,526385152
1598451616,526385152
1598451617,526385152
1598451618,526385152
1598451619,526385152
1598451620,526385152
1598451621,526385152
1598451622,526385152
1598451623,526385152
1598451624,526385152
1598451625,526385152
1598451626,526385152
1598451627,526385152
1598451628,526385152
1598451629,526385152
1598451630,526385152
1598451631,526385152
1598451632,526385152
1598451633,526385152
1598451634,526385152
1598451635,526385152
1598451636,526385152
1598451637,526385152
1598451638,526385152
1598451639,526385152
1598451640,526385152
1598451641,526385152
1598451642,526385152
1598451643,526385152
1598451644,526385152
1598451645,526385152
1598451646,526385152
1598451647,526385152
1598451648,526385152
1598451649,526385152
1598451650,526385152
1598451651,526385152
1598451652,526385152
1598451653,526385152
1598451654,526385152
1598451655,526385152
1598451656,526385152
1598451657,526385152
1598451658,526385152
1598451659,526385152
1598451660,526385152
1598451661,526385152
1598451662,526385152
1598451663,526385152
1598451664,526385152
1598451665,526385152
1598451666,526385152
1598451667,526385152
1598451668,526385152
1598451669,526385152
1598451670,526385152
1598451671,526385152
1598451672,526385152
1598451673,526385152
1598451674,526385152
1598451675,526385152
1598451676,526385152
1598451677,526385152
1598451678,526385152
1598451679,526385152
1598451680,526385152
1598451681,526385152
1598451682,526385152
1598451683,526385152
1598451684,526385152
1598451685,526385152
1598451686,526385152
1598451687,526385152
