t,value
1598451372,1388314624
1598451373,1388314624
1598451374,1388314624
1598451375,1388314624
1598451376,1388314624
1598451377,1388314624
1598451378,1388314624
1598451379,1388314624
1598451380,1388314624
1598451381,1397227520
1598451382,1396178944
1598451383,1402994688
1598451384,1402994688
1598451385,1396178944
1598451386,1390936064
1598451387,1391984640
1598451388,1394081792
1598451389,1398800384
1598451390,1396178944
1598451391,1398276096
1598451392,1401421824
1598451393,1401421824
1598451394,1401421824
1598451395,1401421824
1598451396,1401421824
1598451397,1401421824
1598451398,1401421824
1598451399,1401421824
1598451400,1401421824
1598451401,1347944448
1598451402,1249902592
1598451403,1140850688
1598451404,1045430272
1598451405,910163968
1598451408,976748544
1598451408,976748544
1598451408,854589440
1598451409,893386752
1598451410,927989760
1598451411,966262784
1598451414,957349888
1598451414,957349888
1598451414,957349888
1598451415,980942848
1598451416,980942848
1598451417,947912704
1598451420,912785408
1598451420,912785408
1598451420,912785408
1598451421,1032323072
1598451422,744488960
1598451423,637009920
1598451424,568328192
1598451425,587202560
1598451426,604504064
1598451427,623378432
1598451428,627572736
1598451429,661651456
1598451430,659554304
1598451431,659554304
1598451432,659554304
1598451436,649068544
1598451436,649068544
1598451436,649068544
1598451436,649068544
1598451437,568328192
1598451438,477102080
1598451439,477102080
1598451440,477102080
1598451441,500695040
1598451442,579862528
1598451443,645922816
1598451444,966787072
1598451445,696254464
1598451446,696254464
1598451447,1003487232
1598451448,1006108672
1598451449,1040711680
1598451450,709361664
1598451451,477102080
1598451452,477102080
1598451453,477102080
1598451454,477102080
1598451455,477102080
1598451456,477102080
1598451457,477102080
1598451458,477102080
1598451459,584056832
1598451460,1006108672
1598451461,1034944512
1598451462,1034944512
1598451463,1096286208
1598451464,974127104
1598451465,1178075136
1598451466,1025507328
1598451467,1193803776
1598451468,1116733440
1598451469,1150287872
1598451470,1183842304
1598451471,1180172288
1598451472,1226833920
1598451473,1245708288
1598451474,1260912640
1598451475,1260912640
1598451476,1265631232
1598451477,1279262720
1598451478,1286078464
1598451479,1285554176
1598451480,1292894208
1598451481,1302331392
1598451482,1309147136
1598451483,1309671424
1598451484,1308622848
1598451485,1309671424
1598451486,1316487168
1598451487,1318584320
1598451488,1319632896
1598451489,1318584320
1598451490,1322778624
1598451491,1323302912
1598451492,1321730048
1598451493,1321730048
1598451494,1315438592
1598451495,1307574272
1598451496,1304428544
1598451497,1304428544
1598451498,1296039936
1598451499,1300234240
1598451500,1298661376
1598451501,1306525696
1598451502,1306525696
1598451503,1310195712
1598451504,1311244288
1598451505,1309671424
1598451506,1306525696
1598451507,1310195712
1598451508,1314914304
1598451509,1314914304
1598451510,1313865728
1598451511,1321205760
1598451512,1321730048
1598451513,1322778624
1598451514,1326448640
1598451515,1326448640
1598451516,1321205760
1598451517,1319108608
1598451518,1319108608
1598451519,1319108608
1598451520,1322254336
1598451521,1324351488
1598451522,1328545792
1598451523,1328545792
1598451524,1326448640
1598451525,1329070080
1598451526,1329594368
1598451527,1330642944
1598451528,1330642944
1598451529,1332740096
1598451530,1332740096
1598451531,1332740096
1598451532,1331167232
1598451533,1331691520
1598451534,1331691520
1598451535,1329070080
1598451536,1329070080
1598451537,1330118656
1598451538,1330642944
1598451539,1331167232
1598451540,1331167232
1598451541,1330118656
1598451542,1331167232
1598451543,1333264384
1598451544,1333264384
1598451545,1334312960
1598451546,1332215808
1598451547,1331691520
1598451548,1331691520
1598451549,1329594368
1598451550,1330642944
1598451551,1332215808
1598451552,1332215808
1598451553,1332215808
1598451554,1334837248
1598451555,1332215808
1598451556,1332215808
1598451557,1330118656
1598451558,1331691520
1598451559,1331691520
1598451560,1335885824
1598451561,1333788672
1598451562,1333264384
1598451563,1333264384
1598451564,1333264384
1598451565,1333788672
1598451566,1333264384
1598451567,1332215808
1598451568,1332215808
1598451569,1326448640
1598451570,1329070080
1598451571,1329070080
1598451572,1329070080
1598451573,1320681472
1598451574,1319632896
1598451575,1323302912
1598451576,1323302912
1598451577,1319632896
1598451578,1321730048
1598451579,1321730048
1598451580,1324875776
1598451581,1325400064
1598451582,1329070080
1598451583,1329070080
1598451584,1326972928
1598451585,1327497216
1598451586,1327497216
1598451587,1327497216
1598451588,1339555840
1598451589,1326448640
1598451590,1344798720
1598451591,1344798720
1598451592,1324875776
1598451593,1339555840
1598451594,1327497216
1598451595,1327497216
1598451596,1328545792
1598451597,1328545792
1598451598,1328545792
1598451599,1330118656
1598451600,1329594368
1598451601,1332740096
1598451602,1332740096
1598451603,1328545792
1598451604,1329594368
1598451605,1329594368
1598451606,1327497216
1598451607,1326448640
1598451608,1328545792
1598451609,1328545792
1598451610,1327497216
1598451611,1328545792
1598451612,1328545792
1598451613,1324351488
1598451614,1328545792
1598451615,1322254336
1598451616,1322778624
1598451617,1322778624
1598451618,1324875776
1598451619,1326972928
1598451620,1326972928
1598451621,1327497216
1598451622,1328545792
1598451623,1328545792
1598451624,1328545792
1598451625,1330642944
1598451626,1331691520
1598451627,1331691520
1598451628,1331691520
1598451629,1333264384
1598451630,1332740096
1598451631,1332740096
1598451632,1334312960
1598451633,1333788672
1598451634,1333788672
1598451635,1333788672
1598451636,1332740096
1598451637,1333264384
1598451638,1332215808
1598451639,1332215808
1598451640,1334312960
1598451641,1334312960
1598451642,1332740096
1598451643,1332215808
1598451644,1342177280
1598451645,1332740096
1598451646,1332740096
1598451647,1332215808
1598451648,1326448640
1598451649,1326448640
1598451650,1326448640
1598451651,1327497216
1598451652,1329070080
1598451653,1329070080
1598451654,1329070080
1598451655,1330642944
1598451656,1330642944
1598451657,1330642944
1598451658,1332215808
1598451659,1332740096
1598451660,1332740096
1598451661,1337982976
1598451662,1332215808
1598451663,1332215808
1598451664,1331691520
1598451665,1341652992
1598451666,1332740096
1598451667,1332215808
1598451668,1332215808
1598451669,1342177280
1598451670,1342177280
1598451671,1332215808
1598451672,1332215808
1598451673,1326448640
1598451674,1326448640
1598451675,1326448640
1598451676,1328021504
1598451677,1327497216
1598451678,1329070080
1598451679,1329070080
1598451680,1331167232
1598451681,1330642944
1598451682,1330642944
1598451683,1330642944
1598451684,1332215808
1598451685,1332740096
1598451686,1332740096
1598451687,1332215808
1598451688,1329594368
1598451689,1329594368
1598451690,1329070080
1598451691,1329070080
1598451692,1329594368
1598451693,1329070080
1598451694,1329070080
1598451695,1330118656
1598451696,1330118656
1598451697,1330118656
1598451698,1329594368
1598451699,1329594368
1598451700,1346371584
1598451701,1346371584
1598451702,1331167232
1598451703,1330642944
1598451704,1330642944
1598451705,1330642944
1598451706,1326972928
1598451707,1347420160
1598451708,1347420160
1598451709,1329070080
1598451710,1330118656
1598451711,1330642944
1598451712,1330642944
1598451713,1329594368
1598451714,1329594368
1598451715,1329594368
1598451716,1324875776
1598451717,1324351488
1598451718,1324875776
1598451719,1324351488
1598451720,1324351488
1598451721,1325924352
1598451722,1325924352
1598451723,1326448640
1598451724,1326448640
1598451725,1323302912
1598451726,1321205760
1598451727,1321205760
1598451728,1323302912
1598451729,1324875776
1598451730,1324875776
1598451731,1324875776
1598451732,1327497216
1598451733,1328021504
1598451734,1328021504
1598451735,1325924352
1598451736,1328021504
1598451737,1328021504
1598451738,1328021504
1598451739,1323827200
1598451740,1325400064
1598451741,1317535744
1598451742,1317535744
1598451743,1321730048
1598451744,1321730048
1598451745,1322778624
1598451746,1324351488
1598451747,1322778624
1598451748,1321730048
1598451749,1321730048
1598451750,1324875776
1598451751,1326448640
1598451752,1326448640
1598451753,1329070080
1598451754,1330642944
1598451755,1331167232
1598451756,1331167232
1598451757,1333788672
1598451758,1333788672
1598451759,1333788672
1598451760,1333788672
1598451761,1343225856
1598451762,1334837248
1598451763,1334312960
1598451764,1334312960
1598451765,1334312960
1598451766,1334312960
1598451767,1333788672
1598451768,1343225856
1598451769,1334837248
1598451770,1334837248
1598451771,1334312960
1598451772,1333788672
1598451773,1333788672
1598451774,1329070080
1598451775,1329070080
1598451776,1329070080
1598451777,1329070080
1598451778,1329070080
1598451779,1329594368
1598451780,1329594368
1598451781,1329594368
1598451782,1329594368
1598451783,1331167232
1598451784,1331691520
1598451785,1331691520
1598451786,1332740096
1598451787,1332740096
1598451788,1334312960
1598451789,1334312960
1598451790,1332215808
1598451791,1332215808
1598451792,1332215808
1598451793,1329594368
1598451794,1328545792
1598451795,1330642944
1598451796,1328545792
1598451797,1328545792
1598451798,1329594368
1598451799,1330118656
1598451800,1330118656
1598451801,1330118656
1598451802,1329594368
1598451803,1329594368
1598451804,1329594368
1598451805,1327497216
1598451806,1325400064
1598451807,1326972928
1598451808,1326972928
1598451809,1330642944
1598451810,1329594368
1598451811,1329594368
1598451812,1329594368
1598451813,1331167232
1598451814,1331691520
1598451815,1331691520
1598451816,1331167232
1598451817,1327497216
1598451818,1327497216
1598451819,1327497216
1598451820,1330118656
1598451821,1321205760
1598451822,1345847296
1598451823,1345847296
1598451824,1319632896
1598451825,1319632896
1598451826,1317535744
1598451827,1317535744
1598451828,1320681472
1598451829,1321730048
1598451830,1321730048
1598451831,1324351488
1598451832,1325924352
1598451833,1325924352
1598451834,1325924352
1598451835,1322778624
1598451836,1324351488
1598451837,1324351488
1598451838,1324351488
1598451839,1324351488
1598451840,1324351488
