t,value
1598451372,7025064
1598451373,7025064
1598451374,7025064
1598451375,7025064
1598451376,7025064
1598451377,7025064
1598451378,7025064
1598451379,7025064
1598451380,7025064
1598451381,10203624
1598451382,10211816
1598451383,20356088
1598451384,20356088
1598451385,28134360
1598451386,28150744
1598451387,28158936
1598451388,28158936
1598451389,28167128
1598451390,28175320
1598451391,28175320
1598451392,28175320
1598451393,28175320
1598451394,28175320
1598451395,28175320
1598451396,28175320
1598451397,28175320
1598451398,28175320
1598451399,28175320
1598451400,28175320
1598451401,80992048
1598451402,135165744
1598451403,182114096
1598451404,231832504
1598451405,280558520
1598451408,341000848
1598451408,341000848
1598451408,473088688
1598451409,589595312
1598451410,648757936
1598451411,709763760
1598451414,739873272
1598451414,739873272
1598451414,739873272
1598451415,865899016
1598451416,865899016
1598451417,986123048
1598451420,1013183992
1598451420,1013183992
1598451420,1013183992
1598451421,1013192184
1598451422,1013192184
1598451423,1013192184
1598451424,1351850048
1598451425,1351858240
1598451426,1410332784
1598451427,1439537264
1598451428,1451251824
1598451429,1521388944
1598451430,1571335568
1598451431,1571335568
1598451432,1571335568
1598451436,937148176
1598451436,937148176
1598451436,937148176
1598451436,937148176
1598451437,937148176
1598451438,937148176
1598451439,937148176
1598451440,937148176
1598451441,937164560
1598451442,937164560
1598451443,937180944
1598451444,937189136
1598451445,937189136
1598451446,937189136
1598451447,937197328
1598451448,937213712
1598451449,937246480
1598451450,975250088
1598451451,975372968
1598451452,1184760888
1598451453,1199508168
1598451454,1199508168
1598451455,1206920968
1598451456,1206920968
1598451457,1280525464
1598451458,1312418512
1598451459,1327527056
1598451460,1327527056
1598451461,1327543440
1598451462,1327543440
1598451463,1327551632
1598451464,1327553168
1598451465,1327561360
1598451466,1327569552
1598451467,1328437904
1598451468,1329518784
1598451469,1329646504
1598451470,1329654696
1598451471,1329662888
1598451472,1329671080
1598451473,1329749128
1598451474,1330983424
1598451475,1330983424
1598451476,1330993048
1598451477,1331017624
1598451478,1331017624
1598451479,1331071816
1598451480,1331141192
1598451481,1331211192
1598451482,1331227576
1598451483,1331235768
1598451484,1331313008
1598451485,1331452944
1598451486,1331469328
1598451487,1331469328
1598451488,1331477520
1598451489,1331549544
1598451490,1331720736
1598451491,1331720736
1598451492,1331728928
1598451493,1331728928
1598451494,1339214984
1598451495,1339288712
1598451496,1340304728
1598451497,1340304728
1598451498,1340304728
1598451499,1356190712
1598451500,1356190712
1598451501,1356198904
1598451502,1356198904
1598451503,1358532344
1598451504,1358648112
1598451505,1358648112
1598451506,1358656304
1598451507,1358680880
1598451508,1358839072
1598451509,1358839072
1598451510,1358847264
1598451511,1358855456
1598451512,1358880032
1598451513,1358972040
1598451514,1359095240
1598451515,1359095240
1598451516,1359095240
1598451517,1359187968
1598451518,1359251384
1598451519,1359251384
1598451520,1359356384
1598451521,1359364576
1598451522,1359448688
1598451523,1359448688
1598451524,1359561736
1598451525,1359561736
1598451526,1359569928
1598451527,1359664104
1598451528,1359664104
1598451529,1359776288
1598451530,1359776288
1598451531,1359776288
1598451532,1367172680
1598451533,1367278512
1598451534,1367278512
1598451535,1367294896
1598451536,1367294896
1598451537,1367424680
1598451538,1367432872
1598451539,1367433208
1598451540,1367433208
1598451541,1367500256
1598451542,1367630024
1598451543,1367630024
1598451544,1367630024
1598451545,1367638216
1598451546,1367773792
1598451547,1367855888
1598451548,1367855888
1598451549,1367864080
1598451550,1367944920
1598451551,1368057248
1598451552,1368057248
1598451553,1368057248
1598451554,1375478008
1598451555,1375582928
1598451556,1375582928
1598451557,1375582928
1598451558,1375591120
1598451559,1375591120
1598451560,1375672776
1598451561,1375674264
1598451562,1375690648
1598451563,1375690648
1598451564,1375690648
1598451565,1375772568
1598451566,1375780760
1598451567,1375780760
1598451568,1375780760
1598451569,1375869664
1598451570,1375869664
1598451571,1375869664
1598451572,1375869664
1598451573,1376067312
1598451574,1376067312
1598451575,1376075504
1598451576,1376075504
1598451577,1376287896
1598451578,1376287896
1598451579,1376287896
1598451580,1376312472
1598451581,1376450976
1598451582,1376450976
1598451583,1376450976
1598451584,1376467360
1598451585,1376658032
1598451586,1376658032
1598451587,1376658032
1598451588,1376666224
1598451589,1376833696
1598451590,1376833696
1598451591,1376833696
1598451592,1376833696
1598451593,1376922720
1598451594,1377042008
1598451595,1377042008
1598451596,1377042056
1598451597,1377168328
1598451598,1377168328
1598451599,1377168328
1598451600,1377168328
1598451601,1377242056
1598451602,1377242056
1598451603,1377258440
1598451604,1377315784
1598451605,1377315784
1598451606,1377373128
1598451607,1377373128
1598451608,1377430472
1598451609,1377430472
1598451610,1377496008
1598451611,1377553352
1598451612,1377553352
1598451613,1377659848
1598451614,1377659848
1598451615,1377668040
1598451616,1377733576
1598451617,1377733576
1598451618,1377741768
1598451619,1377807304
1598451620,1377807304
1598451621,1377807304
1598451622,1377807304
1598451623,1377881032
1598451624,1377881032
1598451625,1377930184
1598451626,1377979336
1598451627,1377979336
1598451628,1378003912
1598451629,1378003912
1598451630,1378053064
1598451631,1378053064
1598451632,1378110408
1598451633,1378159560
1598451634,1378159560
1598451635,1378159560
1598451636,1378305448
1598451637,1378305448
1598451638,1378444664
1598451639,1378444664
1598451640,1378454368
1598451641,1378454368
1598451642,1378562840
1598451643,1378562840
1598451644,1378562840
1598451645,1378700528
1598451646,1378700528
1598451647,1378700528
1598451648,1378766064
1598451649,1378766064
1598451650,1378766064
1598451651,1378774256
1598451652,1378823408
1598451653,1378823408
1598451654,1378864368
1598451655,1378929904
1598451656,1378929904
1598451657,1378929904
1598451658,1378979056
1598451659,1379036400
1598451660,1379036400
1598451661,1379093744
1598451662,1379126512
1598451663,1379126512
1598451664,1379192048
1598451665,1379192048
1598451666,1379192048
1598451667,1379249392
1598451668,1379249392
1598451669,1379257584
1598451670,1379257584
1598451671,1379331312
1598451672,1379331312
1598451673,1379347696
1598451674,1379479976
1598451675,1379479976
1598451676,1379479976
1598451677,1379479976
1598451678,1379529128
1598451679,1379529128
1598451680,1379630008
1598451681,1379687352
1598451682,1379687352
1598451683,1379687352
1598451684,1379761080
1598451685,1379818424
1598451686,1379818424
1598451687,1379875768
1598451688,1379908536
1598451689,1379908536
1598451690,1379957688
1598451691,1379957688
1598451692,1379957688
1598451693,1380055992
1598451694,1380055992
1598451695,1380055992
1598451696,1380055992
1598451697,1380113336
1598451698,1380170680
1598451699,1380178872
1598451700,1380252600
1598451701,1380252600
1598451702,1380260792
1598451703,1380334520
1598451704,1380334520
1598451705,1380334520
1598451706,1380359096
1598451707,1380416440
1598451708,1380416440
1598451709,1380473784
1598451710,1380473784
1598451711,1380539320
1598451712,1380539320
1598451713,1380604856
1598451714,1380662200
1598451715,1380662200
1598451716,1380719544
1598451717,1380719544
1598451718,1380719544
1598451719,1380776888
1598451720,1380776888
1598451721,1380776888
1598451722,1380776888
1598451723,1380842424
1598451724,1380875192
1598451725,1380875192
1598451726,1380948920
1598451727,1380948920
1598451728,1380965304
1598451729,1381014456
1598451730,1381014456
1598451731,1381014456
1598451732,1381055416
1598451733,1381104568
1598451734,1381104568
1598451735,1381153720
1598451736,1381202872
1598451737,1381202872
1598451738,1381202872
1598451739,1381252024
1598451740,1381301176
1598451741,1381366712
1598451742,1381366712
1598451743,1381383096
1598451744,1381383096
1598451745,1381424056
1598451746,1381424056
1598451747,1381424056
1598451748,1381489592
1598451749,1381489592
1598451750,1381497784
1598451751,1381555128
1598451752,1381555128
1598451753,1381579704
1598451754,1381579704
1598451755,1381628856
1598451756,1381628856
1598451757,1381694392
1598451758,1381727160
1598451759,1381727160
1598451760,1381727160
1598451761,1381800888
1598451762,1381858232
1598451763,1381923768
1598451764,1381923768
1598451765,1389271040
1598451766,1389271040
1598451767,1389328408
1598451768,1389338112
1598451769,1389338112
1598451770,1389338112
1598451771,1389420032
1598451772,1389420032
1598451773,1389428224
1598451774,1389494440
1598451775,1389494440
1598451776,1389495856
1598451777,1389553200
1598451778,1389553200
1598451779,1389561392
1598451780,1389561392
1598451781,1389610544
1598451782,1389610544
1598451783,1389667888
1598451784,1389708848
1598451785,1389708848
1598451786,1389774384
1598451787,1389774384
1598451788,1389815344
1598451789,1389815344
1598451790,1397211768
1598451791,1397277304
1598451792,1397277304
1598451793,1397351032
1598451794,1397351032
1598451795,1397351032
1598451796,1397408376
1598451797,1397408376
1598451798,1397408376
1598451799,1397416568
1598451800,1397482104
1598451801,1397482104
1598451802,1397482104
1598451803,1397547640
1598451804,1397547640
1598451805,1397555832
1598451806,1397555832
1598451807,1397588600
1598451808,1397588600
1598451809,1397637752
1598451810,1397695096
1598451811,1397695096
1598451812,1397695096
1598451813,1397752440
1598451814,1397801592
1598451815,1397801592
1598451816,1397850744
1598451817,1397899896
1598451818,1397899896
1598451819,1397973624
1598451820,1397973624
1598451821,1397973672
1598451822,1398040568
1598451823,1398040568
1598451824,1398040568
1598451825,1398040568
1598451826,1398097912
1598451827,1398097912
1598451828,1398122488
1598451829,1398188024
1598451830,1398188024
1598451831,1398212600
1598451832,1398269944
1598451833,1398269944
1598451834,1398269944
1598451835,1398327288
1598451836,1398376440
1598451837,1398376440
1598451838,1398376440
1598451839,1398441976
1598451840,1398441976
