t,value
1598451372,21495808
1598451373,21495808
1598451374,21495808
1598451375,21495808
1598451376,21495808
1598451377,21495808
1598451378,21495808
1598451379,21495808
1598451380,21495808
1598451381,12582912
1598451382,21495808
1598451383,13631488
1598451384,13631488
1598451385,14680064
1598451386,20447232
1598451387,19922944
1598451388,18874368
1598451389,14680064
1598451390,17825792
1598451391,16777216
1598451392,14155776
1598451393,14155776
1598451394,14155776
1598451395,14155776
1598451396,14155776
1598451397,14155776
1598451398,14155776
1598451399,14155776
1598451400,14155776
1598451401,36175872
1598451402,80740352
1598451403,131596288
1598451404,158859264
1598451405,230162432
1598451408,161480704
1598451408,161480704
1598451408,293076992
1598451409,272629760
1598451410,256376832
1598451411,237502464
1598451414,227540992
1598451414,227540992
1598451414,227540992
1598451415,218103808
1598451416,218103808
1598451417,228589568
1598451420,254803968
1598451420,254803968
1598451420,254803968
1598451421,134742016
1598451422,325582848
1598451423,328728576
1598451424,417333248
1598451425,420478976
1598451426,416808960
1598451427,405274624
1598451428,401604608
1598451429,379060224
1598451430,384303104
1598451431,384303104
1598451432,384303104
1598451436,387448832
1598451436,387448832
1598451436,387448832
1598451436,387448832
1598451437,394788864
1598451438,477102080
1598451439,477102080
1598451440,477102080
1598451441,461373440
1598451442,415760384
1598451443,383254528
1598451444,77070336
1598451445,360185856
1598451446,360185856
1598451447,67108864
1598451448,100663296
1598451449,100139008
1598451450,357040128
1598451451,477102080
1598451452,477102080
1598451453,477102080
1598451454,477102080
1598451455,477102080
1598451456,477102080
1598451457,477102080
1598451458,477102080
1598451459,414187520
1598451460,9961472
1598451461,19922944
1598451462,19922944
1598451463,48758784
1598451464,220725248
1598451465,29360128
1598451466,196083712
1598451467,40894464
1598451468,162004992
1598451469,144703488
1598451470,119013376
1598451471,128450560
1598451472,100139008
1598451473,90177536
1598451474,82837504
1598451475,82837504
1598451476,82313216
1598451477,77594624
1598451478,71827456
1598451479,73400320
1598451480,67633152
1598451481,65536000
1598451482,61341696
1598451483,60293120
1598451484,61341696
1598451485,61865984
1598451486,58195968
1598451487,56098816
1598451488,56623104
1598451489,55050240
1598451490,54525952
1598451491,54001664
1598451492,54525952
1598451493,54525952
1598451494,57147392
1598451495,62914560
1598451496,60817408
1598451497,60817408
1598451498,66060288
1598451499,63963136
1598451500,67108864
1598451501,60817408
1598451502,60817408
1598451503,61341696
1598451504,59768832
1598451505,60293120
1598451506,61341696
1598451507,60817408
1598451508,57671680
1598451509,57671680
1598451510,58720256
1598451511,53477376
1598451512,55050240
1598451513,54525952
1598451514,51380224
1598451515,51380224
1598451516,54001664
1598451517,56098816
1598451518,56098816
1598451519,56098816
1598451520,55050240
1598451521,53477376
1598451522,49807360
1598451523,49807360
1598451524,52953088
1598451525,51380224
1598451526,50855936
1598451527,50855936
1598451528,50855936
1598451529,49283072
1598451530,49283072
1598451531,49283072
1598451532,49283072
1598451533,49807360
1598451534,49807360
1598451535,49807360
1598451536,49807360
1598451537,50855936
1598451538,50331648
1598451539,49283072
1598451540,49283072
1598451541,50855936
1598451542,50331648
1598451543,48758784
1598451544,48758784
1598451545,48758784
1598451546,48234496
1598451547,49807360
1598451548,49807360
1598451549,49807360
1598451550,50855936
1598451551,49283072
1598451552,49283072
1598451553,49807360
1598451554,48234496
1598451555,48234496
1598451556,48234496
1598451557,50855936
1598451558,49807360
1598451559,49807360
1598451560,46661632
1598451561,48758784
1598451562,49283072
1598451563,49283072
1598451564,49283072
1598451565,48758784
1598451566,48758784
1598451567,49283072
1598451568,49283072
1598451569,52428800
1598451570,50331648
1598451571,50331648
1598451572,50331648
1598451573,54525952
1598451574,56098816
1598451575,52428800
1598451576,52428800
1598451577,56623104
1598451578,55050240
1598451579,55050240
1598451580,52953088
1598451581,53477376
1598451582,50855936
1598451583,50855936
1598451584,51380224
1598451585,51904512
1598451586,51904512
1598451587,51904512
1598451588,40370176
1598451589,51380224
1598451590,32505856
1598451591,32505856
1598451592,54001664
1598451593,40370176
1598451594,51380224
1598451595,51380224
1598451596,51380224
1598451597,51380224
1598451598,51380224
1598451599,50331648
1598451600,50855936
1598451601,48758784
1598451602,48758784
1598451603,51904512
1598451604,50855936
1598451605,50855936
1598451606,50855936
1598451607,52953088
1598451608,50855936
1598451609,50855936
1598451610,51904512
1598451611,49283072
1598451612,49283072
1598451613,53477376
1598451614,47710208
1598451615,55050240
1598451616,54001664
1598451617,54001664
1598451618,53477376
1598451619,51904512
1598451620,51904512
1598451621,52428800
1598451622,51380224
1598451623,51380224
1598451624,51380224
1598451625,50855936
1598451626,49807360
1598451627,49807360
1598451628,49807360
1598451629,48758784
1598451630,49283072
1598451631,49283072
1598451632,48234496
1598451633,48758784
1598451634,48758784
1598451635,48758784
1598451636,49807360
1598451637,48758784
1598451638,49283072
1598451639,49283072
1598451640,48234496
1598451641,48234496
1598451642,48758784
1598451643,49807360
1598451644,40370176
1598451645,48758784
1598451646,48758784
1598451647,49807360
1598451648,52428800
1598451649,52428800
1598451650,52428800
1598451651,51904512
1598451652,50855936
1598451653,50855936
1598451654,51380224
1598451655,50331648
1598451656,50331648
1598451657,50331648
1598451658,49807360
1598451659,49283072
1598451660,49283072
1598451661,42991616
1598451662,49283072
1598451663,49283072
1598451664,49807360
1598451665,40370176
1598451666,49283072
1598451667,49283072
1598451668,49283072
1598451669,39845888
1598451670,39845888
1598451671,49283072
1598451672,49283072
1598451673,52428800
1598451674,52428800
1598451675,52428800
1598451676,51380224
1598451677,51904512
1598451678,50855936
1598451679,50855936
1598451680,49807360
1598451681,50331648
1598451682,50331648
1598451683,50331648
1598451684,49807360
1598451685,49283072
1598451686,49283072
1598451687,47185920
1598451688,50855936
1598451689,50855936
1598451690,50855936
1598451691,51380224
1598451692,50855936
1598451693,50855936
1598451694,50855936
1598451695,50855936
1598451696,50855936
1598451697,50331648
