t,value
1598451372,0
1598451373,0
1598451374,0
1598451375,0
1598451376,0
1598451377,0
1598451378,0
1598451379,0
1598451380,0
1598451381,0
1598451382,0
1598451383,77799032
1598451384,77799032
1598451385,77799032
1598451386,77799032
1598451387,77799032
1598451388,77799032
1598451389,77799032
1598451390,77799032
1598451391,77799032
1598451392,77799032
1598451393,97475304
1598451394,97475304
1598451395,97475304
1598451396,97475304
1598451397,97475304
1598451398,97475304
1598451399,97475304
1598451400,97475304
1598451401,97475304
1598451402,97475304
1598451403,98605088
1598451404,98605088
1598451407,98605088
1598451407,98605088
1598451407,98605088
1598451408,98605088
1598451409,98605088
1598451410,98605088
1598451414,98605088
1598451414,98347000
1598451414,98347000
1598451414,98347000
1598451415,98347000
1598451416,98347000
1598451417,98347000
1598451421,98347000
1598451421,98347000
1598451421,98347000
1598451421,98347000
1598451422,98347000
1598451423,99022336
1598451424,99022336
1598451425,99022336
1598451426,99022336
1598451427,99022336
1598451428,99022336
1598451429,99022336
1598451430,99022336
1598451431,99022336
1598451432,99022336
1598451433,99102344
1598451434,99102344
1598451435,99102344
1598451436,99102344
1598451437,99102344
1598451438,99102344
1598451439,99102344
1598451440,99102344
1598451441,99102344
1598451442,99102344
1598451443,105447688
1598451444,105447688
1598451445,105447688
1598451446,105447688
1598451447,105447688
1598451448,105447688
1598451449,105447688
1598451450,105447688
1598451451,105447688
1598451452,105447688
1598451453,112506312
1598451454,112506312
1598451455,112506312
1598451456,112506312
1598451457,112506312
1598451458,112506312
1598451459,112506312
1598451460,112506312
1598451461,112506312
1598451462,112506312
1598451463,114821568
1598451464,114821568
1598451465,114821568
1598451466,114821568
1598451467,114821568
1598451468,114821568
1598451469,114821568
1598451470,114821568
1598451471,114821568
1598451472,114821568
1598451473,116615232
1598451474,116615232
1598451475,116615232
1598451476,116615232
1598451477,116615232
1598451478,116615232
1598451479,116615232
1598451480,116615232
1598451481,116615232
1598451482,116615232
1598451483,117950888
1598451484,117950888
1598451485,117950888
1598451486,117950888
1598451487,117950888
1598451488,117950888
1598451489,117950888
1598451490,117950888
1598451491,117950888
1598451492,117950888
1598451493,119082776
1598451494,119082776
1598451495,119082776
1598451496,119082776
1598451497,119082776
1598451498,119082776
1598451499,119082776
1598451500,119082776
1598451501,119082776
1598451502,119082776
1598451503,120195256
1598451504,120195256
1598451505,120195256
1598451506,120195256
1598451507,120195256
1598451508,120195256
1598451509,120195256
1598451510,120195256
1598451511,120195256
1598451512,120195256
1598451513,121414032
1598451514,121414032
1598451515,121414032
1598451516,121414032
1598451517,121414032
1598451518,121414032
1598451519,121414032
1598451520,121414032
1598451521,121414032
1598451522,121414032
1598451523,121696992
1598451524,121696992
1598451525,121696992
1598451526,121696992
1598451527,121696992
1598451528,121696992
1598451529,121696992
1598451530,121696992
1598451531,121696992
1598451532,121696992
1598451533,122061664
1598451534,122061664
1598451535,122061664
1598451536,122061664
1598451537,122061664
1598451538,122061664
1598451539,122061664
1598451540,122061664
1598451541,122061664
1598451542,122061664
1598451543,122457312
1598451544,122457312
1598451545,122457312
1598451546,122457312
1598451547,122457312
1598451548,122457312
1598451549,122457312
1598451550,122457312
1598451551,122457312
1598451552,122457312
1598451553,123322080
1598451554,123322080
1598451555,123322080
1598451556,123322080
1598451557,123322080
1598451558,123322080
1598451559,123322080
1598451560,123322080
1598451561,123322080
1598451562,123322080
1598451563,123596568
1598451564,123596568
1598451565,123596568
1598451566,123596568
1598451567,123596568
1598451568,123596568
1598451569,123596568
1598451570,123596568
1598451571,123596568
1598451572,123596568
1598451573,123611720
1598451574,123611720
1598451575,123611720
1598451576,123611720
1598451577,123611720
1598451578,123611720
1598451579,123611720
1598451580,123611720
1598451581,123611720
1598451582,123611720
1598451583,123889744
1598451584,123889744
1598451585,123889744
1598451586,123889744
1598451587,123889744
1598451588,123889744
1598451589,123889744
1598451590,123889744
1598451591,123889744
1598451592,123889744
1598451593,124121552
1598451594,124121552
1598451595,124121552
1598451596,124121552
1598451597,124121552
1598451598,124121552
1598451599,124121552
1598451600,124121552
1598451601,124121552
1598451602,124121552
1598451603,124240200
1598451604,124240200
1598451605,124240200
1598451606,124240200
1598451607,124240200
1598451608,124240200
1598451609,124240200
1598451610,124240200
1598451611,124240200
1598451612,124240200
1598451613,124441080
1598451614,124441080
1598451615,124441080
1598451616,124441080
1598451617,124441080
1598451618,124441080
1598451619,124441080
1598451620,124441080
1598451621,124441080
1598451622,124441080
1598451623,124592160
1598451624,124592160
1598451625,124592160
1598451626,124592160
1598451627,124592160
1598451628,124592160
1598451629,124592160
1598451630,124592160
1598451631,124592160
1598451632,124592160
1598451633,124708592
1598451634,124708592
1598451635,124708592
1598451636,124708592
1598451637,124708592
1598451638,124708592
1598451639,124708592
1598451640,124708592
1598451641,124708592
1598451642,124708592
1598451643,125913792
1598451644,125913792
1598451645,125913792
1598451646,125913792
1598451647,125913792
1598451648,125913792
1598451649,125913792
1598451650,125913792
1598451651,125913792
1598451652,125913792
1598451653,126094384
1598451654,126094384
1598451655,126094384
1598451656,126094384
1598451657,126094384
1598451658,126094384
1598451659,126094384
1598451660,126094384
1598451661,126094384
1598451662,126094384
1598451663,126390592
1598451664,126390592
1598451665,126390592
1598451666,126390592
1598451667,126390592
1598451668,126390592
1598451669,126390592
1598451670,126390592
1598451671,126390592
1598451672,126390592
1598451673,126472352
1598451674,126472352
1598451675,126472352
1598451676,126472352
1598451677,126472352
1598451678,126472352
1598451679,126472352
1598451680,126472352
1598451681,126472352
1598451682,126472352
1598451683,126452040
1598451684,126452040
1598451685,126452040
1598451686,126452040
1598451687,126452040
1598451688,126452040
1598451689,126452040
1598451690,126452040
1598451691,126452040
1598451692,126452040
