t,count
1598451372,0
1598451373,0
1598451374,0
1598451375,0
1598451376,0
1598451377,0
1598451378,0
1598451379,0
1598451380,0
1598451381,0
1598451382,0
1598451383,0
1598451384,0
1598451385,0
1598451386,0
1598451387,0
1598451388,0
1598451389,0
1598451390,0
1598451391,0
1598451392,268566528
1598451393,268566528
1598451394,268566528
1598451395,268566528
1598451396,344938848
1598451397,344938848
1598451398,344938848
1598451399,344938848
1598451400,344938848
1598451401,344938848
1598451402,344938848
1598451403,344938848
1598451404,344938848
1598451407,344938848
1598451407,344938848
1598451407,344938848
1598451408,344938848
1598451409,344938848
1598451410,344938848
1598451414,344938848
1598451414,344938848
1598451414,344938848
1598451414,344938848
1598451415,344938848
1598451416,344938848
1598451417,344938848
1598451421,344938848
1598451421,344938848
1598451421,344938848
1598451421,344938848
1598451422,479222112
1598451423,613505376
1598451424,613505376
1598451425,613505376
1598451426,613505376
1598451427,613505376
1598451428,613505376
1598451429,613505376
1598451430,689877696
1598451431,689877696
1598451432,689877696
1598451433,689877696
1598451434,689877696
1598451435,689877696
1598451436,689877696
1598451437,689877696
1598451438,689877696
1598451439,689877696
1598451440,689877696
1598451441,1170547880
1598451442,1170547880
1598451443,1170547880
1598451444,1522358040
1598451445,1651218064
1598451446,1651218064
1598451447,1651218064
1598451448,1669367944
1598451449,1705668872
1598451450,1705668872
1598451451,1705668872
1598451452,2057479032
1598451453,2186339056
1598451454,2186339056
1598451455,2243934616
1598451456,2329798016
1598451457,2762177456
1598451458,2915640432
1598451459,3348019872
1598451460,3501482848
1598451461,3616669672
1598451462,4077845536
1598451463,4231308512
1598451464,4663687952
1598451465,4817150928
1598451466,4961134176
1598451467,5546976592
1598451468,5762479072
1598451469,6132819008
1598451470,6219209672
1598451471,6709181696
1598451472,6862644672
1598451473,7295024112
1598451474,7448487088
1598451475,7592470336
1598451476,8178312752
1598451477,8610692192
1598451478,8764155168
1598451479,8879341992
1598451480,9493980832
1598451481,9493980832
1598451482,10079823248
1598451483,10137418808
1598451484,10223806496
1598451485,10809648912
1598451486,11242028352
1598451487,11395491328
1598451488,11510678152
1598451489,12125316992
1598451490,12340819472
1598451491,12711159408
1598451492,12768754968
1598451493,13072019616
1598451494,13440985072
1598451495,13873364512
1598451496,14055623432
1598451497,14170810736
1598451498,14756653152
1598451499,15189032592
1598451500,15342495568
1598451501,15428887288
1598451502,16072321232
1598451503,16072321232
1598451504,16658163648
1598451505,16715759208
1598451506,16802146896
1598451507,17387989312
1598451508,17820368752
1598451509,17973831728
1598451510,18117814976
1598451511,18703657392
1598451512,19136036832
1598451513,19289499808
1598451514,19404686632
1598451515,20019325472
1598451516,20019325472
1598451517,20451704912
1598451518,20662763448
1598451519,20966028096
1598451520,21334993552
1598451521,21767372992
1598451522,21920835968
1598451523,22064819216
1598451524,22650661632
1598451525,23083041072
1598451526,23236504048
1598451527,23351690872
1598451528,23966329712
1598451529,24181832192
1598451530,24552172128
1598451531,24609767688
1598451532,25128534816
1598451533,25281997792
1598451534,25867840208
1598451535,25925435768
1598451536,26011823456
1598451537,26597665872
1598451538,27030045312
1598451539,27183508288
1598451540,27327491536
1598451541,27913333952
1598451542,28345713392
1598451543,28499176368
1598451544,28643159616
1598451545,29229002032
1598451546,29661381472
1598451547,29814844448
1598451548,29958827696
1598451549,30544670112
1598451550,30977049552
1598451551,31130512528
1598451552,31245699352
1598451553,31860338192
1598451554,32292717632
1598451555,32446180608
1598451556,32590163856
1598451557,33176006272
1598451558,33608385712
1598451559,33761848688
1598451560,33905831936
1598451561,34491674352
1598451562,34924053792
1598451563,35077516768
1598451564,35221500016
1598451565,35807342432
1598451566,36239721872
1598451567,36393184848
1598451568,36537168096
1598451569,37123010512
1598451570,37555389952
1598451571,37766448488
1598451572,38068338656
1598451573,38438678592
1598451574,39024521008
1598451575,39082116568
1598451576,39754346672
1598451577,39754346672
1598451578,40340189088
1598451579,40455375912
1598451580,41070014752
1598451581,41285517232
1598451582,41655857168
1598451583,41771043992
1598451584,42385682832
1598451585,42818062272
1598451586,42971525248
1598451587,43115508496
1598451588,43701350912
1598451589,44133730352
1598451590,44315992944
1598451591,44648053536
1598451592,45017018992
1598451593,45602861408
1598451594,45660456968
1598451595,46332687072
1598451596,46548189552
1598451597,46918529488
1598451598,47033716312
1598451599,47648355152
1598451600,48080734592
1598451601,48234197568
1598451602,48378180816
1598451603,48964023232
1598451604,49396402672
1598451605,49607461208
1598451606,50279691312
1598451607,50495193792
1598451608,50865533728
1598451609,50951925448
1598451610,51595359392
1598451611,52027738832
1598451612,52181201808
1598451613,52325185056
1598451614,52911027472
1598451615,53343406912
1598451616,53554465448
1598451617,54226695552
1598451618,54226695552
1598451619,54812537968
1598451620,54927724792
1598451621,55542363632
1598451622,55974743072
1598451623,56128206048
1598451624,56272189296
1598451625,56858031712
1598451626,57443874128
1598451627,57501469688
1598451628,58173699792
1598451629,58389202272
1598451630,58759542208
1598451631,58874729032
1598451632,59489367872
1598451633,59921747312
1598451634,60075210288
1598451635,60219193536
1598451636,60805035952
1598451637,61390878368
1598451638,61448473928
1598451639,62120704032
1598451640,62336206512
1598451641,62706546448
1598451642,62821733272
1598451643,63436372112
1598451644,63868751552
1598451645,64022214528
1598451646,64166197776
1598451647,64752040192
1598451648,65184419632
1598451649,65395478168
1598451650,66067708272
1598451651,66067708272
1598451652,66653550688
1598451653,66768737512
1598451654,67383376352
1598451655,67815755792
1598451656,67969218768
1598451657,68113202016
1598451658,68699044432
1598451659,69284886848
1598451660,69342482408
1598451661,70014712512
1598451662,70230214992
1598451663,70600554928
1598451664,70715741752
1598451665,71330380592
1598451666,71762760032
1598451667,71916223008
1598451668,72492585696
1598451669,72646048672
