t,count
1598451372,0
1598451373,0
1598451374,0
1598451375,0
1598451376,0
1598451377,0
1598451378,0
1598451379,0
1598451380,0
1598451381,0
1598451382,0
1598451383,0
1598451384,0
1598451385,0
1598451386,0
1598451387,0
1598451388,0
1598451389,0
1598451390,0
1598451391,0
1598451392,0
1598451393,0
1598451394,0
1598451395,0
1598451396,0
1598451397,0
1598451398,0
1598451399,0
1598451400,0
1598451401,0
1598451402,0
1598451403,0
1598451404,0
1598451407,0
1598451407,0
1598451407,0
1598451408,0
1598451409,0
1598451410,0
1598451414,0
1598451414,0
1598451414,0
1598451414,0
1598451415,0
1598451416,0
1598451417,0
1598451421,0
1598451421,0
1598451421,0
1598451421,0
1598451422,0
1598451423,0
1598451424,0
1598451425,0
1598451426,0
1598451427,0
1598451428,0
1598451429,0
1598451430,0
1598451431,0
1598451432,0
1598451433,0
1598451434,0
1598451435,0
1598451436,0
1598451437,0
1598451438,0
1598451439,0
1598451440,0
1598451441,0
1598451442,0
1598451443,0
1598451444,0
1598451445,0
1598451446,0
1598451447,0
1598451448,4290602
1598451449,4290602
1598451450,4290602
1598451451,4290602
1598451452,9132478
1598451453,11481935
1598451454,11481935
1598451455,16639228
1598451456,24373466
1598451457,35773845
1598451458,41299732
1598451459,41299732
1598451460,41299732
1598451461,51772209
1598451462,63073889
1598451463,67282798
1598451464,67282798
1598451465,67282798
1598451466,80373935
1598451467,93264707
1598451468,93264707
1598451469,93264707
1598451470,101120117
1598451471,115037656
1598451472,119246050
1598451473,119246050
1598451474,119246050
1598451475,132337164
1598451476,145227125
1598451477,145227125
1598451478,145227125
1598451479,155699614
1598451480,171206957
1598451481,171206957
1598451482,171206957
1598451483,176443066
1598451484,184298062
1598451485,197185582
1598451486,197185582
1598451487,197185582
1598451488,207658043
1598451489,223163024
1598451490,223163024
1598451491,223163024
1598451492,228399169
1598451493,240656247
1598451494,249137990
1598451495,249137990
1598451496,251756388
1598451497,262229125
1598451498,275112478
1598451499,275112478
1598451500,275112478
1598451501,282965657
1598451502,301087015
1598451503,301087015
1598451504,301087015
1598451505,306323117
1598451506,314178114
1598451507,326967453
1598451508,326967453
1598451509,326967453
1598451510,340058560
1598451511,352487866
1598451512,352487866
1598451513,352487866
1598451514,362960304
1598451515,377892984
1598451516,377892984
1598451517,377892984
1598451518,383129092
1598451519,395151426
1598451520,403162149
1598451521,403162149
1598451522,403162149
1598451523,416253235
1598451524,428228485
1598451525,428228485
1598451526,428228485
1598451527,438700908
1598451528,453062735
1598451529,453062735
1598451530,453062735
1598451531,458298847
1598451532,473826737
1598451533,477530579
1598451534,477530579
1598451535,482766671
1598451536,490621652
1598451537,501261728
1598451538,501261728
1598451539,501261728
1598451540,514352808
1598451541,524205110
1598451542,524205110
1598451543,524205110
1598451544,537296261
1598451545,546176963
1598451546,546176963
1598451547,546176963
1598451548,559268102
1598451549,567262159
1598451550,567262159
1598451551,567262159
1598451552,580353262
1598451553,587937600
1598451554,587937600
1598451555,587937600
1598451556,601028687
1598451557,608403290
1598451558,608403290
1598451559,608403290
1598451560,621494413
1598451561,628701240
1598451562,628701240
1598451563,628701240
1598451564,641792346
1598451565,648752649
1598451566,648752649
1598451567,648752649
1598451568,661843785
1598451569,668453584
1598451570,668453584
1598451571,673689718
1598451572,683605425
1598451573,687772110
1598451574,687772110
1598451575,693008243
1598451576,706741873
1598451577,706741873
1598451578,706741873
1598451579,717214346
1598451580,725361122
1598451581,725361122
1598451582,725361122
1598451583,735833600
1598451584,743638205
1598451585,743638205
1598451586,743638205
1598451587,756729363
1598451588,761582854
1598451589,761582854
1598451590,764200582
1598451591,776199673
1598451592,778990737
1598451593,778990737
1598451594,784226866
1598451595,795688820
1598451596,795688820
1598451597,795688820
1598451598,806161291
1598451599,812003130
1598451600,812003130
1598451601,812003130
1598451602,825094252
1598451603,828196974
1598451604,828196974
1598451605,833433122
1598451606,844429446
1598451607,844429446
1598451608,844429446
1598451609,852282674
1598451610,860625126
1598451611,860625126
1598451612,860625126
1598451613,873716287
1598451614,876915015
1598451615,876915015
1598451616,882151146
1598451617,893141284
1598451618,893141284
1598451619,893141284
1598451620,903613755
1598451621,909243132
1598451622,909243132
1598451623,909243132
1598451624,922334268
1598451625,925371487
1598451626,925371487
1598451627,930607640
1598451628,941302139
1598451629,941302139
1598451630,941302139
1598451631,951774633
1598451632,957412073
1598451633,957412073
1598451634,957412073
1598451635,970503234
1598451636,973609289
1598451637,973609289
1598451638,978845436
1598451639,989812192
1598451640,989812192
1598451641,989812192
1598451642,1000284660
1598451643,1006037461
1598451644,1006037461
1598451645,1006037461
1598451646,1019128616
1598451647,1022275324
1598451648,1022275324
1598451649,1027511469
1598451650,1038547621
1598451651,1038547621
1598451652,1038547621
1598451653,1049020108
1598451654,1054663168
1598451655,1054663168
1598451656,1054663168
1598451657,1067754326
1598451658,1070897565
1598451659,1070897565
1598451660,1076133696
1598451661,1087074554
1598451662,1087074554
1598451663,1087074554
1598451664,1097547024
1598451665,1103205866
1598451666,1103205866
1598451667,1103205866
1598451668,1118420758
1598451669,1119426484
1598451670,1119426484
1598451671,1124662624
1598451672,1135681184
1598451673,1135681184
1598451674,1135681184
1598451675,1143534400
1598451676,1151923254
1598451677,1151923254
1598451678,1151923254
1598451679,1162395732
1598451680,1168052170
1598451681,1168052170
1598451682,1168052170
1598451683,1184142187
1598451684,1184142187
1598451685,1184142187
1598451686,1189378322
1598451687,1200155521
1598451688,1200155521
1598451689,1200155521
1598451690,1213246663
1598451691,1216359224
1598451692,1216359224
1598451693,1221595358
1598451694,1232558607
1598451695,1232558607
1598451696,1232558607
1598451697,1243031080
1598451698,1248794098
1598451699,1248794098
1598451700,1248794098
