t,value
1598451372,26
1598451373,26
1598451374,26
1598451375,26
1598451376,26
1598451377,26
1598451378,26
1598451379,26
1598451380,26
1598451381,52
1598451382,52
1598451383,158
1598451384,158
1598451385,158
1598451386,158
1598451387,158
1598451388,158
1598451389,158
1598451390,158
1598451391,158
1598451392,158
1598451393,158
1598451394,158
1598451395,158
1598451396,158
1598451397,158
1598451398,158
1598451399,158
1598451400,158
1598451401,158
1598451402,158
1598451403,158
1598451404,158
1598451407,2280
1598451407,2280
1598451407,2280
1598451408,2280
1598451409,2280
1598451410,2280
1598451414,5111
1598451414,5111
1598451414,5111
1598451414,5111
1598451415,5111
1598451416,5111
1598451417,5111
1598451421,7775
1598451421,7775
1598451421,7775
1598451421,7775
1598451422,7775
1598451423,7775
1598451424,7775
1598451425,7775
1598451426,7775
1598451427,7775
1598451428,7775
1598451429,7775
1598451430,7775
1598451431,7775
1598451432,7775
1598451433,7775
1598451434,7775
1598451435,7775
1598451436,7775
1598451437,7775
1598451438,7775
1598451439,7775
1598451440,7775
1598451441,7775
1598451442,7775
1598451443,7868
1598451444,7868
1598451445,7868
1598451446,7868
1598451447,7868
1598451448,7868
1598451449,7868
1598451450,7868
1598451451,7868
1598451452,7868
1598451453,7868
1598451454,7868
1598451455,7868
1598451456,7868
1598451457,7868
1598451458,7868
1598451459,7868
1598451460,7868
1598451461,7868
1598451462,7868
1598451463,7868
1598451464,7868
1598451465,7868
1598451466,7868
1598451467,7868
1598451468,7868
1598451469,7868
1598451470,7868
1598451471,7868
1598451472,7868
1598451473,7868
1598451474,7868
1598451475,7868
1598451476,7868
1598451477,7868
1598451478,7868
1598451479,7868
1598451480,7868
1598451481,7868
1598451482,7868
1598451483,7868
1598451484,7868
1598451485,7868
1598451486,7868
1598451487,7868
1598451488,7868
1598451489,7868
1598451490,7868
1598451491,7868
1598451492,7868
1598451493,7868
1598451494,7868
1598451495,7868
1598451496,7868
1598451497,7868
1598451498,7868
1598451499,7868
1598451500,7868
1598451501,7868
1598451502,7868
1598451503,7868
1598451504,7868
1598451505,7868
1598451506,7868
1598451507,7868
1598451508,7868
1598451509,7868
1598451510,7868
1598451511,7868
1598451512,7868
1598451513,7868
1598451514,7868
1598451515,7868
1598451516,7868
1598451517,7868
1598451518,7868
1598451519,7868
1598451520,7868
1598451521,7868
1598451522,7868
1598451523,7868
1598451524,7868
1598451525,7868
1598451526,7868
1598451527,7868
1598451528,7868
1598451529,7868
1598451530,7868
1598451531,7868
1598451532,7868
1598451533,7868
1598451534,7868
1598451535,7868
1598451536,7868
1598451537,7868
1598451538,7868
1598451539,7868
1598451540,7868
1598451541,7868
1598451542,7868
1598451543,7868
1598451544,7868
1598451545,7868
1598451546,7868
1598451547,7868
1598451548,7868
1598451549,7868
1598451550,7868
1598451551,7868
1598451552,7868
1598451553,7868
1598451554,7868
1598451555,7868
1598451556,7868
1598451557,7868
1598451558,7868
1598451559,7868
1598451560,7868
1598451561,7868
1598451562,7868
1598451563,7868
1598451564,7868
1598451565,7868
1598451566,7868
1598451567,7868
1598451568,7868
1598451569,7868
1598451570,7868
1598451571,7868
1598451572,7868
1598451573,7868
1598451574,7868
1598451575,7868
1598451576,7868
1598451577,7868
1598451578,7868
1598451579,7868
1598451580,7868
1598451581,7868
1598451582,7868
1598451583,7868
1598451584,7868
1598451585,7868
1598451586,7868
1598451587,7868
1598451588,7868
1598451589,7868
1598451590,7868
1598451591,7868
1598451592,7868
1598451593,7868
1598451594,7868
1598451595,7868
1598451596,7868
1598451597,7868
1598451598,7868
1598451599,7868
1598451600,7868
1598451601,7868
1598451602,7868
1598451603,7868
1598451604,7868
1598451605,7868
1598451606,7868
1598451607,7868
1598451608,7868
1598451609,7868
1598451610,7868
1598451611,7868
1598451612,7868
1598451613,7868
1598451614,7868
1598451615,7868
1598451616,7868
1598451617,7868
1598451618,7868
1598451619,7868
1598451620,7868
1598451621,7868
1598451622,7868
1598451623,7868
1598451624,7868
1598451625,7868
1598451626,7868
1598451627,7868
1598451628,7868
1598451629,7868
1598451630,7868
1598451631,7868
1598451632,7868
1598451633,7868
1598451634,7868
1598451635,7868
1598451636,7868
1598451637,7868
1598451638,7868
1598451639,7868
1598451640,7868
1598451641,7868
1598451642,7868
1598451643,7868
1598451644,7868
1598451645,7868
1598451646,7868
1598451647,7868
1598451648,7868
1598451649,7868
1598451650,7868
1598451651,7868
1598451652,7868
1598451653,7868
1598451654,7868
1598451655,7868
1598451656,7868
1598451657,7868
1598451658,7868
1598451659,7868
1598451660,7868
