t,value
1598451372,0
1598451373,0
1598451374,0
1598451375,0
1598451376,0
1598451377,0
1598451378,0
1598451379,0
1598451380,0
1598451381,0
1598451382,35
1598451383,35
1598451384,35
1598451385,35
1598451386,35
1598451387,35
1598451388,35
1598451389,35
1598451390,35
1598451391,35
1598451392,108
1598451393,108
1598451394,108
1598451395,108
1598451396,108
1598451397,108
1598451398,108
1598451399,108
1598451400,108
1598451401,108
1598451402,268
1598451403,268
1598451404,268
1598451407,268
1598451407,268
1598451407,268
1598451408,268
1598451409,268
1598451410,268
1598451411,268
1598451414,2099
1598451414,2099
1598451414,2099
1598451415,2099
1598451416,2099
1598451417,2099
1598451418,2099
1598451419,2099
1598451420,2099
1598451421,2099
1598451423,2595
1598451423,2595
1598451424,2595
1598451425,2595
1598451426,2595
1598451427,2595
1598451428,2595
1598451429,2595
1598451433,4540
1598451433,4540
1598451433,4540
1598451433,4540
1598451434,4540
1598451435,4540
1598451436,4540
1598451437,4540
1598451438,4540
1598451439,4540
1598451440,4540
1598451441,4540
1598451442,4779
1598451443,4779
1598451444,4779
1598451445,4779
1598451446,4779
1598451447,4779
1598451448,4779
1598451449,4779
1598451450,4779
1598451451,4779
1598451452,5015
1598451453,5015
1598451454,5015
1598451455,5015
1598451456,5015
1598451457,5015
1598451458,5015
1598451459,5015
1598451460,5015
1598451461,5015
1598451462,5302
1598451463,5302
1598451464,5302
1598451465,5302
1598451466,5302
1598451467,5302
1598451468,5302
1598451469,5302
1598451470,5302
1598451471,5302
1598451472,5409
1598451473,5409
1598451474,5409
1598451475,5409
1598451476,5409
1598451477,5409
1598451478,5409
1598451479,5409
1598451480,5409
1598451481,5409
1598451482,5516
1598451483,5516
1598451484,5516
1598451485,5516
1598451486,5516
1598451487,5516
1598451488,5516
1598451489,5516
1598451490,5516
1598451491,5516
1598451492,5617
1598451493,5617
1598451494,5617
1598451495,5617
1598451496,5617
1598451497,5617
1598451498,5617
1598451499,5617
1598451500,5617
1598451501,5617
1598451502,5716
1598451503,5716
1598451504,5716
1598451505,5716
1598451506,5716
1598451507,5716
1598451508,5716
1598451509,5716
1598451510,5716
1598451511,5716
1598451512,5812
1598451513,5812
1598451514,5812
1598451515,5812
1598451516,5812
1598451517,5812
1598451518,5812
1598451519,5812
1598451520,5812
1598451521,5812
1598451522,5907
1598451523,5907
1598451524,5907
1598451525,5907
1598451526,5907
1598451527,5907
1598451528,5907
1598451529,5907
1598451530,5907
1598451531,5907
1598451532,5956
1598451533,5956
1598451534,5956
1598451535,5956
1598451536,5956
1598451537,5956
1598451538,5956
1598451539,5956
1598451540,5956
1598451541,5956
1598451542,6018
1598451543,6018
1598451544,6018
1598451545,6018
1598451546,6018
1598451547,6018
1598451548,6018
1598451549,6018
1598451550,6018
1598451551,6018
1598451552,6082
1598451553,6082
1598451554,6082
1598451555,6082
1598451556,6082
1598451557,6082
1598451558,6082
1598451559,6082
1598451560,6082
1598451561,6082
1598451562,6140
1598451563,6140
1598451564,6140
1598451565,6140
1598451566,6140
1598451567,6140
1598451568,6140
1598451569,6140
1598451570,6140
1598451571,6140
1598451572,6206
1598451573,6206
1598451574,6206
1598451575,6206
1598451576,6206
1598451577,6206
1598451578,6206
1598451579,6206
1598451580,6206
1598451581,6206
1598451582,6276
1598451583,6276
1598451584,6276
1598451585,6276
1598451586,6276
1598451587,6276
1598451588,6276
1598451589,6276
1598451590,6276
1598451591,6276
1598451592,6339
1598451593,6339
1598451594,6339
1598451595,6339
1598451596,6339
1598451597,6339
1598451598,6339
1598451599,6339
1598451600,6339
1598451601,6339
1598451602,6410
1598451603,6410
1598451604,6410
1598451605,6410
1598451606,6410
1598451607,6410
1598451608,6410
1598451609,6410
1598451610,6410
1598451611,6410
1598451612,6478
1598451613,6478
1598451614,6478
1598451615,6478
1598451616,6478
1598451617,6478
1598451618,6478
1598451619,6478
1598451620,6478
1598451621,6478
1598451622,6549
1598451623,6549
1598451624,6549
1598451625,6549
1598451626,6549
1598451627,6549
1598451628,6549
1598451629,6549
1598451630,6549
1598451631,6549
1598451632,6606
1598451633,6606
1598451634,6606
1598451635,6606
1598451636,6606
1598451637,6606
1598451638,6606
1598451639,6606
1598451640,6606
1598451641,6606
1598451642,6683
1598451643,6683
1598451644,6683
1598451645,6683
1598451646,6683
1598451647,6683
1598451648,6683
1598451649,6683
1598451650,6683
1598451651,6683
1598451652,6750
1598451653,6750
1598451654,6750
1598451655,6750
1598451656,6750
1598451657,6750
1598451658,6750
1598451659,6750
1598451660,6750
1598451661,6750
1598451662,6816
1598451663,6816
1598451664,6816
1598451665,6816
1598451666,6816
1598451667,6816
1598451668,6816
1598451669,6816
1598451670,6816
1598451671,6816
1598451672,6879
1598451673,6879
1598451674,6879
1598451675,6879
1598451676,6879
1598451677,6879
1598451678,6879
1598451679,6879
1598451680,6879
1598451681,6879
1598451682,6957
1598451683,6957
1598451684,6957
1598451685,6957
1598451686,6957
1598451687,6957
1598451688,6957
1598451689,6957
1598451690,6957
1598451691,6957
1598451692,7018
1598451693,7018
1598451694,7018
1598451695,7018
1598451696,7018
1598451697,7018
1598451698,7018
1598451699,7018
1598451700,7018
1598451701,7018
1598451702,7078
1598451703,7078
1598451704,7078
1598451705,7078
1598451706,7078
1598451707,7078
1598451708,7078
1598451709,7078
1598451710,7078
1598451711,7078
1598451712,7155
1598451713,7155
1598451714,7155
1598451715,7155
1598451716,7155
1598451717,7155
1598451718,7155
1598451719,7155
1598451720,7155
1598451721,7155
1598451722,7221
1598451723,7221
1598451724,7221
1598451725,7221
1598451726,7221
1598451727,7221
1598451728,7221
1598451729,7221
1598451730,7221
1598451731,7221
1598451732,7281
1598451733,7281
1598451734,7281
1598451735,7281
